ticker,target_weight,Name,sector,portfolio_sleeve_label
BE,0.285,Bloom Energy,Industrials,future_winner
SNDK,0.285,SANDISK CORP,Information Technology,future_winner
WDC,0.1656761206706485,WESTERN DIGITAL CORP,Information Technology,future_winner
CIEN,0.1212247231885145,CIENA CORP,Information Technology,future_winner
CASH,0.0785,Cash,Cash,
LITE,0.0645991561408368,LUMENTUM HOLDINGS INC,Information Technology,future_winner
