rebalance_date,portfolio,theme,leader_count,selected_count,capture_rate
2019-06-28,main,Construction & Engineering,7,2,0.2857142857142857
2019-06-28,main,Commercial Services,3,0,0.0
2019-06-28,main,Communication Equipment,2,0,0.0
2019-06-28,main,Consumer Finance,1,0,0.0
2019-06-28,main,Hotels Restaurants & Leisure,1,0,0.0
2019-06-28,main,Internet Content & Information,3,0,0.0
2019-06-28,main,Medical Devices,1,0,0.0
2019-06-28,main,Other,2,0,0.0
2019-06-28,main,Software - Application,1,0,0.0
2019-06-28,main,Software - Infrastructure,1,0,0.0
2019-07-31,concentrated,Medical Devices,5,1,0.2
2019-07-31,concentrated,Capital Markets,1,0,0.0
2019-07-31,concentrated,Commercial Services,1,0,0.0
2019-07-31,concentrated,Communication Equipment,1,0,0.0
2019-07-31,concentrated,Construction & Engineering,4,0,0.0
2019-07-31,concentrated,Consumer Finance,1,0,0.0
2019-07-31,concentrated,Insurance,1,0,0.0
2019-07-31,concentrated,Internet Content & Information,5,0,0.0
2019-07-31,concentrated,Semiconductors,3,0,0.0
2019-07-31,concentrated,Software - Application,1,0,0.0
2019-07-31,concentrated,Software - Infrastructure,1,0,0.0
2019-07-31,concentrated,Specialty Retail,1,0,0.0
2019-07-31,main,Commercial Services,1,1,1.0
2019-07-31,main,Software - Infrastructure,1,1,1.0
2019-07-31,main,Internet Content & Information,5,3,0.6
2019-07-31,main,Medical Devices,5,2,0.4
2019-07-31,main,Construction & Engineering,4,1,0.25
2019-07-31,main,Capital Markets,1,0,0.0
2019-07-31,main,Communication Equipment,1,0,0.0
2019-07-31,main,Consumer Finance,1,0,0.0
2019-07-31,main,Insurance,1,0,0.0
2019-07-31,main,Semiconductors,3,0,0.0
2019-07-31,main,Software - Application,1,0,0.0
2019-07-31,main,Specialty Retail,1,0,0.0
2019-08-30,concentrated,Medical Devices,6,1,0.16666666666666666
2019-08-30,concentrated,Commercial Services,1,0,0.0
2019-08-30,concentrated,Construction & Engineering,3,0,0.0
2019-08-30,concentrated,Consumer Finance,3,0,0.0
2019-08-30,concentrated,Food & Staples Retailing,4,0,0.0
2019-08-30,concentrated,Metals & Mining,1,0,0.0
2019-08-30,concentrated,Semiconductors,3,0,0.0
2019-08-30,concentrated,Software - Application,3,0,0.0
2019-08-30,concentrated,Specialty Retail,1,0,0.0
2019-08-30,main,Food & Staples Retailing,4,2,0.5
2019-08-30,main,Construction & Engineering,3,1,0.3333333333333333
2019-08-30,main,Medical Devices,6,1,0.16666666666666666
2019-08-30,main,Commercial Services,1,0,0.0
2019-08-30,main,Consumer Finance,3,0,0.0
2019-08-30,main,Metals & Mining,1,0,0.0
2019-08-30,main,Semiconductors,3,0,0.0
2019-08-30,main,Software - Application,3,0,0.0
2019-08-30,main,Specialty Retail,1,0,0.0
2019-09-30,concentrated,Construction & Engineering,3,1,0.3333333333333333
2019-09-30,concentrated,Medical Devices,4,1,0.25
2019-09-30,concentrated,Aerospace & Defense,2,0,0.0
2019-09-30,concentrated,Auto Manufacturers & Parts,3,0,0.0
2019-09-30,concentrated,Banks - Diversified,1,0,0.0
2019-09-30,concentrated,Commercial Services,3,0,0.0
2019-09-30,concentrated,Consumer Finance,1,0,0.0
2019-09-30,concentrated,Food & Staples Retailing,3,0,0.0
2019-09-30,concentrated,Insurance,1,0,0.0
2019-09-30,concentrated,Semiconductors,1,0,0.0
2019-09-30,concentrated,Specialty Retail,1,0,0.0
2019-09-30,concentrated,Utilities,2,0,0.0
2019-09-30,main,Construction & Engineering,3,3,1.0
2019-09-30,main,Semiconductors,1,1,1.0
2019-09-30,main,Commercial Services,3,1,0.3333333333333333
2019-09-30,main,Food & Staples Retailing,3,1,0.3333333333333333
2019-09-30,main,Medical Devices,4,1,0.25
2019-09-30,main,Aerospace & Defense,2,0,0.0
2019-09-30,main,Auto Manufacturers & Parts,3,0,0.0
2019-09-30,main,Banks - Diversified,1,0,0.0
2019-09-30,main,Consumer Finance,1,0,0.0
2019-09-30,main,Insurance,1,0,0.0
2019-09-30,main,Specialty Retail,1,0,0.0
2019-09-30,main,Utilities,2,0,0.0
2019-10-31,concentrated,Auto Manufacturers & Parts,4,0,0.0
2019-10-31,concentrated,Banks - Diversified,1,0,0.0
2019-10-31,concentrated,Capital Markets,1,0,0.0
2019-10-31,concentrated,Commercial Services,2,0,0.0
2019-10-31,concentrated,Construction & Engineering,2,0,0.0
2019-10-31,concentrated,Equity REITs,1,0,0.0
2019-10-31,concentrated,Food & Staples Retailing,4,0,0.0
2019-10-31,concentrated,Insurance,1,0,0.0
2019-10-31,concentrated,Medical Devices,2,0,0.0
2019-10-31,concentrated,Metals & Mining,1,0,0.0
2019-10-31,concentrated,Other,2,0,0.0
2019-10-31,concentrated,Semiconductors,2,0,0.0
2019-10-31,concentrated,Utilities,2,0,0.0
2019-10-31,main,Semiconductors,2,1,0.5
2019-10-31,main,Auto Manufacturers & Parts,4,1,0.25
