portfolio,rejection_reason,binding_constraint,count
concentrated,candidate_gate,candidate_gate,867
concentrated,cash,cash_binding,822
concentrated,cap_or_replacement,cap_binding,315
concentrated,unknown_requires_investigation,unknown,15
main,candidate_gate,candidate_gate,787
main,cash,cash_binding,671
main,cap_or_replacement,cap_binding,341
