ticker,target_weight,Name,sector,portfolio_sleeve_label,bridge_reason
CASH,0.1920417368544543,Cash,Cash,,no_op
SNDK,0.12,SANDISK CORP,Information Technology,future_winner,no_op
WDC,0.1102654485514349,WESTERN DIGITAL CORP,Information Technology,future_winner,no_op
STM,0.1054748770594471,STMicroelectronics,Semiconductors,early_scout,no_op
CIEN,0.0926381557507864,CIENA CORP,Information Technology,future_winner,no_op
MRVL,0.0852589194369642,MARVELL TECHNOLOGY INC,Information Technology,future_winner,no_op
LITE,0.0633177035523909,LUMENTUM HOLDINGS INC,Information Technology,future_winner,no_op
ON,0.0564536699670997,ON SEMICONDUCTOR CORP,Information Technology,future_winner,no_op
PWR,0.0527619774770134,QUANTA SERVICES INC,Industrials,future_winner,no_op
FIX,0.0397315495162076,COMFORT SYSTEMS USA INC,Industrials,future_winner,no_op
MU,0.0316324308233738,MICRON TECHNOLOGY INC,Information Technology,future_winner,no_op
COHR,0.0253911037455642,COHERENT CORP,Information Technology,future_winner,no_op
TER,0.013762260639199,TERADYNE INC,Information Technology,unassigned,no_op
KEYS,0.011270166626064,KEYSIGHT TECHNOLOGIES INC,Information Technology,future_winner,no_op
