label,horizon,action,n,avg_return,median_return,hit_rate,worst_return,best_return
AMBIGUOUS,1m,add25,325,0.017610577060545543,0.00282684322715554,0.5076923076923077,-0.25101728004654267,0.7587235714869702
AMBIGUOUS,1m,exit_to_cash,325,0.0,0.0,0.0,0.0,0.0
AMBIGUOUS,1m,hold,325,0.014088461648436431,0.002261474581724432,0.5076923076923077,-0.20081382403723413,0.6069788571895762
AMBIGUOUS,1m,label_oracle,325,0.007044230824218216,0.001130737290862216,0.5076923076923077,-0.10040691201861707,0.3034894285947881
AMBIGUOUS,1m,trim50,325,0.007044230824218216,0.001130737290862216,0.5076923076923077,-0.10040691201861707,0.3034894285947881
AMBIGUOUS,3m,add25,325,0.07304561320154312,0.0617360587955898,0.6676923076923077,-0.3250323955113992,1.0247932724854683
AMBIGUOUS,3m,exit_to_cash,325,0.0,0.0,0.0,0.0,0.0
AMBIGUOUS,3m,hold,325,0.058436490561234504,0.04938884703647184,0.6676923076923077,-0.2600259164091193,0.8198346179883746
AMBIGUOUS,3m,label_oracle,325,0.029218245280617252,0.02469442351823592,0.6676923076923077,-0.13001295820455966,0.4099173089941873
AMBIGUOUS,3m,trim50,325,0.029218245280617252,0.02469442351823592,0.6676923076923077,-0.13001295820455966,0.4099173089941873
AMBIGUOUS,6m,add25,325,0.11487922574840596,0.12785412648878974,0.8584615384615385,-0.12402527253186149,0.46656104861086595
AMBIGUOUS,6m,exit_to_cash,325,0.0,0.0,0.0,0.0,0.0
AMBIGUOUS,6m,hold,325,0.09190338059872477,0.1022833011910318,0.8584615384615385,-0.09922021802548919,0.37324883888869276
AMBIGUOUS,6m,label_oracle,325,0.045951690299362385,0.0511416505955159,0.8584615384615385,-0.049610109012744597,0.18662441944434638
AMBIGUOUS,6m,trim50,325,0.045951690299362385,0.0511416505955159,0.8584615384615385,-0.049610109012744597,0.18662441944434638
DISTRIBUTION,1m,add25,450,0.03471578724093863,0.032435277528955336,0.6311111111111111,-0.6291589151107488,0.5268171937584876
DISTRIBUTION,1m,exit_to_cash,450,0.0,0.0,0.0,0.0,0.0
DISTRIBUTION,1m,hold,450,0.02777262979275091,0.02594822202316427,0.6311111111111111,-0.503327132088599,0.42145375500679005
DISTRIBUTION,1m,label_oracle,450,0.0,0.0,0.0,0.0,0.0
DISTRIBUTION,1m,trim50,450,0.013886314896375455,0.012974111011582135,0.6311111111111111,-0.2516635660442995,0.21072687750339503
DISTRIBUTION,3m,add25,450,0.014617979382617404,0.011817428896577081,0.5333333333333333,-0.7517300462378845,0.9476259291277389
DISTRIBUTION,3m,exit_to_cash,450,0.0,0.0,0.0,0.0,0.0
DISTRIBUTION,3m,hold,450,0.011694383506093925,0.009453943117261665,0.5333333333333333,-0.6013840369903076,0.7581007433021911
DISTRIBUTION,3m,label_oracle,450,0.0,0.0,0.0,0.0,0.0
DISTRIBUTION,3m,trim50,450,0.005847191753046962,0.0047269715586308325,0.5333333333333333,-0.3006920184951538,0.37905037165109556
DISTRIBUTION,6m,add25,450,0.015432383313511223,-0.012678652039437091,0.48,-0.7343631837278636,2.634968302611829
DISTRIBUTION,6m,exit_to_cash,450,0.0,0.0,0.0,0.0,0.0
DISTRIBUTION,6m,hold,450,0.012345906650808973,-0.010142921631549673,0.48,-0.5874905469822909,2.1079746420894634
DISTRIBUTION,6m,label_oracle,450,0.0,0.0,0.0,0.0,0.0
