date,state,multiplier,shadow_equity_usd,peak_equity_usd,shadow_drawdown,ret5,ret10,crisis_trigger,caution_trigger,reentry_trigger,full_reentry_trigger
2019-06-03,normal,1.0,99750.8750792122,99750.8750792122,0.0,0.0,0.0,False,False,False,False
2019-06-04,normal,1.0,102301.7499113655,102301.7499113655,0.0,0.0,0.0,False,False,False,False
2019-06-05,normal,1.0,103452.388438282,103452.388438282,0.0,0.0,0.0,False,False,False,False
2019-06-06,normal,1.0,103723.080424366,103723.080424366,0.0,0.0,0.0,False,False,False,False
2019-06-07,normal,1.0,104720.9230604744,104720.9230604744,0.0,0.0,0.0,False,False,False,False
2019-06-10,normal,1.0,105628.789408741,105628.789408741,0.0,0.05892594250287164,0.0,False,False,True,False
2019-06-11,normal,1.0,104827.52798753738,105628.789408741,-0.007585634803623953,0.02468949043745794,0.0,False,False,True,False
2019-06-12,normal,1.0,106099.76229387285,106099.76229387285,0.0,0.025590263265600877,0.0,False,False,True,False
2019-06-13,normal,1.0,105373.61059099196,106099.76229387285,-0.006844046463267417,0.015912853338650335,0.0,False,False,True,False
2019-06-14,normal,1.0,104750.97987657548,106099.76229387285,-0.01271239810661906,0.0002870182502472396,0.0,False,False,True,False
2019-06-17,normal,1.0,104667.1044188118,106099.76229387285,-0.013502931996142498,-0.009104383334432309,0.04928507479955058,False,False,True,True
2019-06-18,normal,1.0,105919.3457670784,106099.76229387285,-0.0017004423279924907,0.010415372760395725,0.03536201344402401,False,False,True,True
2019-06-19,normal,1.0,107702.01504045486,107702.01504045486,0.0,0.015101379229711442,0.04107809076547442,False,False,True,True
2019-06-20,normal,1.0,106845.40008073808,107702.01504045486,-0.00795356483715759,0.013967344209727006,0.03010245784831711,False,False,True,True
2019-06-21,normal,1.0,105918.75484758375,107702.01504045486,-0.016557352173970807,0.011148105462919888,0.01143832342289075,False,False,True,False
2019-06-24,normal,1.0,105528.44256120682,107702.01504045486,-0.02018135388118425,0.008229310891686437,-0.0009499952436818893,False,False,False,False
2019-06-25,normal,1.0,104001.80243974684,107702.01504045486,-0.034356020166550816,-0.018103806376866483,-0.007876991508267817,False,False,False,False
2019-06-26,normal,1.0,105167.9078474617,107702.01504045486,-0.02352887447873009,-0.02352887447873009,-0.008782813705370152,False,False,False,False
2019-06-27,normal,1.0,104963.84429460524,107702.01504045486,-0.025423579538610408,-0.017610077595395235,-0.003888699401003004,False,False,False,False
2019-06-28,normal,1.0,106117.17229753494,107702.01504045486,-0.014715070487071436,0.0018732985507308175,0.013042287743457726,False,False,True,False
2019-07-01,normal,1.0,105456.2463266182,107702.01504045486,-0.02085168706447238,-0.0006841400558597055,0.007539540834613723,False,False,False,False
2019-07-02,normal,1.0,106790.47421663284,107702.01504045486,-0.008463544748718355,0.026813686988757857,0.008224450814396933,False,False,True,False
2019-07-03,normal,1.0,107331.18916719436,107702.01504045486,-0.0034430727514356274,0.020569785631471715,-0.0034430727514356274,False,False,True,False
2019-07-05,normal,1.0,107012.32504671096,107702.01504045486,-0.006403687001444114,0.019516060657574608,0.0015623037196430545,False,False,True,False
2019-07-08,normal,1.0,107067.58325593948,107702.01504045486,-0.005890621306175903,0.008956240896993872,0.010846317160817076,False,False,True,False
2019-07-09,normal,1.0,107624.6536905098,107702.01504045486,-0.0007182906458713667,0.0205621519769974,0.019863944529335598,False,False,True,False
