rebalance_date,target_n,single_name_cap,gross_return,cost,turnover,net_return,cash_weight,n_positions,selected_tickers,equity,drawdown
2019-04-30,3,0.5,-0.13581027763106915,0.0025,0.5,-0.13831027763106915,0.0,3,"AMZN,MU,AAPL",0.8616897223689308,-0.13831027763106918
2019-05-31,3,0.5,0.07423157415021936,0.005,1.0,0.06923157415021935,0.0,3,"V,TGT,KO",0.9213458582775974,-0.07865414172240259
2019-06-28,3,0.5,0.014400730498546765,0.005,1.0,0.009400730498546766,0.0,3,"AMZN,HD,AAPL",0.9300071823872175,-0.06999281761278253
2019-07-31,3,0.5,-0.018858144102017117,0.005,1.0,-0.023858144102017118,0.0,3,"GOOG,GOOGL,INTC",0.9078189370139123,-0.09218106298608775
2019-08-30,3,0.5,-0.029166815160691164,0.0038297070854679135,0.7659414170935827,-0.03299652224615908,0.0,3,"ABT,CRM,GOOG",0.8778640692632482,-0.12213593073675177
2019-09-30,3,0.5,0.05334203100974285,0.0038297070854679135,0.7659414170935827,0.04951232392427494,0.0,3,"INTC,NRG,GOOG",0.9213291594220924,-0.07867084057790763
2019-10-31,3,0.5,0.005286114658729616,0.003780654409037146,0.7561308818074293,0.0015054602496924695,0.0,3,"GOOG,CRM,GOOGL",0.9227161838484849,-0.07728381615151514
2019-11-29,3,0.5,-0.035585804536649945,0.0025,0.5,-0.03808580453664995,0.0,3,"XYZ,CRM,GOOG",0.887573795627628,-0.11242620437237205
2019-12-31,3,0.5,0.02377229923565307,0.005,1.0,0.01877229923565307,1.1102230246251565e-16,3,"V,AVGO,PLNT",0.9042355965128742,-0.09576440348712578
2020-01-31,3,0.5,0.008655867159991091,0.004999999999999999,0.9999999999999999,0.0036558671599910917,0.0,3,"XYZ,AMZN,PYPL",0.9075413617350606,-0.09245863826493939
2020-02-28,3,0.5,-0.23437141355861224,0.005,1.0,-0.23937141355861224,0.0,3,"ETSY,CSGP,HUBS",0.6903019031136313,-0.30969809688636873
2020-03-31,3,0.5,0.2346855336219502,0.005,1.0,0.22968553362195018,0.0,3,"AMZN,VEEV,MOH",0.8488542640905333,-0.15114573590946667
