rebalance_date,net_return,drawdown,regime_state
2020-02-28,-0.21186673503996523,-0.22555020818977256,
2022-05-31,-0.1804797907282572,-0.41353016963378786,
2021-12-31,-0.13396957173719604,-0.13396957173719604,
2022-03-31,-0.12875670544995838,-0.29010754774815717,
2023-04-28,-0.09689767373116297,-0.36500632414995693,
2019-04-30,-0.08379442691103443,-0.08379442691103445,
2022-11-30,-0.07812664405151491,-0.3612123309877605,
2025-10-31,-0.0779130382270343,-0.07791303822703433,
2022-01-31,-0.07194440221295872,-0.1962756131967962,
2025-02-28,-0.07060011212975312,-0.07060011212975315,
