rebalance_date,source_rebalance_date,state,multiplier,shadow_drawdown,stock_weight_sum
2019-05-31,2019-05-31,normal,1.0,0.0,0.66
2019-06-03,2019-05-31,normal,1.0,0.0,0.66
2019-06-28,2019-06-28,normal,1.0,-0.009871794868685502,0.66
2019-07-31,2019-07-31,normal,1.0,-0.010314118449480048,0.66
2019-08-30,2019-08-30,normal,1.0,-0.0001032190468903682,0.66
2019-09-30,2019-09-30,normal,1.0,-0.01091423697190097,0.66
2019-10-31,2019-10-31,normal,1.0,-0.014159738366940622,0.66
2019-11-29,2019-11-29,normal,1.0,-0.028017474000461506,0.66
2019-12-31,2019-12-31,normal,1.0,-0.0023435422838330444,0.66
2020-01-31,2020-01-31,normal,1.0,0.0,0.66
2020-02-28,2020-02-28,normal,1.0,-0.06343614174439627,0.66
2020-03-12,2020-02-28,caution,0.75,-0.16323540715656648,0.495
2020-03-31,2020-03-31,caution,0.75,-0.1269635953004058,0.495
2020-04-16,2020-03-31,normal,1.0,-0.058515721476070426,0.66
2020-04-30,2020-04-30,normal,1.0,-0.105439553446809,0.66
2020-05-04,2020-04-30,caution,0.75,-0.12029627688374434,0.495
2020-05-11,2020-04-30,normal,1.0,-0.05831914305528019,0.66
2020-05-29,2020-05-29,normal,1.0,-0.05230894905334238,0.66
2020-06-30,2020-06-30,normal,1.0,-0.0704335917166864,0.66
2020-07-31,2020-07-31,normal,1.0,0.0,0.66
2020-08-31,2020-08-31,normal,1.0,-0.0059525451554074404,0.66
2020-09-30,2020-09-30,normal,1.0,-0.061426706261591746,0.66
2020-10-30,2020-10-30,normal,1.0,-0.07855996774604113,0.66
2020-11-30,2020-11-30,normal,1.0,-0.017741205077680178,0.66
2020-12-31,2020-12-31,normal,1.0,-0.026978201232459642,0.66
2021-01-29,2021-01-29,normal,1.0,-0.024032185420725716,0.66
2021-02-26,2021-02-26,normal,1.0,-0.03036536410321733,0.66
2021-03-31,2021-03-31,normal,1.0,-0.0005151960086975382,0.66
2021-04-30,2021-04-30,normal,1.0,-0.0040506724461665256,0.66
2021-05-28,2021-05-28,normal,1.0,-0.01434937126776481,0.66
2021-06-30,2021-06-30,normal,1.0,-0.031215568162182072,0.66
2021-07-30,2021-07-30,normal,1.0,-0.012387115137952764,0.66
2021-08-31,2021-08-31,normal,1.0,0.0,0.66
2021-09-30,2021-09-30,normal,1.0,-0.06270590757832806,0.66
2021-10-29,2021-10-29,normal,1.0,-0.0462165675097026,0.66
2021-11-30,2021-11-30,normal,1.0,-0.04518988482039099,0.66
2021-12-31,2021-12-31,normal,1.0,-0.003169631679992624,0.66
2022-01-31,2022-01-31,normal,1.0,-0.08100337963325543,0.66
2022-02-28,2022-02-28,normal,1.0,-0.08670384137854314,0.66
2022-03-07,2022-02-28,caution,0.75,-0.13307135131823422,0.495
2022-03-31,2022-03-31,caution,0.75,-0.09098411236064596,0.495
2022-04-20,2022-03-31,normal,1.0,-0.05601098351909184,0.66
2022-04-29,2022-04-29,normal,1.0,-0.11595897204403671,0.66
2022-05-02,2022-04-29,caution,0.75,-0.12402889642756798,0.495
2022-05-31,2022-05-31,caution,0.75,-0.11524284502605486,0.495
2022-06-30,2022-06-30,caution,0.75,-0.1308865312667823,0.495
2022-07-29,2022-07-29,caution,0.75,-0.13055817293988847,0.495
2022-08-31,2022-08-31,caution,0.75,-0.14113277312362804,0.495
2022-09-30,2022-09-30,caution,0.75,-0.14137932553478227,0.495
2022-10-31,2022-10-31,caution,0.75,-0.0657221434090779,0.495
2022-11-04,2022-10-31,normal,1.0,-0.058537405306067214,0.66
2022-11-30,2022-11-30,normal,1.0,-0.05140983409503064,0.66
2022-12-30,2022-12-30,normal,1.0,-0.08322954534225513,0.66
2023-01-31,2023-01-31,normal,1.0,-0.00032603764954219905,0.66
2023-02-28,2023-02-28,normal,1.0,-0.06405905181333915,0.66
2023-03-31,2023-03-31,normal,1.0,-0.060361896718543306,0.66
2023-04-28,2023-04-28,normal,1.0,-0.08495014332002682,0.66
2023-05-31,2023-05-31,normal,1.0,-0.11084658686192284,0.66
2023-06-07,2023-05-31,caution,0.75,-0.12333654095391278,0.495
2023-06-30,2023-06-30,caution,0.75,-0.07883414638505215,0.495
2023-07-18,2023-06-30,normal,1.0,-0.05791380378790778,0.66
2023-07-31,2023-07-31,normal,1.0,-0.05518680265761866,0.66
2023-08-16,2023-07-31,caution,0.75,-0.1244941890364506,0.495
2023-08-31,2023-08-31,caution,0.75,-0.09063875949870293,0.495
2023-09-29,2023-09-29,caution,0.75,-0.10133645109495781,0.495
2023-10-31,2023-10-31,caution,0.75,-0.0877997300868063,0.495
2023-11-30,2023-11-30,caution,0.75,-0.08200755265946846,0.495
2023-12-29,2023-12-29,normal,1.0,-0.058965141602420945,0.66
2024-01-31,2024-01-31,normal,1.0,-0.050775779313826375,0.66
2024-02-29,2024-02-29,normal,1.0,-0.0003215833849545824,0.66
2024-03-28,2024-03-28,normal,1.0,-0.003159668156312523,0.66
2024-04-30,2024-04-30,normal,1.0,-0.050609418902883174,0.66
2024-05-31,2024-05-31,normal,1.0,-0.0541736718245579,0.66
2024-06-28,2024-06-28,caution,0.75,-0.13000477089782214,0.495
2024-07-31,2024-07-31,caution,0.75,-0.12350980210842422,0.495
2024-08-19,2024-07-31,normal,1.0,-0.05756537210276513,0.66
2024-08-30,2024-08-30,normal,1.0,-0.03297122655780049,0.66
2024-09-30,2024-09-30,normal,1.0,-0.07195971798716305,0.66
2024-10-31,2024-10-31,normal,1.0,-0.08429240808628213,0.66
2024-11-29,2024-11-29,normal,1.0,-0.05615870947186308,0.66
2024-12-31,2024-12-31,normal,1.0,-0.08493284358484166,0.66
2025-01-31,2025-01-31,normal,1.0,-0.03846254597545262,0.66
2025-02-28,2025-02-28,normal,1.0,-0.033255346558478616,0.66
2025-03-13,2025-02-28,caution,0.75,-0.12025931481492314,0.495
2025-03-31,2025-03-31,caution,0.75,-0.07794887965674235,0.495
2025-04-30,2025-04-30,caution,0.75,-0.10659640399848147,0.495
