portfolio,official_metric_mode,status,valid_for_production,target_pass,cagr,cagr_target,cagr_gap_pp,max_dd,max_dd_target,max_dd_gap_pp,sharpe,start_date,end_date,years,ending_capital_usd,avg_cash_weight,latest_cash_weight,latest_position_count,broker_trade_count,total_fees_usd,order_preview_count,order_preview_buy_count,order_preview_sell_count,journal_trade_count,journal_win_rate,journal_avg_realized_return,journal_avg_holding_days,journal_profit_factor,legacy_cagr,legacy_max_dd,legacy_sharpe
main,broker_ledger_next_close,completed,True,False,0.20331558071163047,0.3,9.6684,-0.32927046066835275,-0.15,17.927,0.9644736718750795,2019-05-01,2026-05-22,7.058179329226557,369260.8015393808,0.057100720451004595,0.2539868864236518,29,2875,40029.02572063685,44,17,27,0,,,,,0.2985748182573231,-0.17009600595497365,1.7127361319551975
concentrated,broker_ledger_next_close,completed,True,False,0.34724180538826843,0.5,15.2758,-0.3950728107512581,-0.18,21.5073,1.1383692575973363,2019-05-01,2026-05-22,7.058179329226557,819690.5156336785,0.0004489161631047277,9.464525022299293e-06,3,400,70786.79465761184,6,3,3,0,,,,,0.48171579212633064,-0.16088214290376435,1.7028492765330498
