start_date,end_date,months,cagr,sharpe,max_dd,ending_equity
2019-04-30,2022-03-31,36,0.2908751637745355,1.7292562670769207,-0.09429903436170217,2.1510610448599286
2019-05-31,2022-04-29,36,0.304938757544436,1.814714053992906,-0.09429903436170217,2.222134747384859
2019-06-28,2022-05-31,36,0.26071379263907724,1.539407363608758,-0.12627979304735815,2.0037775778548164
2019-07-31,2022-06-30,36,0.2619515208612069,1.5451337214624528,-0.12627979304735815,2.009685106869273
2019-08-30,2022-07-29,36,0.26708926006634015,1.5697489851743511,-0.12627979304735826,2.0343310578925493
2019-09-30,2022-08-31,36,0.26368386886004536,1.546776522965768,-0.12627979304735837,2.017972878563363
2019-10-31,2022-09-30,36,0.2843612939565161,1.6311099103114612,-0.12627979304735826,2.1186617552090437
2019-11-29,2022-10-31,36,0.2956222293074424,1.69556829914457,-0.12627979304735837,2.174879361706622
2019-12-31,2022-11-30,36,0.2540206375584997,1.4656797747739556,-0.12627979304735826,1.972032424275103
2020-01-31,2022-12-30,36,0.296717212940135,1.6488729090044854,-0.12627979304735826,2.180398263323337
2020-02-28,2023-01-31,36,0.3295213337044063,1.8210611382815818,-0.12627979304735804,2.3500977756539756
2020-03-31,2023-02-28,36,0.34794105395941677,1.9487567627564626,-0.12627979304735848,2.449134872792839
2020-04-30,2023-03-31,36,0.2995727893043305,1.729680268826777,-0.12627979304735837,2.1948347534800017
2020-05-29,2023-04-28,36,0.29992047393773347,1.7301375007088324,-0.12627979304735837,2.1965968275289445
2020-06-30,2023-05-31,36,0.3024463647723614,1.7369308605696279,-0.12627979304735848,2.2094264243689707
2020-07-31,2023-06-30,36,0.25855383747679417,1.6323032462465676,-0.12627979304735837,1.993496119549236
2020-08-31,2023-07-31,36,0.21980586287871073,1.4370431832184412,-0.12627979304735837,1.8149812768612548
2020-09-30,2023-08-31,36,0.20401904885345368,1.3086720104032654,-0.12627979304735826,1.7454205058788974
2020-10-30,2023-09-29,36,0.18727325142682139,1.2104527014960496,-0.12627979304735837,1.6736014772760388
2020-11-30,2023-10-31,36,0.16848975260969978,1.1419592763714295,-0.12627979304735837,1.595418869371212
2020-12-31,2023-11-30,36,0.15667249028107344,1.0830334826109471,-0.12627979304735848,1.547502003600217
2021-01-29,2023-12-29,36,0.14368898904624983,1.0237531727085254,-0.12627979304735815,1.4959732222450708
2021-02-26,2024-01-31,36,0.21400243860028634,1.162461020244509,-0.12627979304735837,1.7891991260197013
2021-03-31,2024-02-29,36,0.25281334464267924,1.346230795815068,-0.12627979304735815,1.966342256185217
2021-04-30,2024-03-28,36,0.23754172541581187,1.267220772399055,-0.12627979304735815,1.8953069365262483
2021-05-28,2024-04-30,36,0.2540512227985743,1.346951845018927,-0.12627979304735837,1.972176719881745
2021-06-30,2024-05-31,36,0.235344514708568,1.2628623770759966,-0.12627979304735837,1.8852297021278914
2021-07-30,2024-06-28,36,0.20925522444023814,1.13331193534831,-0.12627979304735848,1.7682917354227414
2021-08-31,2024-07-31,36,0.18500202130993237,1.0252867139327437,-0.12627979304735826,1.664015140136344
2021-09-30,2024-08-30,36,0.21699181153260527,1.1859933327550856,-0.12627979304735848,1.802448929697847
2021-10-29,2024-09-30,36,0.20236405387508194,1.131187638489859,-0.12627979304735837,1.7382328454550695
2021-11-30,2024-10-31,36,0.2579321712304501,1.2288829272661914,-0.12627979304735837,1.9905434992563258
2021-12-31,2024-11-29,36,0.24825809711599267,1.1835078349959782,-0.12039627646744089,1.944971203292104
2022-01-31,2024-12-31,36,0.2888458496606263,1.3655207168579713,-0.08903364853889995,2.140932288807177
2022-02-28,2025-01-31,36,0.2832040219557892,1.3384971298316757,-0.08903364853889961,2.1129398621145072
2022-03-31,2025-02-28,36,0.257757867902225,1.2183049080475958,-0.08903364853889983,1.989716164624149
2022-04-29,2025-03-31,36,0.28649500376174575,1.346162015190269,-0.08903364853889972,2.129238507165588
2022-05-31,2025-04-30,36,0.3022690090757607,1.4017628660271677,-0.08903364853889983,2.2085239664644036
2022-06-30,2025-05-30,36,0.3405412977710107,1.5815387068294355,-0.08903364853889995,2.4090210408646557
2022-07-29,2025-06-30,36,0.3498187714153922,1.6129586004334089,-0.08903364853889972,2.4593842657250944
2022-08-31,2025-07-31,36,0.33278689600683475,1.5421407998803107,-0.08903364853889983,2.367457232174222
2022-09-30,2025-08-29,36,0.3930966676287959,1.7381441789876324,-0.08903364853889983,2.703608231863002
2022-10-31,2025-09-30,36,0.41883159198407216,1.780808808240591,-0.08903364853889972,2.8562258802902276
2022-11-30,2025-10-31,36,0.40896143189563694,1.7406701870605574,-0.08903364853889983,2.797031229713206
2022-12-30,2025-11-28,36,0.47291926348847335,1.9695609345664948,-0.08903364853889972,3.195485316752959
2023-01-31,2025-12-31,36,0.5144082069253242,1.9857080916607348,-0.08903364853889983,3.4731925717588266
2023-02-28,2026-01-30,36,0.49586917571030975,1.9259021493835375,-0.08903364853889983,3.347193652249311
2023-03-31,2026-02-27,36,0.4733785662251111,1.8284414683236205,-0.08903364853889983,3.1984756087028225
2023-04-28,2026-03-31,36,0.5169533388612015,1.9783077443134374,-0.08903364853889995,3.4907332806122837
