ticker,event_date,label,horizon,action,action_return,drawdown_from_peak,shakeout_quality_score,breakdown_risk_score,production_activation_allowed
OKE,2017-05-09,AMBIGUOUS,1m,hold,-0.03942178870517432,-0.12539866122963517,0.6,0.15,False
OKE,2017-05-09,AMBIGUOUS,1m,trim50,-0.01971089435258716,-0.12539866122963517,0.6,0.15,False
OKE,2017-05-09,AMBIGUOUS,1m,add25,-0.0492772358814679,-0.12539866122963517,0.6,0.15,False
OKE,2017-05-09,AMBIGUOUS,1m,exit_to_cash,0.0,-0.12539866122963517,0.6,0.15,False
OKE,2017-05-09,AMBIGUOUS,1m,label_oracle,-0.01971089435258716,-0.12539866122963517,0.6,0.15,False
OKE,2017-05-09,AMBIGUOUS,3m,hold,0.055206727552649326,-0.12539866122963517,0.6,0.15,False
OKE,2017-05-09,AMBIGUOUS,3m,trim50,0.027603363776324663,-0.12539866122963517,0.6,0.15,False
OKE,2017-05-09,AMBIGUOUS,3m,add25,0.06900840944081166,-0.12539866122963517,0.6,0.15,False
OKE,2017-05-09,AMBIGUOUS,3m,exit_to_cash,0.0,-0.12539866122963517,0.6,0.15,False
OKE,2017-05-09,AMBIGUOUS,3m,label_oracle,0.027603363776324663,-0.12539866122963517,0.6,0.15,False
OKE,2017-05-09,AMBIGUOUS,6m,hold,0.07524192434174193,-0.12539866122963517,0.6,0.15,False
OKE,2017-05-09,AMBIGUOUS,6m,trim50,0.037620962170870964,-0.12539866122963517,0.6,0.15,False
OKE,2017-05-09,AMBIGUOUS,6m,add25,0.09405240542717741,-0.12539866122963517,0.6,0.15,False
OKE,2017-05-09,AMBIGUOUS,6m,exit_to_cash,0.0,-0.12539866122963517,0.6,0.15,False
OKE,2017-05-09,AMBIGUOUS,6m,label_oracle,0.037620962170870964,-0.12539866122963517,0.6,0.15,False
PWR,2017-05-10,AMBIGUOUS,1m,hold,-0.0285121239661984,-0.1247722961686707,0.6,0.15,False
PWR,2017-05-10,AMBIGUOUS,1m,trim50,-0.0142560619830992,-0.1247722961686707,0.6,0.15,False
PWR,2017-05-10,AMBIGUOUS,1m,add25,-0.035640154957748,-0.1247722961686707,0.6,0.15,False
PWR,2017-05-10,AMBIGUOUS,1m,exit_to_cash,0.0,-0.1247722961686707,0.6,0.15,False
PWR,2017-05-10,AMBIGUOUS,1m,label_oracle,-0.0142560619830992,-0.1247722961686707,0.6,0.15,False
