ticker,side,quantity,fill_price,gross_value,fee_usd,cash_delta,cash_after,shares_after,date,signal_date,reason,target_weight,fill_mode,risk_rule_action
CPRT,BUY,242.0,16.502500534057617,3993.6051292419434,9.984012823104859,-4003.5891420650482,95996.41085793496,242.0,2019-05-01,2019-04-30,target_rebalance,0.04,next_close,
FDS,BUY,15.0,253.60525512695312,3804.078826904297,9.510197067260743,-3813.5890239715577,92182.8218339634,15.0,2019-05-01,2019-04-30,target_rebalance,0.04,next_close,
GPK,BUY,333.0,12.011258125305176,3999.7489557266235,9.999372389316559,-4009.7483281159402,88173.07350584747,333.0,2019-05-01,2019-04-30,target_rebalance,0.04,next_close,
KEYS,BUY,46.0,85.86000061035156,3949.560028076172,9.87390007019043,-3959.433928146362,84213.6395777011,46.0,2019-05-01,2019-04-30,target_rebalance,0.04,next_close,
MKTX,BUY,15.0,263.2749938964844,3949.1249084472656,9.872812271118164,-3958.997720718384,80254.64185698272,15.0,2019-05-01,2019-04-30,target_rebalance,0.04,next_close,
PAYC,BUY,20.0,196.92335510253906,3938.4671020507812,9.846167755126954,-3948.313269805908,76306.32858717682,20.0,2019-05-01,2019-04-30,target_rebalance,0.04,next_close,
SHOP,BUY,163.0,24.516000747680664,3996.1081218719482,9.990270304679871,-4006.0983921766283,72300.23019500019,163.0,2019-05-01,2019-04-30,target_rebalance,0.04,next_close,
VICI,BUY,255.0,15.683967590332031,3999.411735534668,9.99852933883667,-4009.4102648735047,68290.81993012669,255.0,2019-05-01,2019-04-30,target_rebalance,0.04,next_close,
CDNS,BUY,72.0,68.54000091552734,4934.880065917969,12.337200164794922,-4947.217266082764,63343.60266404392,72.0,2019-05-01,2019-04-30,target_rebalance,0.0495261968003099,next_close,
W,BUY,30.0,163.52999877929688,4905.899963378906,12.264749908447266,-4918.164713287353,58425.43795075657,30.0,2019-05-01,2019-04-30,target_rebalance,0.0496314115316706,next_close,
MELI,BUY,10.0,484.7300109863281,4847.300109863281,12.118250274658203,-4859.418360137939,53566.01959061863,10.0,2019-05-01,2019-04-30,target_rebalance,0.0497645996611457,next_close,
CSX,BUY,208.0,24.009151458740234,4993.903503417969,12.484758758544922,-5006.388262176513,48559.63132844211,208.0,2019-05-01,2019-04-30,target_rebalance,0.0500872687518502,next_close,
AMD,BUY,189.0,26.809999465942383,5067.08989906311,12.667724747657775,-5079.757623810769,43479.87370463135,189.0,2019-05-01,2019-04-30,target_rebalance,0.0507539918543694,next_close,
AMT,BUY,32.0,159.76194763183594,5112.38232421875,12.780955810546875,-5125.163280029297,38354.710424602046,32.0,2019-05-01,2019-04-30,target_rebalance,0.0511805482815341,next_close,
AVGO,BUY,199.0,26.601177215576172,5293.634265899658,13.234085664749145,-5306.868351564407,33047.84207303764,199.0,2019-05-01,2019-04-30,target_rebalance,0.0530990260460193,next_close,
DHR,BUY,48.0,112.98954772949219,5423.498291015625,13.558745727539062,-5437.057036743164,27610.785036294474,48.0,2019-05-01,2019-04-30,target_rebalance,0.0544499124032633,next_close,
NOW,BUY,101.0,54.08000183105469,5462.080184936523,13.655200462341309,-5475.735385398864,22135.04965089561,101.0,2019-05-01,2019-04-30,target_rebalance,0.0548758081450581,next_close,
HD,BUY,129.0,167.51451110839844,21609.3719329834,54.0234298324585,-21663.395362815856,471.6542880797533,129.0,2019-05-01,2019-04-30,target_rebalance,0.2166312365247789,next_close,
W,SELL,30.0,151.82000732421875,4554.6002197265625,11.386500549316407,4543.213719177246,5014.868007257,0.0,2019-05-06,2019-05-03,daily_hard_stop_exit,,next_close,daily_hard_stop_exit
AVGO,SELL,199.0,25.191450119018555,5013.098573684692,12.532746434211731,5000.565827250481,10015.43383450748,0.0,2019-05-14,2019-05-13,daily_hard_stop_exit,,next_close,daily_hard_stop_exit
