ticker,peak_market_value_usd,peak_weight,trough_market_value_usd,trough_weight,peak_to_trough_value_delta_usd
PLTR,61188.42134857178,0.1595914625321883,13543.830390930176,0.0466351899444027,-47644.5909576416
APP,28768.0,0.0750326138988247,0.0,0.0,-28768.0
MSTR,24045.840087890625,0.0627162901552968,0.0,0.0,-24045.840087890625
MRVL,21589.61920166016,0.0563099819862632,0.0,0.0,-21589.61920166016
GTLS,20025.270431518555,0.0522298520754895,0.0,0.0,-20025.270431518555
AXON,19880.2802734375,0.0518516891670348,0.0,0.0,-19880.2802734375
IBKR,19055.096954345703,0.0496994484350699,0.0,0.0,-19055.096954345703
BHF,18968.620414733887,0.0494739005760599,0.0,0.0,-18968.620414733887
TPR,25259.94873046875,0.0658829247843913,6433.964538574219,0.0221539364929504,-18825.98419189453
LULU,18622.000122070312,0.0485698465372347,0.0,0.0,-18622.000122070312
HUBS,18477.04943847656,0.0481917865860229,0.0,0.0,-18477.04943847656
UAL,17862.25,0.0465882684793618,0.0,0.0,-17862.25
NTRA,17276.760498046875,0.0450611964638632,0.0,0.0,-17276.760498046875
VST,15781.974060058594,0.0411624988254186,0.0,0.0,-15781.974060058594
