rank,ticker,target_weight,raw_weight,capped_excess,row_type
1,MRVL,0.08919716478591122,0.08919716478591122,0.0,equity
2,PR,0.08761050601737726,0.08761050601737726,0.0,equity
3,GEV,0.07363798027813881,0.07363798027813881,0.0,equity
4,NVDA,0.05341268237178978,0.05341268237178978,0.0,equity
5,AMKR,0.05043895085039828,0.05043895085039828,0.0,equity
6,GOOG,0.04976496765495313,0.04976496765495313,0.0,equity
7,CIEN,0.046620894300109676,0.046620894300109676,0.0,equity
8,LRCX,0.038500000000000006,0.038500000000000006,0.0,equity
9,GLW,0.03663248404620357,0.03663248404620357,0.0,equity
10,AMZN,0.035707271498078036,0.035707271498078036,0.0,equity
11,ZTO,0.028501885157592086,0.028501885157592086,0.0,equity
12,TSM,0.02277649127283526,0.02277649127283526,0.0,equity
13,VRT,0.022000000000000002,0.022000000000000002,0.0,equity
14,TER,0.022000000000000002,0.022000000000000002,0.0,equity
15,FIX,0.022000000000000002,0.022000000000000002,0.0,equity
16,FTI,0.022000000000000002,0.022000000000000002,0.0,equity
17,MLI,0.022000000000000002,0.022000000000000002,0.0,equity
18,PWR,0.02189794576458629,0.02189794576458629,0.0,equity
19,WELL,0.019032866353509405,0.019032866353509405,0.0,equity
20,DTM,0.018230383184104682,0.018230383184104682,0.0,equity
21,KIM,0.018037526464412534,0.018037526464412534,0.0,equity
22,CASH,0.19999999999999996,0.19999999999999996,0.0,cash
