theme_name,description,n_members_present,theme_rs_benchmark_12m_mean,theme_mom_12m_mean,theme_acceleration,theme_rs_acceleration,theme_breadth_price_above_ma200,theme_phase
semi_memory,Memory + storage semi (DRAM/NAND/HDD),2,4.483111236401962,4.792542264712573,-1.1264724864647968,-4.081951444236436,1.0,peaking
optical_communications,Fiber optics / optical transceivers for data center interconnect,5,3.670499851854548,3.979930880165159,-1.2318280539566737,-3.2636759879303536,0.8,peaking
semi_design_memory,Fabless design + memory,9,1.2656150210764046,1.5750460493870158,-0.2535513596719625,-1.172809704563276,0.6666666666666666,maturing
semi_equipment,Wafer fab equipment + photonics,5,1.25492145835968,1.5643524866702911,-0.5483967553111746,-0.9574452873714857,1.0,peaking
defense_drones,Defense prime + drone + sats,4,0.7637689702934659,1.073199998604077,-0.14604402289981988,-0.7357946257460939,0.75,peaking
data_center_infra,Physical data center REITs + power/cooling,4,0.6910794643197826,1.0005104926303938,-0.2694571704229034,-0.40282669348579886,1.0,peaking
ai_compute,AI training/inference compute (GPU + server + rack-level),7,0.6816811107996872,0.9911121391102985,-0.07887972896477696,-0.5993864398023488,0.5714285714285714,maturing
luxury_discretionary,High-end consumer discretionary,2,0.43329527139377516,0.7427262997043864,-0.19442059016545987,-0.38770776736310264,1.0,peaking
power_grid_infra,Power grid equipment + construction,5,0.4082478349751666,0.7176788632857779,-0.1521612132604495,-0.2814191509015832,0.8,peaking
electrical_components,Electrical connectors + components (AI/industrial bridge),2,0.36830596573077135,0.6777369940413825,-0.1178827560576821,-0.38270399209948264,1.0,peaking
industrial_reshoring,US manufacturing / reshoring beneficiaries,6,0.332318195558366,0.6417492238689771,-0.10297121942474091,-0.26796874435260165,0.5,maturing
oil_gas_services,Oilfield services + equipment,3,0.29065982172031196,0.6000908500309231,-0.480310658004316,0.05167793836636042,1.0,peaking
pharma_large_cap,Large-cap pharma (non GLP-1),1,0.2848266916525372,0.5942577199631485,-0.3052432833188301,-0.1250099595984217,1.0,peaking
semi_analog,Analog + industrial semi (non-AI focused),2,0.23060323603190674,0.540034264342518,-0.2055817799418256,-0.11941240711617084,1.0,peaking
networking_infra,Network infra + switches (legacy stack),4,0.09614356583377034,0.4055745941443816,0.030354343875393878,-0.1084859147008621,0.5,maturing
oil_gas_ep,Oil & gas exploration + production,9,0.01482313853631721,0.32425416684692837,-0.3556838045438683,0.3667007232478111,1.0,maturing
biotech_cros,Clinical research organizations,2,-0.023058938099841914,0.2863720902107693,0.1262887976851402,-0.1723782124579498,0.0,dead
ecommerce,E-commerce + marketplaces,2,-0.03178603984501405,0.27764498846559715,-0.022028270477297343,0.05605924223232169,0.5,early
cloud_hyperscale,Cloud infrastructure giants,6,-0.04947675237054917,0.25995427594006204,0.054924868067642706,-0.10867636449099077,0.3333333333333333,dead
ai_software,AI-native or AI-heavy software platforms,8,-0.07080037875891793,0.23863064955169327,0.07609760381192142,-0.09450800255793163,0.25,dead
travel_booking,Online travel + booking,4,-0.08348836352627187,0.2259426647843393,-0.0867006181785106,-0.02408632778602529,0.5,dead
discount_retail,Off-price + discount retailers,5,-0.08663024632654058,0.22280078198407063,-0.10867139641707632,0.1330371387785357,0.6,early
nuclear_smr,Nuclear power + small modular reactors,5,-0.09136968977077144,0.2180613385398397,0.022144173071694778,0.025391004296794625,0.2,dead
digital_banks_brokerage,Online brokers + digital banks,1,-0.111643406211479,0.1977876220991321,-0.0347381226432222,0.021758699334286605,0.0,dead
utilities_regulated,Regulated utilities (non-nuclear),8,-0.1129225562610825,0.19650847204952868,-0.12273303271916723,0.2308852537062379,0.875,early
telecom_internet,Internet infra + telecom (including web services leaders),4,-0.13911783391597177,0.1703131943946394,-0.17588228450278293,0.29166485303602124,0.75,early
autonomous_driving,EV + ADAS + autonomy,2,-0.15119001419330386,0.15824101411730723,0.0966202288236382,-0.01738050157730675,0.0,dead
weight_loss_drugs,GLP-1 / obesity drugs,1,-0.1536662709722895,0.1557647573383216,-0.2362274339434186,0.1979768203761788,1.0,early
lng_midstream,Natural gas LNG export + midstream,4,-0.16630512466429476,0.1431259036463164,-0.25603781400332903,0.4522578995558678,1.0,early
consumer_tech_mega,Consumer hardware/services mega-caps,2,-0.1880383943039044,0.1213926340067067,-0.0388195618884973,0.10582996169290285,0.5,dead
cybersecurity,Security platforms + zero trust,5,-0.2509265757421297,0.058504452568481524,0.18778643140069595,0.15267584327431644,0.2,dead
payments_rails,Card networks + processors,3,-0.3327733600682822,-0.023342331757670965,0.07292482119605452,0.18827113380489333,0.0,dead
oncology_mrna,Oncology + mRNA platforms,1,-0.4111704715978673,-0.1017394432872561,-0.1197973494058283,0.3632322586822372,0.0,dead
medtech_devices,Medical devices + equipment,7,-0.4139977290628744,-0.10456670075226324,0.02213990172130076,0.25800382208493056,0.14285714285714285,dead
saas_vertical,Vertical SaaS (non-AI),2,-0.6132513519809282,-0.3038203236703169,0.299131869186257,0.349884233823901,0.0,dead
crypto_blockchain,Crypto-adjacent equities,0,,,,,,
uranium_materials,Uranium + strategic materials,0,,,,,,
