book,journey_tag,count,avg_run_months,avg_total_return,total_weighted_contribution
concentrated_grid_presence,normal,444,2.4887387387387387,0.04351532645304476,9.020717406717429
concentrated_grid_presence,short_big_win_review,29,2.6551724137931036,0.36720464952979615,2.7028842797825865
concentrated_grid_presence,long_winner,7,8.285714285714286,0.79666082605792,1.8463169687398606
concentrated_grid_presence,quick_loss,6,2.0,-0.1309799583744337,-0.0363619495690363
concentrated_grid_presence,open_winner_hold,1,6.0,0.6317744522138637,0.31982100096204596
lifecycle_review_overlay_main,normal,135,4.488888888888889,0.034028038302678816,0.2552627364348252
lifecycle_review_overlay_main,long_winner,19,14.263157894736842,1.0604632361992088,1.6480619467109883
lifecycle_review_overlay_main,quick_loss,6,2.0,-0.14680216554736006,-0.0588622482448332
lifecycle_review_overlay_main,open_stale_watch,4,8.25,0.2659753618175744,0.07736959690011756
lifecycle_review_overlay_main,short_big_win_review,2,3.0,0.4284551607850281,0.015168096640732957
main_v2_research,normal,399,1.6917293233082706,0.03846482669707779,1.1191813611361627
main_v2_research,quick_loss,75,1.2,-0.15696881400922413,-0.7930704192929791
main_v2_research,short_big_win_review,31,2.096774193548387,0.35000049301190816,0.8264513205720436
main_v2_research,long_winner,7,7.857142857142857,1.0308984607231384,0.40826448589371467
main_v2_research,open_winner_hold,1,8.0,3.6944852292068475,0.14117750960162598
monster_lifecycle_concentrated,normal,106,4.40566037735849,0.06405127880630827,0.7253234653169939
monster_lifecycle_concentrated,quick_loss,27,1.3703703703703705,-0.14857934412624957,-0.1119558063272868
monster_lifecycle_concentrated,long_winner,5,8.4,0.741440956153385,0.48112208521416466
monster_lifecycle_concentrated,short_big_win_review,3,3.0,0.36981084880567977,0.08705940402811821
monster_lifecycle_main,normal,157,4.707006369426751,0.05629427432076203,0.5007436489123399
monster_lifecycle_main,quick_loss,33,1.3636363636363635,-0.14299718812187334,-0.09281178388963979
monster_lifecycle_main,long_winner,7,11.714285714285714,0.8864479859925002,0.6557961721296766
monster_lifecycle_main,short_big_win_review,3,3.0,0.3201872487452837,0.0467118462917967
monster_lifecycle_main,open_winner_hold,1,8.0,0.8361810472666358,0.08626389188621839
production_main,normal,681,2.723935389133627,0.036143388836450054,1.1559484942926166
production_main,short_big_win_review,42,2.2857142857142856,0.3996747847256663,0.5261625727264129
production_main,long_winner,11,10.636363636363637,1.0728195488116226,0.46959693368540834
production_main,quick_loss,11,2.0,-0.13329202544738003,-0.05462616383951376
production_main,open_stale_watch,1,8.0,0.24049537620738715,0.012710373761163357
production_main,open_winner_hold,1,6.0,0.6317744522138637,0.0229699436469444
