date,cash_usd,equity_usd,cash_weight
2019-06-03,60546.62383502959,99901.6125282669,0.6060625279486663
2019-06-04,83881.75373756408,100850.13450538635,0.8317465727632124
2019-06-12,61352.176515426625,101424.04705986023,0.6049075963140844
2019-06-13,34410.9727001953,101091.93095214842,0.34039287187504247
2019-07-01,34357.660969924924,101191.36143989563,0.33953156159809406
2019-08-01,35078.67094738006,102750.34785778045,0.34139710160332887
2019-08-06,84796.20181444168,101745.4672639656,0.8334150315949582
2019-09-03,85417.2005489254,102413.51524619102,0.8340422681868861
2019-09-10,61989.92111351967,102541.49786522865,0.6045349678331563
2019-09-11,34806.83795433998,102343.06259423256,0.34009963227640877
2019-10-01,34557.53824730872,101752.29328270911,0.339624170939262
2019-10-03,83667.40614323615,100492.51261906623,0.8325735317256076
2019-10-16,61202.03592858314,100984.2003267765,0.6060555584986407
2019-10-17,34447.193002405154,100814.66010445594,0.3416883315056935
2019-11-01,34304.93367756367,101153.73246181966,0.33913660764334147
2019-12-02,33788.66889105797,99114.46303473473,0.340905533425699
2020-01-02,36402.99842555523,107309.19962604047,0.33923464672567927
2020-02-03,45973.67760848522,134731.16962813854,0.34122525422568317
2020-02-28,77887.84394732951,129206.17545978069,0.6028182760627757
2020-03-02,78718.16725583552,130395.46451993464,0.6036879238526063
2020-03-10,106237.1242043638,127394.17230388163,0.8339245216880837
2020-03-27,75607.69262796878,125093.50163370608,0.6044094348670507
2020-03-30,105472.47853498935,126489.9459574747,0.833840806370877
2020-03-31,76620.61947527408,126601.76488390446,0.6052097263062346
2020-04-01,103965.00422062396,124363.00708164691,0.835980141203636
2020-04-03,75392.61418587207,124613.50840431689,0.6050115685793523
2020-04-06,106073.48200641153,127319.60618625162,0.8331276319786928
2020-04-07,76855.90888237474,127035.1663286638,0.6049971130319465
2020-04-08,105725.8113014841,126672.37454153536,0.8346398469606096
2020-04-09,76734.14234981057,126723.52452525613,0.6055240543322907
2020-04-13,106462.19167798516,127590.5346841192,0.8344050907973519
2020-04-14,77655.71318942543,128210.05800754066,0.6056912725588044
2020-04-15,43547.39259742256,127863.63748572822,0.34057683211368983
2020-04-22,108826.61566884513,130402.17617757316,0.8345460088077991
2020-04-23,44307.74845572944,130170.87820121284,0.3403814206987244
2020-05-01,42180.77216377254,124276.97522583004,0.3394093884818463
2020-06-01,45336.42533272261,133521.68340462202,0.3395435421176935
2020-07-01,44393.24055332655,130486.48106235976,0.3402133323843021
2020-08-03,49307.09545513624,145361.59679790967,0.33920303946362046
2020-09-01,51731.39439503186,152227.1086131715,0.3398303683642046
2020-09-21,86321.75157520763,143060.01868031017,0.6033953607129535
2020-10-01,87396.87965464107,144631.59507059568,0.6042723902200073
2020-10-02,49171.63323500149,144438.49699690336,0.34043301652505903
2020-10-05,88458.15431192867,146685.3679883813,0.603046885487142
2020-10-06,50041.34515011302,146447.54793941966,0.3417014887187692
2020-11-02,119839.02843098156,143372.72645954601,0.835856521601375
2020-11-06,87800.84774540417,145255.90652225964,0.6044562995581125
2020-11-09,49428.06293604367,145208.18375513545,0.34039447128816247
2020-12-01,49872.53197872632,147083.3150674104,0.33907674678034705
2021-01-04,48620.34357571119,143084.41991543287,0.33980180095392115
2021-02-01,50347.43071190351,148290.20724693767,0.33951959233601536
2021-03-01,53278.66808599942,157231.0535840463,0.33885588674453443
2021-03-04,92524.61411222929,153303.44672331327,0.6035390337910701
2021-03-05,129847.02706141942,155579.2390021848,0.8346038192126392
2021-03-18,94539.34353011602,156506.3513655042,0.6040607470896135
2021-03-23,52828.50198312277,155330.34924264427,0.34010418595401753
2021-04-01,55191.89041158194,162102.2555544042,0.34047577082021924
2021-05-03,57558.19661627286,169674.87559805386,0.33922639644435987
2021-05-12,99732.6790927457,165240.76290164463,0.6035597835632667
2021-05-13,138335.16766490453,165845.6595930051,0.8341199160978169
2021-05-27,100341.68931066983,165981.94686377043,0.6045337532582697
2021-05-28,56572.326300835535,166370.26670763484,0.34003868251441227
2021-06-01,56473.09659185879,166494.02925100795,0.3391899207791976
2021-07-01,57576.61022802821,169052.29962011805,0.3405846022645663
2021-08-02,60031.52654051294,175862.35713743677,0.34135517979892754
2021-09-01,61232.3170689248,180251.7492588662,0.3397044262854104
2021-09-29,103461.47433302391,171497.84826490868,0.6032814719238309
2021-10-01,102922.47344339837,170120.3313688134,0.6049980776269884
2021-10-05,140833.01824340335,168868.55880507937,0.8339801040521894
2021-10-19,102231.2002198743,169074.07346511356,0.6046533222077275
2021-10-20,57827.38151016705,169998.26216354838,0.3401645450618412
2021-11-01,59419.58611143581,174836.91492308132,0.3398572100038323
2021-12-01,58435.93401410572,170723.1695182561,0.3422847301804395
2021-12-20,106336.72413266651,177405.66468442432,0.5993986963258595
2021-12-30,62176.3552995061,179947.8260026311,0.34552434825523815
2022-01-03,60554.701977744015,177486.05900289048,0.3411800471425073
2022-01-11,103467.24275365344,171627.97012486926,0.6028576966701584
2022-01-19,141512.73421163074,169962.9647566747,0.8326092358663292
2022-02-01,141469.32626847734,169173.3111317586,0.8362390339354159
2022-02-10,102100.27675029269,168852.2309891843,0.6046723585004491
2022-02-11,140351.16029386033,168311.9442522954,0.8338752244670019
2022-03-01,140528.15455874908,168236.92233523834,0.8352991282063802
2022-03-21,101849.53569797028,168626.23162082184,0.6039958001729665
2022-03-22,141281.04168605315,169238.97389125335,0.8348020461104608
2022-03-23,102041.3996117543,168920.6356575917,0.6040789463911085
2022-03-24,142205.00636111724,170388.08629428374,0.8345947739298484
2022-03-25,102971.17859866607,170423.6799490689,0.6042069894831458
2022-03-28,140680.10054908265,168581.2046750592,0.8344945738182615
2022-03-29,101868.24595672119,168564.40293151367,0.6043283408900361
2022-03-30,57215.12933269967,168277.7926513337,0.34000403993441736
2022-03-31,138483.88565523614,165950.01259310235,0.8344915646061973
2022-04-01,56259.6729912423,165853.06800314417,0.3392139420066426
2022-04-04,137348.6896874093,164554.190358796,0.834671480488783
2022-04-05,55641.74820351113,163923.8133661698,0.33943663864883183
2022-04-06,137030.84849999895,164221.19505380144,0.8344285185301781
2022-04-08,55824.6242046975,164344.6600704812,0.3396801829810378
2022-04-11,136340.6957653283,163413.63002283563,0.8343287873005201
2022-05-02,135455.9740892266,162222.13333757865,0.8350030375161409
2022-06-01,98172.62045949447,162593.35621160018,0.6037923242800395
2022-06-02,136067.9623152112,163047.24254287232,0.8345309015540874
2022-06-03,98385.54388553131,162825.50758487213,0.604239135162826
2022-06-06,136681.56725309836,163763.56725691305,0.8346274421261944
2022-06-07,98906.14865328299,163697.29253984915,0.6042014936148444
2022-06-08,135613.87439253318,162472.32242872703,0.8346890865182527
2022-06-09,97653.20760279166,161695.66368036735,0.6039321363362476
2022-06-10,134023.41193933,160582.9529511403,0.8346054763366356
2022-07-01,134901.5066853474,161399.0650044392,0.8358258251473576
2022-07-06,97863.42700379834,161360.4640216206,0.606489499129636
2022-07-07,134359.80251428112,161432.97383996472,0.8322946627216175
2022-07-08,97928.29260446057,161377.29956246837,0.6068281776307268
2022-07-11,133979.65498757825,160938.90749001966,0.8324876630337928
2022-07-18,96966.73344247328,159736.6452466725,0.607041254013648
2022-07-19,133927.43311776625,160599.89179696547,0.8339198216091003
2022-07-20,54537.404901823866,160174.77898629653,0.34048684347795927
2022-07-21,132721.53806741224,159273.773327422,0.833291855242069
2022-07-22,54142.992483305796,158888.3600980519,0.3407612266241121
2022-07-25,132930.05753457535,159495.07315957535,0.8334430330746229
2022-07-26,96547.90214868057,159364.65513940324,0.6058300823619007
2022-07-27,132588.01952142228,159222.17235345353,0.8327233422433986
2022-07-28,54284.87966775407,159003.71432351577,0.34140636210109987
2022-07-29,134545.93985719193,161533.4108654927,0.8329294796432363
2022-08-01,54578.016314940345,160793.21178002824,0.33942985347917126
2022-08-30,133967.84154782761,160712.52173886765,0.8335868300635846
2022-09-01,134202.1387016629,160552.61891864287,0.8358763600715065
2022-10-03,134894.456385188,161400.24166350832,0.8357760496196759
2022-10-25,98598.7481455945,162971.0910411023,0.6050075968426037
2022-10-26,135964.67120658388,163045.43185721865,0.8339066581494304
2022-10-27,98848.12125667086,163650.43627437105,0.604019906741619
2022-10-28,136779.82158099642,164157.65121661653,0.8332223357686002
2022-10-31,99274.14899825564,164102.09321212283,0.6049535813655416
2022-11-01,136978.94607078066,164006.5461989545,0.8352041381605162
2022-11-11,99705.04634520998,164823.2828106641,0.6049208864486896
2022-11-14,137660.42474511615,164984.23263696185,0.8343853381918613
2022-11-16,55886.585415606416,164584.2048690366,0.33956226516436766
2022-11-17,138266.62163135043,165820.19089099398,0.8338346548053573
2022-11-18,99829.70916736117,165249.18119800082,0.6041162107045218
2022-11-21,136911.99825705995,164138.06036033144,0.8341270632569786
2022-11-22,99308.3811520337,164317.91794097412,0.6043673288734526
2022-11-23,136813.89579619875,163985.36610259523,0.8343055179119031
2022-11-25,99084.80921401491,163963.94785537233,0.604308511169874
2022-11-28,135393.29853103153,162264.07740066043,0.8344009388887725
2022-12-01,55113.3471737241,162442.7108440732,0.3392786717689459
2022-12-06,132754.09661307803,159098.83880057803,0.8344127311920753
2022-12-09,54116.6583376836,159170.26803311816,0.3399922548752866
2022-12-12,134206.32646784297,160824.52293619624,0.8344891936728238
2023-01-03,133526.26191646094,159895.08740931982,0.8350867064142089
2023-01-12,98448.70729590887,163002.34215308662,0.6039711208778152
2023-01-13,55655.9537514543,163780.1603897905,0.33982109688374507
2023-02-01,57382.19498735899,169155.25577074522,0.3392279756599974
2023-03-01,54075.49623754496,159514.94708898538,0.3389995559938277
2023-03-13,92877.11005846971,153938.587448759,0.6033387183664095
2023-03-17,52243.23118145937,153503.61436017032,0.34033876921542344
2023-04-03,55008.84610653872,161565.26959897036,0.3404744487666134
2023-05-01,53614.927010698266,158102.9059230518,0.33911411493469
2023-06-01,51998.4533352756,152932.1797375583,0.3400098882034401
2023-07-03,53624.995128250055,157722.46498832694,0.3399959234229496
2023-08-01,55558.81405316344,163482.8124509906,0.3398449856606121
2023-08-16,90914.909309225,150643.22605498304,0.6035114335379548
2023-08-31,52442.72543782226,154215.7246825122,0.34006081770057767
2023-09-01,52558.9262852191,154623.6851963519,0.33991510562224747
2023-09-22,123826.83516449919,148462.44824738492,0.8340616541508524
2023-10-02,124074.86416967382,148605.4011836814,0.8349283618319702
2023-10-11,90598.5788471793,149881.64906812657,0.6044674542244929
2023-10-12,51241.98403312672,150710.7106566619,0.34000227196766697
2023-10-16,127435.92549848545,152764.26853895176,0.8341998211839171
2023-10-18,92374.14859666812,152782.6120747565,0.6046116592866567
2023-10-19,127283.18565325726,152555.95569567668,0.8343377029944716
2023-11-01,126775.24683827386,151716.56705922112,0.8356058227232913
2023-11-06,91549.84370556817,151432.2919172381,0.6045595859805297
2023-11-07,51205.2611788653,150095.89542569147,0.3411503094980747
2023-12-01,52035.5218630694,153295.60731228814,0.33944561605776846
2024-01-02,53168.745253038265,156552.03172154413,0.3396234764145918
2024-02-01,55373.56998494135,160852.6660085009,0.34425024688129763
2024-03-01,58509.77156270012,172464.12019551263,0.339257646728902
2024-04-01,59647.62581955896,175519.0837968539,0.3398355582153974
2024-04-19,103060.1321616076,170981.28058384883,0.6027568153056799
2024-04-22,142799.7840061663,171292.46853070243,0.8336606111819265
2024-05-01,142026.43431328755,169966.90134667378,0.8356123056194492
2024-05-06,103304.99271644573,170721.7388712309,0.6051074303686942
2024-05-07,57959.993694600875,170467.4154208277,0.34000629124056825
2024-06-03,56108.02996698361,164802.80956140498,0.3404555426955749
2024-07-01,52472.645925741024,154122.81792662604,0.3404599437749829
2024-07-26,97117.3642910002,161186.9041469572,0.6025139871317116
2024-08-01,96512.81668625814,159524.30706940632,0.6050038295685375
2024-08-06,130911.02472499831,157096.38403133376,0.833316600711111
2024-08-16,95949.22927017196,158839.42734451278,0.6040643111994107
2024-08-19,55273.9749002169,162669.09429261193,0.33979395496472814
2024-09-03,55195.882535562356,162803.0226722811,0.3390347527310377
2024-09-05,135006.8456710623,162088.235884075,0.8329219263489226
2024-09-20,97954.64563261015,161714.2465389822,0.6057267540061635
2024-09-23,55212.14652700407,161457.35487050994,0.34196117340882143
2024-10-01,54174.875208740064,159545.6393917845,0.3395572289864144
