ticker,drawdown_pnl_usd,drawdown_contribution_return_on_start
DDOG,-43106.57154846192,-0.42652675534148765
BLD,-23268.059661865234,-0.23023055729472977
ORLY,-15209.786994934082,-0.15049633648296637
MA,-12456.713714599606,-0.12325549195979972
MLI,-11950.971187591553,-0.11825131947903451
XPO,-11120.500526428223,-0.11003405831007167
AMD,-9004.860061645508,-0.08910042266014659
NVDA,-8747.089395523071,-0.08654985828228111
NET,-8673.988357543945,-0.08582654516733579
TMUS,-5036.206787109375,-0.049831774204533906
WCC,-4751.807662963869,-0.047017729123092676
ON,-3792.5994873046875,-0.03752664838611079
LOPE,-3765.800018310547,-0.03726147557963754
DXCM,-3132.4280395507812,-0.030994447483447887
RKLB,-2907.0898475646954,-0.028764792829185044
FANG,-2813.1494064331055,-0.0278352799936268
ONTO,-2474.7994384765625,-0.024487407295373444
STLD,-2340.967391967774,-0.0231631788423189
CTAS,-1937.372215270996,-0.019169724132184495
JBL,-1727.0740814208975,-0.017088886397626762
TSLA,-919.8592224121094,-0.009101734501554904
MSI,-890.9662475585938,-0.008815847074794958
PCTY,-829.5393676757849,-0.00820804629579516
TXRH,-796.5182876586914,-0.007881312491374448
BRKR,-742.9725570678711,-0.007351493349863369
DAL,-598.6751861572266,-0.005923713612158378
RGLD,-493.4564208984375,-0.004882605100514978
CHE,-390.15216064453307,-0.003860440048731298
PLNT,-387.24005126953125,-0.003831625589165136
CW,-100.27793884277389,-0.000992220497954832
LOW,-81.20623779296875,-0.0008035116659738187
AFG,-47.59294128417969,-0.00047091805480928826
DPZ,-43.2998046875,-0.00042843874000780943
RRX,-40.211029052734375,-0.00039787622013787947
CARR,63.901329040527344,0.0006322847203708412
FDS,101.86441040039062,0.0010079181640322904
FTNT,114.17166137695494,0.0011296947664769037
ANET,1246.0624675750732,0.012329418976178523
MOS,1424.6742362976074,0.014096729514744074
INTU,3294.4121704101562,0.03259723247122141
CPRT,4418.945236206055,0.04372415401934101
BKR,5467.456031799316,0.05409885772506573
CHRW,6163.235954284668,0.06098339393634366
AVGO,17018.774185180664,0.16839572882602827
SQM,18322.760456085205,0.18129828667648215
BLDR,18346.859695434574,0.18153674151055144
LPX,19841.060913085938,0.19632141990873123
LRCX,27362.689655303955,0.2707457080638396
ACLS,32447.91069793701,0.3210624638065246
