rank,ticker,Name,sector,weight,score,score_model_core,score_total,score_focus_bonus,portfolio_seed_score,ensemble_weight_linear,ensemble_weight_catboost,ensemble_weight_ranker,adaptive_ensemble_active,adaptive_ensemble_history_months,adaptive_quality_linear,adaptive_quality_catboost,adaptive_quality_ranker,anticipatory_growth_score,profitability_inflection_score,dominant_archetype_label,archetype_alignment_score,portfolio_sleeve_label,portfolio_sleeve_confidence,portfolio_core_compounder_engine_score,portfolio_future_winner_engine_score,portfolio_early_scout_engine_score,sage_sector,sage_composite_score,sage_g_score,sage_v_score,sage_q_score,sage_c_score,sleeve_target_core_compounder_weight,sleeve_target_future_winner_weight,sleeve_target_early_scout_weight,sleeve_invested_share,sleeve_growth_signal,sleeve_risk_signal,future_winner_regime_strength,early_scout_regime_strength,future_winner_scout_score,long_hold_compounder_score,score_future_winner_model,pred_future_winner_ret,pred_future_winner_p,strategy_blueprint_score,stagflation_score,growth_liquidity_reentry_score,m2_yoy_lag1m,fed_assets_bil,reverse_repo_bil,tga_bil,net_liquidity_bil,net_liquidity_change_1m_bil,liquidity_impulse_score,liquidity_drain_score,fear_greed_score,fear_greed_delta_1w,fear_greed_risk_off_score,fear_greed_risk_on_score,fund_join_status,fundamental_reliability_score,core_fundamental_fields_present,sector_adjusted_fields_present,partial_scout_confirmation_score,fundamental_lane_label,latest_statement_repair_used,revenues_ttm,gross_profit_ttm,op_income_ttm,net_income_ttm,op_margin_ttm,gross_margins,operating_margins,roe_proxy,roa_proxy,asset_turnover_ttm,book_to_market_proxy,capital_efficiency_score,sector_adjusted_quality_score,market_cap_live,current_price_live,return_on_equity_effective,revenue_growth_final,earnings_growth_final,forward_pe_final,peg_final,sales_growth_yoy,net_income_growth_yoy,op_income_growth_yoy,ocf_growth_yoy,sales_cagr_3y,sales_cagr_5y,net_income_cagr_3y,net_income_cagr_5y,op_income_cagr_3y,op_income_cagr_5y,ocf_cagr_3y,ocf_cagr_5y,ep_ttm,sp_ttm,fcfy_ttm,price_above_ma20,ma20_above_ma50,golden_cross_fresh_20d,death_cross_recent_20d,breakout_fresh_20d,breakout_volume_z,volume_dryup_20d,post_breakout_hold_score,held_from_prev_rebalance,prev_weight,portfolio_hold_policy_seed_bonus,portfolio_hold_policy_bonus,portfolio_hold_policy_support,portfolio_hold_policy_exit_risk,target_n,weight_cap,cash_target,prev_holdings_applied,prev_holdings_count,rebalance_action,active_rebalance_interval_months,sleeve_rebalance_interval_months,scheduled_rebalance_due,atr14_pct,event_regime_label,live_event_alert_label,applied_regime_sleeve_policy_label,applied_regime_sleeve_live_label,applied_regime_sleeve_source_label,backtest_usable,research_only_backtest,research_only_output,entry_date,last_trade_date,thesis_status,entry_price,reference_price,shares_held,held_days,unrealized_return,manual_lock
1,GEV,GE VERNOVA INC,Industrials,0.12223956494080929,6.115287255975872,3.8949965346885485,6.107574340533538,0.9255067867369287,7.42345086991719,0.25771206860275586,0.43120066815843344,0.31108726323881075,True,12,-0.2200093744412707,-0.1612678807959857,-0.2827990843851746,1.2811089653978485,0.4902212739920475,emerging_growth,0.954761537105585,core_compounder,0.051101223527276196,0.464008904056553,0.8410560872731899,0.6877524166913613,Industrial,0.46008031499377167,2.509681616028677,-2.8622563552501794,-0.3086341419518329,2.496095824561586,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,0.5192994029116667,0.39300199625509735,0.1262974066565693,0.12242798353909465,1.723197156992223,0.60260081751315,0.1664134818797265,0.9055626626873088,0.5390307832891671,1.2152104809056121,0.11084780758488127,0.47675754236876017,0.046905869017049406,6.0,0.607,6.0,6.0,-6.0,0.0,0.32785230554849754,6.0,0.5714285714285978,0.01654917645930582,0.23199999999999987,matched_with_ttm,0.92839,5,0,0.8571428571428571,full_ttm,False,39375000000.0,7846000000.0,1524000000.0,9365000000.0,0.0387047619047619,0.19926349206349206,0.0387047619047619,0.62163956189844,0.12385600169285299,0.5207506744961117,0.05274196873199564,1.196478135443747,-0.24061852351099533,285635905564.1565,1062.949951171875,0.62163956189844,0.12709317303563772,1.5666830823148952,32.9433,0.018063099369993257,0.12709317303563772,,,,,,,,,,,,0.03278649433621899,0.13785031654977287,,1.0,1.0,0.0,0.0,0.7,0.0,0.03552852852132449,0.74,0.0,0.0,0.0,0.0,0.0,0.0,18,0.18,0.0,False,0,full_rebalance,1,1,True,0.04466040526889529,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
2,GOOGL,ALPHABET INC CLASS A,Communication,0.1103809347307909,6.364850065130181,4.178330833053984,6.3258496501891095,0.8906755869821847,7.283085327827308,0.25771206860275586,0.43120066815843344,0.31108726323881075,True,12,-0.2200093744412707,-0.1612678807959857,-0.2827990843851746,1.2971933750340772,0.39132198464418877,emerging_growth,0.9347717515035263,core_compounder,0.019577536566887765,0.6529944577319101,0.7117270674325734,0.5433683107137528,Software,0.19981818306483012,0.6709878575399931,-1.0500161576506646,0.3048729326574015,1.008388261160989,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,0.5192994029116667,0.39300199625509735,0.1262974066565693,0.12242798353909465,1.5427075688754677,0.6368627627279535,0.1775237137341393,0.9645583510189049,0.5609327199729274,0.9909220013800092,0.11084780758488127,0.47675754236876017,0.046905869017049406,6.0,0.607,6.0,6.0,-6.0,0.0,0.32785230554849754,6.0,0.5714285714285978,0.01654917645930582,0.23199999999999987,matched_with_ttm,1.0,5,0,1.0,full_ttm,False,422498000000.0,255053000000.0,138129000000.0,160208000000.0,0.3269340919957018,0.6036785972951352,0.3269340919957018,0.33464091605987306,0.22759436810201172,0.6002082625983955,0.10244895011611208,1.0655737232835756,0.8580357980771688,4673020069580.078,385.69000244140625,0.33464091605987306,0.17454192648027744,0.44336732855238026,31.4739,1.0554627766599598,0.17454192648027744,0.44336732855238026,0.17532589088186246,0.3148694202909481,0.1407157505639378,0.1652553373926271,0.3982809091830559,0.25551033232955955,0.24156269994055246,0.22694705493500056,0.24701379565170267,0.19035609074455007,0.03428361051622798,0.09041219462127541,0.03259754885103423,1.0,1.0,0.0,0.0,1.0,0.27974273977731706,0.18716154334653112,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.18,0.0,False,0,full_rebalance,1,1,True,0.025633107236591568,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
3,NVDA,NVIDIA CORP,Information Technology,0.10108037884161723,5.175651088293638,2.848439396546569,5.122554512907168,1.0075171881849392,6.071636926615102,0.25771206860275586,0.43120066815843344,0.31108726323881075,True,12,-0.2200093744412707,-0.1612678807959857,-0.2827990843851746,1.348337123624842,0.2498609305013379,compounder,1.2733823501249006,core_compounder,0.14131360668042373,0.9526812052797902,0.528740385238519,0.34839882580749665,Semiconductor,0.8241127400434877,2.6064203931813825,0.0,0.0,-0.5875626504666414,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,0.5192994029116667,0.39300199625509735,0.1262974066565693,0.12242798353909465,1.0603612956681385,1.6717601436254055,-0.08338373290546879,-0.20571921629369122,0.05842446032136361,1.9153663177644278,0.11084780758488127,0.47675754236876017,0.046905869017049406,6.0,0.607,6.0,6.0,-6.0,0.0,0.32785230554849754,6.0,0.5714285714285978,0.01654917645930582,0.23199999999999987,matched_with_ttm_fallback,0.925,5,0,0.5714285714285714,full_ttm,False,215938000000.0,153463000000.0,130387000000.0,120067000000.0,0.6038168363141272,0.7106808435754708,0.6038168363141272,0.7633333969089534,0.5805863551302447,1.0441724733200195,0.03238173476893669,3.142256252113139,2.311004796881329,4857460575302.124,198.4499969482422,0.7633333969089534,0.6547353579009478,2.0294308588944108,42.5913,0.4470588852734334,0.6547353579009478,,,,1.0052198737118174,0.6719241211603657,2.0294308588944108,0.9477711634965376,2.1492597803874185,0.9624152069870582,1.6396081372638758,0.7789798723371186,0.024718059598977205,0.04445491561947862,0.02097762779961671,1.0,1.0,0.0,0.0,0.8,0.0,0.15854629323573155,0.76,0.0,0.0,0.0,0.0,0.0,0.0,18,0.18,0.0,False,0,full_rebalance,1,1,True,0.03227872945861763,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
4,GLW,CORNING INC,Information Technology,0.06999999999999999,5.840040581844182,4.316909520324712,5.833752958592672,0.7378890473266067,6.717541224788518,0.25771206860275586,0.43120066815843344,0.31108726323881075,True,12,-0.2200093744412707,-0.1612678807959857,-0.2827990843851746,1.4447985172837088,0.36957534671534104,emerging_growth,0.8421957498768522,future_winner,0.039796755596637534,0.35561481754349833,0.8676758574692601,0.7482855906793475,Software,-0.013323506738641466,-0.2786985345405513,-0.9149898603017772,-0.03916904468755962,2.1517380439859046,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,0.5192994029116667,0.39300199625509735,0.1262974066565693,0.12242798353909465,1.8127503333475747,0.4400771692136512,0.10041086954139479,0.6231891432205625,0.40903962376104835,0.5509473875056504,0.11084780758488127,0.47675754236876017,0.046905869017049406,6.0,0.607,6.0,6.0,-6.0,0.0,0.32785230554849754,6.0,0.5714285714285978,0.01654917645930582,0.23199999999999987,matched_with_ttm_fallback,0.925,5,0,0.8571428571428571,full_ttm,False,15629000000.0,5621000000.0,2279000000.0,1742000000.0,0.1458186704203724,0.35965192910614885,0.1458186704203724,0.1415454619322337,0.05573864908968739,0.5000799923207372,0.09066511461785855,-0.07505400119731051,-0.3931701931075405,136204537456.87523,158.25999450683594,0.1415454619322337,0.1914163744473243,0.09796415013898607,94.6692,4.200053238686779,0.1914163744473243,,,,0.03273748859578829,0.06696788197405046,0.09796415013898607,0.33298925835570437,0.16586055080893258,0.349656141149296,0.010093005293607682,0.04333307946349807,0.012789588603474742,0.11474654436492925,0.018017020914424236,0.0,1.0,0.0,0.0,0.75,0.0,0.146970136271383,0.55,0.0,0.0,0.0,0.0,0.0,0.0,18,0.18,0.0,False,0,full_rebalance,1,2,True,0.06014063865297319,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
5,AMZN,AMAZON.COM INC,Consumer Discretionary,0.06379013308350084,4.786901652197228,3.4534542176210543,4.783582306719022,0.3557954496765425,5.313144419648516,0.25771206860275586,0.43120066815843344,0.31108726323881075,True,12,-0.2200093744412707,-0.1612678807959857,-0.2827990843851746,0.9834131314471792,0.5033200925175407,emerging_growth,0.5597818978966307,core_compounder,0.02967689688673471,0.2789703166107527,0.5584886057311367,0.46945791507093254,Software,0.147356381252769,0.4851102964150154,-0.3146020769286935,-0.06411653698014931,0.48164953989816217,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,0.5192994029116667,0.39300199625509735,0.1262974066565693,0.12242798353909465,1.2943083370414483,0.24146013805499814,0.09896947535276233,0.705537947405283,0.3715340738102454,0.6204550289890561,0.11084780758488127,0.47675754236876017,0.046905869017049406,6.0,0.607,6.0,6.0,-6.0,0.0,0.32785230554849754,6.0,0.5714285714285978,0.01654917645930582,0.23199999999999987,matched_with_ttm_fallback,0.8626666666666667,4,0,0.8571428571428571,full_ttm,False,716924000000.0,360510000000.0,79975000000.0,77670000000.0,0.11155296795755199,0.5028566486824266,0.11155296795755199,,0.08473429846284761,0.782130194298681,,0.19827214380589941,-0.0802686677595816,2885702282351.257,268.260009765625,,0.12377754683294695,0.6082272316789135,36.5523,1.3073068669527896,0.12377754683294695,,,,0.11728456546856747,0.41693047094167635,,0.6082272316789135,0.8688211092464733,0.6337694285804338,0.4395820730040392,0.16128676031516043,0.02691545849168988,0.2484400433075354,0.03899016218274746,1.0,1.0,0.0,0.0,1.0,0.03940142316199231,0.058460237656459135,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.18,0.0,False,0,full_rebalance,1,1,True,0.02816829872804588,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
6,FTI,TECHNIPFMC PLC,Energy,0.05918778714707522,3.2826391052073336,1.1190190609066744,3.263963654269099,1.1199406608243563,5.352874982514379,0.25771206860275586,0.43120066815843344,0.31108726323881075,True,12,-0.2200093744412707,-0.1612678807959857,-0.2827990843851746,1.574318277162581,0.30857187772297223,emerging_growth,1.0395907514613403,future_winner,0.01318960707852516,0.6451262918550239,0.9263059960011172,0.8867371747655417,Energy,1.1589692821592166,3.5289085022684255,-1.4495062383435486,-0.07199105256892172,2.02817086062257,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,0.5192994029116667,0.39300199625509735,0.1262974066565693,0.12242798353909465,2.1437794173424796,0.7373015895239632,0.07647378105678612,0.4863830797752042,0.3711554107610695,1.0436452013457258,0.11084780758488127,0.47675754236876017,0.046905869017049406,6.0,0.607,6.0,6.0,-6.0,0.0,0.32785230554849754,6.0,0.5714285714285978,0.01654917645930582,0.23199999999999987,matched_with_ttm_fallback,0.925,5,7,1.0,full_ttm,False,9932600000.0,,1436100000.0,967100000.0,0.1445844995268107,,0.1445844995268107,0.28399847296860775,0.09588443501452494,0.984781035286186,0.11155082098410345,0.6837895865677603,0.27052835469492026,30217617138.65249,75.79000091552734,0.28399847296860775,0.09350126055508468,0.5631231381933035,31.0275,2.092211732973702,0.09350126055508468,,,,0.14018259311077697,0.2372721575288066,,,0.5631231381933035,,0.7110926571390206,0.2185438260942596,0.03200450901083614,0.3287022915944897,0.04789921036323464,1.0,1.0,0.0,0.0,0.9,0.0,0.12941223529788237,0.9800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,18,0.18,0.0,False,0,full_rebalance,1,2,True,0.030130247897868365,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
7,ZTO,ZTO Express,Industrials,0.05100117867147019,2.588419182029742,-0.5456027937075488,2.507361091236904,1.1157821052895374,4.252059579945658,0.25771206860275586,0.43120066815843344,0.31108726323881075,True,12,-0.2200093744412707,-0.1612678807959857,-0.2827990843851746,1.1989794222104209,0.5604429598523805,compounder,1.7761551066385008,future_winner,0.008791736426224328,0.9526812052797902,0.9263059960011172,0.6822462440293537,Industrial,1.8836957859053511,2.031533852834019,4.163966806733132,0.011730985424832419,0.8582299291596905,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,0.5192994029116667,0.39300199625509735,0.1262974066565693,0.12242798353909465,1.4167080666347542,2.289697060984779,0.06523802217091268,0.597189667931695,0.27841822599574845,1.610613100682073,0.11084780758488127,0.47675754236876017,0.046905869017049406,6.0,0.607,6.0,6.0,-6.0,0.0,0.32785230554849754,6.0,0.5714285714285978,0.01654917645930582,0.23199999999999987,matched_with_ttm,1.0,5,0,1.0,full_ttm,False,7021016000.0,1754793000.0,1497886000.0,9182146000.0,0.21334319705296215,0.2499343399872611,0.21334319705296215,0.9564356827542243,0.7054367472922515,0.539403608886948,0.4978923177087897,2.76052341956035,1.6397622104046143,19282040832.0,25.139999389648438,0.9564356827542243,0.4714977343890814,11.446300259847291,2.0999492746031265,0.0018346096353680159,0.4714977343890814,11.446300259847291,0.7345838418976727,0.5105435962612863,0.11029977129191249,0.12687008094701846,0.10231430590663959,0.6916476892584371,0.10118424896367917,0.1550528059572196,0.009346936579778031,0.1766980974935599,0.47620197882588944,0.36412203776418184,0.05008956305066702,0.0,1.0,0.0,0.0,0.75,0.0,0.3023119276737668,0.75,0.0,0.0,0.0,0.0,0.0,0.0,18,0.18,0.0,False,0,full_rebalance,1,2,True,0.019519260991803972,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
8,TSM,Taiwan Semiconductor Manufacturing,Semiconductors,0.04938609999749516,4.802878730023498,3.555874720353449,4.823681101258739,0.686213104748108,5.625051010496754,0.25771206860275586,0.43120066815843344,0.31108726323881075,True,12,-0.2200093744412707,-0.1612678807959857,-0.2827990843851746,0.7806446588596031,0.44010947040412784,emerging_growth,0.4016613083847058,future_winner,0.03835712805872351,0.34528779268954873,0.5998334723323905,0.48476208815621996,Semiconductor,0.15566645588093891,0.2644538089125488,0.0,-0.003523945264634565,0.42659072718470326,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,0.5192994029116667,0.39300199625509735,0.1262974066565693,0.12242798353909465,1.1259612703225352,0.30923496870856,0.1095242510714011,0.7734159987967337,0.38431616363443577,0.5071427978581705,0.11084780758488127,0.47675754236876017,0.046905869017049406,6.0,0.607,6.0,6.0,-6.0,0.0,0.32785230554849754,6.0,0.5714285714285978,0.01654917645930582,0.23199999999999987,matched_no_ttm,0.37978,4,0,0.8571428571428571,full_ttm,False,,49538100000.0,40318800000.0,35301100000.0,,,,0.2704953205001479,0.17297728237146914,,0.06327608624267395,0.7487371873944932,0.48514993724565203,2062475853824.0,397.6700134277344,0.2704953205001479,,0.5272415555299121,58.425257394925374,1.1081307378399676,,0.5272415555299121,0.4909188192978806,,,,0.18202238803220028,0.24415577018404133,0.1982656230131521,0.26459210370260977,,,0.017115885228207086,,,1.0,1.0,0.0,0.0,0.8,0.0,0.005685912356456435,0.96,0.0,0.0,0.0,0.0,0.0,0.0,18,0.18,0.0,False,0,full_rebalance,1,2,True,0.03370168006898179,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
9,PWR,QUANTA SERVICES INC,Industrials,0.04308659469758904,3.1904582734514086,1.430429587987394,3.1977826995922927,0.7496895394964912,4.587208896095909,0.25771206860275586,0.43120066815843344,0.31108726323881075,True,12,-0.2200093744412707,-0.1612678807959857,-0.2827990843851746,1.5043491781778977,0.828140589445526,emerging_growth,0.7260901833235823,future_winner,0.0018162958343032054,0.16383590606894988,0.6517724992143673,0.6572213867172769,Industrial,0.5546824414144922,1.8608800778448014,-1.5127393649512255,-0.18520672004165836,2.1857395694468846,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,0.5192994029116667,0.39300199625509735,0.1262974066565693,0.12242798353909465,1.511242650207944,0.08540692777087236,0.028722353803980565,0.4167469027253097,0.2202471371134005,0.5292187209179057,0.11084780758488127,0.47675754236876017,0.046905869017049406,6.0,0.607,6.0,6.0,-6.0,0.0,0.32785230554849754,6.0,0.5714285714285978,0.01654917645930582,0.23199999999999987,matched_with_ttm_fallback,0.9221950000000001,5,0,0.8571428571428571,full_ttm,False,28479697000.0,4275081000.0,1611509000.0,1028378000.0,0.05658448543184993,0.1501097782044521,0.05658448543184993,0.11391142587944847,0.03994225571684794,1.106152932396791,0.0820904411619897,0.14341099310780137,-0.5030850729538645,111376146486.51007,742.2100219726562,0.11391142587944847,0.2030559551586537,0.2792153103531403,90.9084,5.270052173913044,0.2030559551586537,,,,0.18590697460932004,0.20518535169741048,0.2792153103531403,0.18209462956730382,0.22708744022435123,0.21393967642372136,0.2541354856572857,0.1485158356770424,0.00923337745505998,0.25570732960714776,0.019780447335434045,1.0,1.0,0.0,0.0,1.0,0.8144658629454541,0.12945594783088377,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.18,0.0,False,0,full_rebalance,1,2,True,0.030543915708009003,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
10,VRT,VERTIV HOLDINGS CLASS A,Industrials,0.039999999999999994,5.383205174798448,2.419734226152615,5.361024467434417,1.1199406608243563,7.3519288929961775,0.25771206860275586,0.43120066815843344,0.31108726323881075,True,12,-0.2200093744412707,-0.1612678807959857,-0.2827990843851746,2.3033376574188495,1.3100263244558938,emerging_growth,1.5470385269179372,core_compounder,0.01318960707852516,0.785730823318302,0.9263059960011172,0.8867371747655417,Industrial,1.0654667760971768,3.0602089871842844,-1.4170129910862947,-0.15569756150221437,2.583808458198697,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,0.5192994029116667,0.39300199625509735,0.1262974066565693,0.12242798353909465,2.49134768784152,1.647354177909481,0.08956959072548085,0.3691587695194459,0.4933686241149309,1.4072481330079765,0.11084780758488127,0.47675754236876017,0.046905869017049406,6.0,0.607,6.0,6.0,-6.0,0.0,0.32785230554849754,6.0,0.5714285714285978,0.01654917645930582,0.23199999999999987,matched_with_ttm_fallback,0.925,5,0,0.8571428571428571,full_ttm,False,10229900000.0,3715200000.0,1829700000.0,1332800000.0,0.1788580533534052,0.363170705480992,0.1788580533534052,0.3381625352041205,0.0994619443138484,0.7634196759725673,0.03366116019820764,0.6919346869400066,-0.09242183971711776,126106764443.19434,328.30999755859375,0.3381625352041205,0.2768541401432887,1.0114235914207654,79.7253,0.5866467991169978,0.2768541401432887,,,,0.21580013629307948,0.5095356874012973,,1.0114235914207654,1.0154071645889724,,,0.5887392073654256,0.010568822425067998,0.08112094577296153,0.015017433905007335,1.0,1.0,0.0,0.0,0.95,0.0,0.30346548802359796,0.99,0.0,0.0,0.0,0.0,0.0,0.0,18,0.18,0.0,False,0,full_rebalance,1,1,True,0.0474272955216549,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
