rebalance_date,net_return,drawdown,regime_state
2026-02-27,-0.1337253178407701,-0.13372531784077013,neutral
2024-05-31,-0.11478218683474399,-0.2542042294433553,neutral
2022-05-31,-0.10613140664012889,-0.24666546504064424,bear
2022-03-31,-0.10219104749978322,-0.17014216844311403,neutral
2021-12-31,-0.09950707302909234,-0.10469197888127857,bull
2022-11-30,-0.08333304952392236,-0.24198163844471554,neutral
2020-02-28,-0.07458152018075384,-0.11155942772999594,bear
2023-08-31,-0.07173100178291554,-0.2721999994957621,bull
2023-03-31,-0.07136973424278517,-0.22491744091140276,bull
2024-11-29,-0.06168309504667312,-0.06168309504667313,bull
