rebalance_date,regime_state,style_regime,gross_return,cost,turnover,net_return,cash_weight,n_positions,single_name_cap,selected_tickers,equity,drawdown
2019-05-31,bear,cash_defense,0.049741909706038714,0.001225,0.24499999999999997,0.04851690970603872,0.51,5,0.33,"HEI,SBUX,HD,SHOP,FDS",1.0485169097060387,0.0
2019-06-28,neutral,balanced,0.03116566678046427,0.0015186679970559697,0.30373359941119393,0.0296469987834083,0.0,9,0.33,"HEI,HD,SBUX,MSCI,CHDN,AWI,SHOP,ORCL,VEEV",1.0796022892524766,0.0
2019-07-31,neutral,quality_compounder,0.053714442929163775,0.0032113071672659893,0.6422614334531979,0.050503135761897786,0.0,9,0.33,"HEI,GOOG,PODD,FCN,HD,TER,FICO,MELI,TSCO",1.13412559023545,0.0
2019-08-30,neutral,quality_compounder,-0.021665595282602052,0.0026771085684734216,0.5354217136946843,-0.024342703851075474,0.0,10,0.33,"PODD,GOOG,AMT,SHOP,HEI,DG,RMD,BAH,DLTR,HD",1.106517906862422,-0.02434270385107562
2019-09-30,neutral,quality_compounder,0.0010107201913244989,0.0032961334952282435,0.6592266990456487,-0.0022854133039037446,0.0,10,0.33,"GOOGL,ENTG,PODD,DG,AMT,TER,MLM,DLTR,CPRT,HD",1.1039890561170709,-0.02657248401574519
2019-10-31,neutral,breakout_growth,0.005090677995390037,0.004468285808324685,0.8936571616649369,0.0006223921870653522,1.1102230246251565e-16,10,0.33,"AAPL,CPRT,CAT,RMD,TAL,HD,EW,MKSI,DG,GOOG",1.104676170280204,-0.025966630335122032
2019-11-29,bull,balanced,0.05699741282370755,0.0032581608293799857,0.6516321658759971,0.053739251994327566,0.0,9,0.33,"FTNT,AAPL,BABA,QRVO,CPRT,GOOG,EW,PODD,MSCI",1.1640406413670206,0.0
2019-12-31,neutral,quality_compounder,0.00869874173099176,0.0026832921828366585,0.5366584365673317,0.006015449548155101,0.0,6,0.33,"BABA,UI,QRVO,AAPL,TSLA,FTNT",1.171042869117166,0.0
2020-01-31,neutral,quality_compounder,-0.03659341047356005,0.003364628354954176,0.6729256709908352,-0.03995803882851423,0.0,9,0.33,"GOOG,FTNT,BABA,FICO,TSLA,CPRT,NOW,MSCI,AAPL",1.1242502926831275,-0.03995803882851423
2020-02-28,bear,cash_defense,-0.0723018163403037,0.0022797038404501284,0.45594076809002565,-0.07458152018075384,0.51,6,0.33,"BABA,TT,NOW,TSLA,ALLE,GOOG",1.0404019967911624,-0.11155942772999594
2020-03-31,deep_bear,cash_defense,0.042781629894155224,0.0014738346928660523,0.29476693857321046,0.041307795201289174,0.5900000000000001,5,0.33,"BABA,RGEN,TYL,VEEV,AMZN",1.083378709401624,-0.07485990652215047
2020-04-30,bear,turnaround_accumulation,0.0573692809221679,0.001406688885603224,0.2813377771206448,0.05596259203656467,0.37,7,0.33,"BABA,AMZN,VEEV,TSCO,NOW,GILD,GOOGL",1.1440073901369672,-0.023086668894180207
2020-05-29,neutral,turnaround_accumulation,0.052143813377175774,0.002788746461547089,0.5577492923094178,0.04935506691562869,0.0,9,0.33,"VEEV,NOW,AMZN,MELI,GOOGL,RGEN,GOOG,SE,FTNT",1.2004699514291508,0.0
2020-06-30,bull,balanced,0.13307912749248194,0.00206185767031764,0.41237153406352806,0.1310172698221643,0.0,8,0.33,"MELI,NOW,SE,AMZN,GOOGL,VEEV,CDNS,SHOP",1.3577522469689443,0.0
2020-07-31,bull,balanced,0.1571759893005783,0.0016225987219834904,0.32451974439669806,0.1555533905785948,0.0,10,0.33,"MELI,SE,TSLA,NOW,VEEV,GOOGL,PDD,GOOG,MEDP,RGEN",1.5689552125506692,0.0
2020-08-31,neutral,quality_compounder,-0.03255137538240262,0.0029404671030520612,0.5880934206104123,-0.03549184248545468,0.0,7,0.33,"CRM,SE,TSLA,JD,LOW,NOW,VEEV",1.5132701012800878,-0.03549184248545467
2020-09-30,neutral,quality_compounder,0.028588904795650225,0.002935194900649259,0.5870389801298518,0.025653709895000966,1.1102230246251565e-16,9,0.33,"PG,ENPH,ENTG,TSLA,LOW,NOW,SE,JD,CPRT",1.5520910934511059,-0.010748630021214622
2020-10-30,neutral,quality_compounder,0.07863268148778359,0.004248358336288689,0.8496716672577379,0.0743843231514949,0.0,7,0.33,"GOOG,PWR,CPRT,GOOGL,SE,MPWR,LOW",1.66754233890693,0.0
2020-11-30,neutral,balanced,0.04364089691579426,0.0031261059249104157,0.6252211849820831,0.04051479099088384,0.0,8,0.33,"TER,GOOG,GOOGL,LSCC,UI,ENTG,SE,MELI",1.7351024682361937,0.0
2020-12-31,bull,balanced,0.039575913059878384,0.0034345589398378715,0.6869117879675742,0.03614135412004051,0.0,11,0.33,"ENPH,TER,PANW,AAPL,DIS,GOOG,CPRT,MSCI,PDD,MELI,FICO",1.7978114209752745,0.0
2021-01-29,neutral,quality_compounder,0.0595274047488845,0.004485123290149683,0.8970246580299366,0.05504228145873482,0.0,9,0.33,"UI,GOOG,AXON,GOOGL,WSM,HALO,PTC,ENPH,GEN",1.8967670632183236,0.0
2021-02-26,neutral,quality_compounder,-0.05774048679943001,0.003891030773921859,0.7782061547843718,-0.06163151757335187,0.0,8,0.33,"GOOG,TER,AMKR,ENTG,LSCC,FTNT,MEDP,TROW",1.7798664306290286,-0.061631517573351724
2021-03-31,bull,balanced,0.0296470809858053,0.002982604603631739,0.5965209207263478,0.026664476382173563,0.0,11,0.33,"HD,AMKR,WSM,LPX,ENTG,TER,PWR,GOOGL,GOOG,TGT,WAL",1.8273256370319597,-0.03661041333591042
2021-04-30,bull,balanced,0.0006849637933592349,0.0033909252627522136,0.6781850525504427,-0.0027059614693929787,0.0,8,0.33,"LPX,PWR,GOOG,GOOGL,PODD,FTNT,MSCI,HD",1.8223809642661173,-0.03921730843743787
2021-05-28,bull,balanced,-0.013193365774269885,0.00294405744945806,0.588811489891612,-0.016137423223727944,0.0,11,0.33,"FTNT,LPX,GOOG,WSM,GOOGL,LOW,STLD,GEN,CVS,ODFL,TGT",1.7929724313708897,-0.05472186535721535
2021-06-30,bull,balanced,0.10647204270248971,0.002899519445033757,0.5799038890067514,0.10357252325745595,0.0,8,0.33,"FTNT,GOOG,GOOGL,MSCI,SHOP,DHR,IDXX,NDAQ",1.9786751102190285,0.0
2021-07-30,neutral,balanced,0.10066530162875059,0.002974687986176794,0.5949375972353588,0.0976906136425738,0.0,9,0.33,"FTNT,GOOGL,RGEN,ARES,ORCL,MPWR,GOOG,BX,WST",2.1719730959356127,0.0
2021-08-31,bull,balanced,-0.04287857862394162,0.0021598343630955317,0.4319668726191063,-0.04503841298703715,1.1102230246251565e-16,9,0.33,"RGEN,GOOG,MPWR,GOOGL,FTNT,DKS,NOW,WST,BX",2.074150874644131,-0.045038412987037146
