horizon,status,start_date,end_date,period_return,cagr,max_dd,sharpe,realized_volatility,start_equity_usd,end_equity_usd,avg_cash_weight,end_cash_weight,series,series_type
1M,completed,2026-05-04,2026-06-04,0.24491083812757242,12.211234110598948,-0.073108781097175,5.1681763654653645,0.5132144874384975,542561.4500294876,675440.6294919205,0.06754832827462322,0.059447054921847,main,portfolio
3M,completed,2026-03-04,2026-06-04,0.3944718990513709,2.743884752271676,-0.12270418659485482,3.004982116393094,0.47435162260893055,484370.197743969,675440.6294919205,0.23252997275622533,0.059447054921847,main,portfolio
6M,completed,2025-12-04,2026-06-04,0.8509228264052564,2.4404328117476526,-0.14153814586246005,3.118274171710824,0.43223784962306994,364921.0112145615,675440.6294919205,0.15069110739508976,0.059447054921847,main,portfolio
YTD,completed,2026-01-02,2026-06-04,0.7607019278385516,2.85935496996121,-0.14153814586246005,3.2585087667510253,0.44871619531614654,383620.0885638238,675440.6294919205,0.16143614785907617,0.059447054921847,main,portfolio
1Y,completed,2025-06-04,2026-06-04,1.7875533283960592,1.7895113445561215,-0.14153814586246005,2.9048140502005255,0.37987089810909647,242305.9041100264,675440.6294919205,0.093348762466456,0.059447054921847,main,portfolio
2Y,completed,2024-06-04,2026-06-04,2.1609085621782236,0.7785952777506926,-0.2856139469902498,1.8956312029035491,0.33546821250056524,213685.59583592176,675440.6294919205,0.12501939529943995,0.059447054921847,main,portfolio
FULL,completed,2019-06-03,2026-06-04,5.762383256441982,0.31379539267198964,-0.3745044500752167,1.136497677823478,0.27388541907282943,99882.03919801235,675440.6294919205,0.19658077785204947,0.059447054921847,main,portfolio
1M,completed,2026-05-04,2026-06-04,0.18624324378533186,6.480563034738104,-0.11384709381356217,3.564920387261698,0.6011739098742234,880294.9353797818,1044243.9196327114,0.027312106537384317,0.025054730999531,concentrated,portfolio
3M,completed,2026-03-04,2026-06-04,0.3890734388114292,2.6866727213332795,-0.15312397690685375,2.5003386900740088,0.5883692893530448,751755.7318828488,1044243.9196327114,0.3062623850969712,0.025054730999531,concentrated,portfolio
6M,completed,2025-12-04,2026-06-04,1.361303269055091,4.608754000210611,-0.17412460318799028,3.333507387267403,0.5753615422121122,442232.0221707822,1044243.9196327114,0.1794401346530837,0.025054730999531,concentrated,portfolio
YTD,completed,2026-01-02,2026-06-04,0.9969242947233417,4.212423613365469,-0.17412460318799028,3.1424578015065774,0.5843284898452761,522926.14316527377,1044243.9196327114,0.19889382964610153,0.025054730999531,concentrated,portfolio
1Y,completed,2025-06-04,2026-06-04,3.0645285071437005,3.0684342723877025,-0.17412460318799028,3.0610869615360996,0.5023887872450081,256916.37241499915,1044243.9196327114,0.15786522091304048,0.025054730999531,concentrated,portfolio
2Y,completed,2024-06-04,2026-06-04,4.105573413291633,1.2608135304199193,-0.28931762150365636,2.20893008446831,0.4097999770613982,204530.1937906076,1044243.9196327114,0.2108649382912448,0.025054730999531,concentrated,portfolio
FULL,completed,2019-06-03,2026-06-04,9.446818752510161,0.3979705326604115,-0.35204443232782145,1.1854235002443045,0.3334966458803712,99958.07760920524,1044243.9196327114,0.3197006733474196,0.025054730999531,concentrated,portfolio
