variant_id,status,portfolio_kind,trigger_mode,caution_multiplier,crisis_multiplier,cagr,max_dd,sharpe,trade_count,avg_cash_weight,total_fees_usd,target_distance,reason,valid_for_production
ma50_200_caution_0p90_crisis_0p70,completed,main,ma50_200,0.9,0.7,0.18781300215328378,-0.18700079139953607,0.8693361694672863,649,0.25617394531738397,63492.91712327003,0.14918778924625228,,True
ma50_caution_0p90_crisis_0p70,completed,main,ma50,0.9,0.7,0.17562290033176353,-0.18042500560190577,0.8224101658236691,559,0.26477685438483717,55650.685964021686,0.15480210527014224,,True
trend60_caution_0p90_crisis_0p70,completed,main,trend60,0.9,0.7,0.17746083170024773,-0.1853648047413179,0.8262592463312305,588,0.26281534183612215,57876.95593451262,0.15790397304107015,,True
ma50_200_caution_0p80_crisis_0p50,completed,main,ma50_200,0.8,0.5,0.1738835839716204,-0.19516899221381545,0.8512564006979674,649,0.3003759794431291,67247.3995132661,0.17128540824219504,,True
ma50_caution_0p80_crisis_0p50,completed,main,ma50,0.8,0.5,0.15389010369137868,-0.17941221720562772,0.7623525360644811,561,0.3124653775309801,54861.73812785149,0.17552211351424904,,True
trend60_caution_0p80_crisis_0p50,completed,main,trend60,0.8,0.5,0.1591606756791355,-0.1877696775674944,0.7806028291381661,586,0.3073212754476342,58101.7494715643,0.1786090018883589,,True
ma50_200_caution_0p70_crisis_0p40,completed,main,ma50_200,0.7,0.4,0.16254216453529735,-0.2018768711770068,0.8229805841897925,650,0.33154996194599895,67791.73781243086,0.18933470664170945,,True
trend60_caution_0p70_crisis_0p40,completed,main,trend60,0.7,0.4,0.14900252688920768,-0.19466967257789736,0.749561428647607,585,0.33264043168371693,57104.367154860505,0.19566714568868968,,True
ma50_caution_0p70_crisis_0p40,completed,main,ma50,0.7,0.4,0.14050275532600498,-0.1885416042012915,0.7153086376888302,559,0.3414834856985197,54207.54910108805,0.19803884887528653,,True
ma50_200_caution_0p60_crisis_0p25,completed,main,ma50_200,0.6,0.25,0.14988593314941068,-0.2184898440680454,0.7846967669234576,649,0.36897216224806073,69762.31484869003,0.2186039109186347,,True
ma50_caution_0p60_crisis_0p25,completed,main,ma50,0.6,0.25,0.12316776887175962,-0.20482684008409913,0.6430279022876277,559,0.37977060631609094,53470.56745396853,0.2316590712123395,,True
trend60_caution_0p60_crisis_0p25,completed,main,trend60,0.6,0.25,0.13470109831612032,-0.21885509526222457,0.6944790926959146,586,0.36742479219807017,56647.4159940815,0.23415399694610425,,True
