rebalance_date,original_return,gross_defended_return,defense_turnover,cost,net_return,return_delta,risk_exit_count,relative_trim_count,equity,drawdown
2019-04-30,-0.02207504930376414,-0.01222749308345202,0.2202178492274886,0.0005505446230687215,-0.012778037706520742,0.0092970115972434,4,0,0.9872219622934792,-0.01277803770652075
2019-05-31,0.049096987283676875,0.049096987283676875,0.038335543425768,9.583885856442e-05,0.049001148425112453,-9.583885856442181e-05,1,0,1.035596972196353,0.0
2019-06-28,0.029009807675754205,0.029009807675754205,0.11150401896704909,0.00027876004741762275,0.028731047628336583,-0.00027876004741762134,2,0,1.0653507581282875,0.0
2019-07-31,0.020311893174740126,0.020311893174740126,0.0727714883194236,0.00018192872079855898,0.02012996445394157,-0.0001819287207985576,1,0,1.0867962310203898,0.0
2019-08-30,-0.0533578218373989,-0.01565006922258901,0.2845242785159896,0.0007113106962899741,-0.016361379918878982,0.03699644191851992,4,0,1.0690147449902594,-0.016361379918878982
2019-09-30,0.013977487487125176,0.01625127729382256,0.2528468946074396,0.0006321172365185989,0.015619160057303962,0.0016416725701787864,4,0,1.0857118573958802,-0.000997770873286452
2019-10-31,-0.009741945155481362,-0.009685799325040208,0.0180477692287904,4.5119423071976005e-05,-0.009730918748112185,1.1026407369177371e-05,1,0,1.075146883527699,-0.010718980394101463
2019-11-29,0.055848519396644626,0.055848519396644626,0.0298560311481549,7.464007787038725e-05,0.05577387931877424,-7.464007787038457e-05,1,0,1.135111996059529,0.0
2019-12-31,-0.025441629293945972,-0.016984083956213755,0.222440667358978,0.000556101668397445,-0.0175401856246112,0.007901443669334773,2,0,1.115201920943922,-0.017540185624611238
2020-01-31,-0.02911783074296839,-0.02661445620705363,0.1111819530210015,0.00027795488255250375,-0.026892411089606133,0.002225419653362256,3,0,1.0852114524379795,-0.04396089883181242
2020-02-28,-0.08854109791267756,-0.04146275847609605,0.44178736520813955,0.001104468413020349,-0.0425672268891164,0.04597387102356116,8,0,1.0390170103193843,-0.08465683216610564
2020-03-31,0.0865052029927612,0.0865052029927612,0.0,0.0,0.0865052029927612,0.0,0,0,1.1288973877099944,-0.005474885624597636
2020-04-30,0.09213157195806916,0.09224347597162613,0.027206717956554,6.801679489138501e-05,0.09217545917673475,4.3887218665591976e-05,1,0,1.2329540227855795,0.0
2020-05-29,0.06365609115620112,0.064229888740203,0.1049552081346191,0.0002623880203365478,0.06396750071986644,0.00031140956366532135,2,0,1.3118230101256783,0.0
2020-06-30,0.12749695253934767,0.12837632456795756,0.0137181360729678,3.42953401824195e-05,0.12834202922777513,0.0008450766884274541,1,0,1.480185037232896,0.0
2020-07-31,0.07827878485841167,0.07699367731583504,0.01357392647558745,3.393481618896862e-05,0.07695974249964607,-0.001319042358765593,0,1,1.5940996965501686,0.0
2020-08-31,-0.028661404105573086,-0.02140725300459787,0.30302771039755305,0.0007575692759938826,-0.022164822280591752,0.0064965818249813345,5,0,1.5587667600785888,-0.0221648222805918
2020-09-30,0.036100015855365854,0.030498692398164884,0.0445036267972141,0.00011125906699303525,0.03038743333117185,-0.005712582524194005,0,1,1.6061336810793236,0.0
2020-10-30,0.09060996844929282,0.09060996844929282,0.0,0.0,0.09060996844929282,0.0,0,0,1.7516654032472678,0.0
2020-11-30,0.05723095512843804,0.053772872988083475,0.01190530530248625,2.9763263256215624e-05,0.05374310972482726,-0.00348784540361078,0,1,1.8458053492151696,0.0
2020-12-31,0.06945368941110072,0.06945368941110072,0.15,0.000375,0.06907868941110072,-0.00037500000000000033,1,0,1.9733111636469525,0.0
2021-01-29,-0.011366616494395554,0.014213770633221443,0.36453635410989027,0.0009113408852747257,0.013302429747946718,0.02466904624234227,4,0,1.999560996772205,0.0
2021-02-26,-0.06086921000837086,-0.03416854681209565,0.4656737722280958,0.0011641844305702396,-0.03533273124266589,0.025536478765704973,4,0,1.9289110454699356,-0.035332731242665893
2021-03-31,0.015867344174462786,0.014168448482178367,0.03992366727774685,9.980916819436713e-05,0.014068639313984,-0.0017987048604787871,0,1,1.956048199237412,-0.02176117538051292
2021-04-30,-0.017752196282317736,-0.010875075972323657,0.4358748283846304,0.001089687070961576,-0.011964763043285233,0.005787433239032504,4,0,1.9326445460322916,-0.0334655711168268
2021-05-28,0.03447805776302138,0.04418323743330251,0.2244489024829085,0.0005611222562072713,0.043622115177095244,0.009144057414073863,2,2,2.016950589015697,0.0
2021-06-30,0.03504342765294615,0.034989306850537256,0.1204326622579462,0.0003010816556448655,0.03468822519489239,-0.0003552024580537605,2,0,2.086915025254444,0.0
2021-07-30,0.05629979243730152,0.05641202211215052,0.1377335245913477,0.00034433381147836925,0.05606768830067215,-0.00023210413662937135,1,1,2.2039235264004,0.0
2021-08-31,-0.0426437537994166,-0.03743542380904529,0.25536283979479574,0.0006384070994869894,-0.03807383090853228,0.004569922890884322,4,1,2.120011714720895,-0.038073830908532336
2021-09-30,0.0754158331483688,0.07205440845246319,0.02866456744287715,7.166141860719287e-05,0.071982747033856,-0.003433086114512804,0,1,2.2726159816904605,0.0
2021-10-29,0.037556160483028574,0.045276040374854644,0.0858166141333171,0.00021454153533329278,0.045061498839521354,0.00750533835649278,1,0,2.3750234641120826,0.0
2021-11-30,-0.008935515767974708,-0.006176463977411256,0.20494495649098948,0.0005123623912274737,-0.00668882636863873,0.002246689399335978,2,0,2.359137344539194,-0.006688826368638656
2021-12-31,-0.09622504922223099,-0.05073621649106605,0.7142484363738681,0.0017856210909346704,-0.05252183758200072,0.04370321164023027,8,0,2.235231116095674,-0.058859354498491556
2022-01-31,-0.01624779012960501,-0.00990050588631356,0.2701844987920937,0.0006754612469802344,-0.010575967133293793,0.005671822996311216,2,1,2.2115913852765305,-0.06881282703312253
