rebalance_date,net_return,drawdown,regime_state
2023-08-31,-0.05872040642058958,-0.07238637263159564,
2022-05-31,-0.05341195153006057,-0.12697264959249932,
2021-12-31,-0.052718872982960366,-0.0591563909539331,
2025-02-28,-0.05234523783985553,-0.07776636398463166,
2026-02-27,-0.04388888965396699,-0.04388888965396698,
2022-11-30,-0.043197126413590546,-0.057898301033709854,
2020-02-28,-0.0424505220674393,-0.0865457100608551,
2022-03-31,-0.039359590606565825,-0.09569773401880954,
2021-02-26,-0.039235082635488465,-0.03923508263548858,
2021-08-31,-0.037361303606226116,-0.03736130360622625,
