rebalance_date,original_return,gross_defended_return,defense_turnover,cost,net_return,return_delta,risk_exit_count,relative_trim_count
2019-04-30,-0.011407351312202973,-0.0033899768083223737,0.19814759838515938,0.0004953689959628985,-0.003885345804285272,0.007522005507917701,4,0
2019-05-31,0.04951830819233582,0.04951830819233582,0.0418769031411659,0.00010469225785291475,0.0494136159344829,-0.00010469225785291608,1,0
2019-06-28,0.0327448244198307,0.0327448244198307,0.1231048371692271,0.00030776209292306773,0.03243706232690763,-0.00030776209292306816,2,0
2019-07-31,0.05089742409124685,0.05089742409124685,0.0371934975941141,9.298374398528524e-05,0.05080444034726156,-9.298374398528791e-05,1,0
2019-08-30,-0.04509564317475637,-0.01208307648123619,0.262597228792864,0.00065649307198216,-0.012739569553218349,0.032356073621538015,4,0
2019-09-30,0.020486445827586734,0.02235491750226682,0.2517994007239121,0.0006294985018097803,0.02172541900045704,0.0012389731728703057,4,0
2019-10-31,-0.004083359112114161,-0.004023578536288012,0.019215285227237,4.80382130680925e-05,-0.004071616749356105,1.1742362758055715e-05,1,0
2019-11-29,0.04951151458791177,0.04951151458791177,0.0861706951753978,0.0002154267379384945,0.049296087849973275,-0.00021542673793849276,1,0
2019-12-31,-0.028304573433889226,-0.01979830948495222,0.2792172553535266,0.0006980431383838165,-0.020496352623336038,0.007808220810553188,3,0
2020-01-31,-0.031225057359679162,-0.026361151366077893,0.13519061258097032,0.00033797653145242577,-0.02669912789753032,0.0045259294621488415,3,0
2020-02-28,-0.08752713562481688,-0.041337739922874935,0.4376810821707964,0.001094202705426991,-0.042431942628301925,0.04509519299651496,8,0
2020-03-31,0.08616251266124741,0.08616251266124741,0.0,0.0,0.08616251266124741,0.0,0,0
2020-04-30,0.09335984660952897,0.09343830721371602,0.0190749856377213,4.768746409430325e-05,0.0933906197496217,3.077314009274079e-05,1,0
2020-05-29,0.06415554569141671,0.0647365661079933,0.1048786463809537,0.0002621966159523843,0.06447436949204093,0.00031882380062421556,2,0
2020-06-30,0.12749779623167565,0.12837565793388617,0.0136945750971952,3.4236437742988e-05,0.12834142149614317,0.000843625264467518,1,0
2020-07-31,0.07832289001495811,0.07703818749970627,0.0135696158222701,3.392403955567525e-05,0.0770042634601506,-0.0013186265548075088,0,1
2020-08-31,-0.028640051628962895,-0.021378565478591797,0.3031436645795545,0.0007578591614488862,-0.022136424640040682,0.006503626988922213,5,0
2020-09-30,0.042746179532559124,0.03735432611832585,0.04283934572352505,0.00010709836430881263,0.03724722775401704,-0.005498951778542087,0,1
2020-10-30,0.09042815556489193,0.09042815556489193,0.0,0.0,0.09042815556489193,0.0,0,0
2020-11-30,0.056981498821233954,0.0535644134669698,0.0117641636999976,2.9410409249994e-05,0.053535003057719806,-0.0034464957635141485,0,1
2020-12-31,0.07536357058195718,0.07536357058195718,0.21565993393014138,0.0005391498348253534,0.07482442074713183,-0.0005391498348253504,2,0
2021-01-29,-0.0003937158575665929,0.023271768978602444,0.3237157939687548,0.000809289484921887,0.022462479493680555,0.02285619535124715,3,0
2021-02-26,-0.06558182056276432,-0.03798603969776577,0.519463908914907,0.0012986597722872675,-0.03928469947005304,0.026297121092711283,5,0
