rebalance_date,ticker,original_weight,defended_weight,cash_after_defense,list_action,reason,period_forward_return,bench_return,risk_adjusted_return,risk_return_cap,risk_exit_proxy,relative_trim_or_exit,sector,regime_state,score,main_v2_score,risk_penalty,stage2_overext_penalty,explosion_exit_score,rs_acceleration_score
2019-04-30,GDDY,0.15,0.0,,risk_exit_proxy,hard_stop,-0.1078216164314549,-0.0613189316386945,-0.08,-0.08,True,False,Information Technology,bull,0.5522660285953345,0.703275375375027,0.3220369460724466,0.0,0.0,0.5225347039841699
2019-04-30,NOW,0.15,0.15,,hold,hold,-0.0507028931635488,-0.0613189316386945,-0.0507028931635488,-0.08,False,False,Information Technology,bull,5.076371198943962,1.740557601523021,-1.4639998910234084,0.0,0.0,0.6843346891781503
2019-04-30,SBUX,0.1276032298527088,0.1276032298527088,,hold,hold,-0.0221355787124265,-0.0613189316386945,-0.0221355787124265,-0.08,False,False,Consumer Discretionary,bull,4.744587954367985,1.947129704961904,-2.8431946745882857,0.0,0.0,-0.5913713924259254
2019-04-30,SHOP,0.0975834528852162,0.0975834528852162,,hold,hold,0.1256331321500048,-0.0613189316386945,0.1256331321500048,-0.08,False,False,Software,bull,0.6847069582907105,1.5431728690825588,0.1769621578662636,0.0,0.0,0.2554333103585025
2019-04-30,PAYC,0.0848629855212056,0.0,,risk_exit_proxy,distribution_risk_decay,0.0169291817007437,-0.0613189316386945,0.0169291817007437,-0.08,True,False,Industrials,bull,1.1388510877838876,1.5131908934618488,1.295709605673451,0.0,0.0,-0.1676413938005536
2019-04-30,CPRT,0.0761826820245372,0.0761826820245372,,hold,hold,0.0538130359332365,-0.0613189316386945,0.0538130359332365,-0.08,False,False,Industrials,bull,1.314853170431524,1.728763967653522,0.5660259018905729,0.0,0.0,1.2891796459495133
2019-04-30,MELI,0.0578465478594388,0.0578465478594388,,hold,hold,0.1615072347706942,-0.0613189316386945,0.1615072347706942,-0.08,False,False,Internet,bull,2.292648856646553,1.4409082000262734,0.9507196267000548,0.0,0.0,0.9689627353122252
2019-04-30,ALGN,0.0517451109911724,0.0,,risk_exit_proxy,hard_stop,-0.1456680915583611,-0.0613189316386945,-0.08,-0.08,True,False,Health Care,bull,0.0722527154177282,1.4223569861091354,0.5430819595602643,0.0,0.0,2.366157788850664
2019-04-30,CDNS,0.03953730967478,0.0,,risk_exit_proxy,hard_stop,-0.0883620380174052,-0.0613189316386945,-0.08,-0.08,True,False,Information Technology,bull,1.1293424156698646,1.3816112752808312,-0.3182396242074181,0.0,0.0,0.6225548020206744
2019-04-30,UI,0.0308694596545172,0.0,,risk_exit_proxy,hard_stop,-0.2859317602202179,-0.0613189316386945,-0.08,-0.08,True,False,Information Technology,bull,0.4837835826778242,1.3486812410959592,1.197243207523961,0.0,0.0,-1.69655565884677
2019-04-30,HD,0.03027514449521,0.03027514449521,,hold,hold,-0.0667323357504876,-0.0613189316386945,-0.0667323357504876,-0.08,False,False,Consumer Discretionary,bull,5.141264834263512,1.683881156262108,-3.6461536188643175,0.0,0.0,0.2581084290759054
2019-04-30,CASH,0.0,0.35701486584167524,0.35701486584167524,cash_from_risk_exits,risk_exit_proxy_cash,0.0,-0.0613189316386945,0.0,-0.08,False,False,Cash,,,,,,,
2019-05-31,HEI,0.15,0.15,,hold,hold,0.0960681450542375,0.0801180564411814,0.0960681450542375,-0.08,False,False,Industrials,bear,0.9660835977194646,1.91975210089599,0.739990735972193,0.0,0.0,0.2025713093018581
2019-05-31,MA,0.15,0.15,,hold,hold,0.059888759141518,0.0801180564411814,0.059888759141518,-0.08,False,False,Financials,bear,5.658151664382345,2.3367365395238187,-3.272824291416362,0.0,0.0,-0.1244405455713523
2019-05-31,SBUX,0.0780316869482287,0.0780316869482287,,hold,hold,0.1132423099392319,0.0801180564411814,0.1132423099392319,-0.08,False,False,Consumer Discretionary,bear,4.619314661510092,1.967367121347943,-3.1163003105158693,0.0,0.0,-0.5050522159647903
2019-05-31,HD,0.0542295081582048,0.0542295081582048,,hold,hold,0.1171100536242524,0.0801180564411814,0.1171100536242524,-0.08,False,False,Consumer Discretionary,bear,6.107130714342859,1.883614234136483,-3.641988039106461,0.0,0.0,0.3759971399397405
2019-05-31,SHOP,0.0499978059990049,0.0499978059990049,,hold,hold,0.1134242423125566,0.0801180564411814,0.1134242423125566,-0.08,False,False,Software,bear,2.071617687678115,1.390315786403824,-0.4802145963036652,0.0,0.0,-0.7838887194432393
2019-05-31,NOW,0.0425500564667212,0.0425500564667212,,hold,hold,0.0813358224960263,0.0801180564411814,0.0813358224960263,-0.08,False,False,Information Technology,bear,4.917180783062458,1.368857856491418,-1.4764569742310398,0.0,0.0,-0.9821042878552384
2019-05-31,MELI,0.0407439343751055,0.0,,risk_exit_proxy,distribution_risk_decay,0.085290387170348,0.0801180564411814,0.085290387170348,-0.08,True,False,Internet,bear,1.0702992790147257,1.3633768624798184,0.853179160458669,0.0,0.0,-1.083097202363855
2019-05-31,TSCO,0.0192402751324164,0.0192402751324164,,hold,hold,0.099691995161909,0.0801180564411814,0.099691995161909,-0.08,False,False,Consumer Discretionary,bear,1.7767585724967212,1.7139014454416397,-0.483897988901233,0.0,0.0,-0.6300628884866827
2019-05-31,CASH,0.0,0.0407439343751055,0.0407439343751055,cash_from_risk_exits,risk_exit_proxy_cash,0.0,0.0801180564411814,0.0,-0.08,False,False,Cash,,,,,,,
2019-06-28,HEI,0.15,0.15,,hold,hold,0.0312218528445378,-0.0036331987329345,0.0312218528445378,-0.08,False,False,Industrials,neutral,1.124363736242708,1.9817425860309528,0.4867047389651338,0.0,0.0,-0.2427091375658321
2019-06-28,MA,0.1337661035188699,0.1337661035188699,,hold,hold,0.0334022788239498,-0.0036331987329345,0.0334022788239498,-0.08,False,False,Financials,neutral,5.934770107197523,2.32371656906986,-3.3108425226887195,0.0,0.0,-0.4058451889972809
2019-06-28,PAYC,0.08459096784271,0.0,,risk_exit_proxy,distribution_risk_decay,0.0566734273729829,-0.0036331987329345,0.0566734273729829,-0.08,True,False,Industrials,neutral,1.7777991963426314,1.403621589571449,0.8789168379738448,0.0,0.0,-3.0
2019-06-28,SHOP,0.0769934341883219,0.0769934341883219,,hold,hold,0.0256318354898856,-0.0036331987329345,0.0256318354898856,-0.08,False,False,Software,neutral,2.812644805507249,1.3847285355547925,-1.1599782176905005,0.0,0.0,-1.2110513524573592
2019-06-28,PODD,0.0670165502897193,0.0670165502897193,,hold,hold,0.0358056595995892,-0.0036331987329345,0.0358056595995892,-0.08,False,False,Health Care,neutral,0.5776518349339601,1.3584398557429846,1.1623983513946352,0.0,0.0,0.9246418180627998
2019-06-28,SBUX,0.0651999211043392,0.0651999211043392,,hold,hold,0.1421647158322214,-0.0036331987329345,0.1421647158322214,-0.08,False,False,Consumer Discretionary,neutral,5.0791589736913725,2.1191353697228443,-3.6024855307448287,0.0,0.0,-1.8322269192029752
2019-06-28,MELI,0.0518747423650836,0.0518747423650836,,hold,hold,0.0154817869144261,-0.0036331987329345,0.0154817869144261,-0.08,False,False,Internet,neutral,1.7392805302481054,1.3144656717062186,0.7268413328628263,0.0,0.0,-2.9604909929915264
2019-06-28,NOW,0.0375839552020917,0.0375839552020917,,hold,hold,-0.0009929387042298,-0.0036331987329345,-0.0009929387042298,-0.08,False,False,Information Technology,neutral,4.646185515769393,1.2665637644036365,-1.537749175251633,0.0,0.0,-1.6527703085126522
2019-06-28,VEEV,0.0312918868315908,0.0312918868315908,,hold,hold,-0.0195024503246339,-0.0036331987329345,-0.0195024503246339,-0.08,False,False,Health Care,neutral,3.576724466401287,1.2425796557187343,-0.2586216161795231,0.0,0.0,-2.244477430781202
2019-06-28,HD,0.0181998956570543,0.0181998956570543,,hold,hold,0.0317122083709995,-0.0036331987329345,0.0317122083709995,-0.08,False,False,Consumer Discretionary,neutral,6.054057823144235,1.8959524118430613,-3.6127139049754176,0.0,0.0,0.4936713576159011
2019-06-28,CASH,0.0,0.08459096784271,0.08459096784271,cash_from_risk_exits,risk_exit_proxy_cash,0.0,-0.0036331987329345,0.0,-0.08,False,False,Cash,,,,,,,
2019-07-31,HEI,0.15,0.15,,hold,hold,0.0728854019327134,-0.0160111865003589,0.0728854019327134,-0.08,False,False,Industrials,neutral,1.1911286219181756,2.032223601926195,0.3520080706607427,0.0,0.0,-0.4144403329061297
2019-07-31,MA,0.1490358601123924,0.1490358601123924,,hold,hold,0.0316138505577929,-0.0160111865003589,0.0316138505577929,-0.08,False,False,Financials,neutral,4.903024433533958,2.3184482077150976,-3.36918801270712,0.0,0.0,-0.6255334379789301
2019-07-31,MELI,0.1172954454271119,0.1172954454271119,,hold,hold,-0.0354346530105645,-0.0160111865003589,-0.0354346530105645,-0.08,False,False,Internet,neutral,1.0034653219271186,1.412590581372411,0.5812582736642592,0.0,0.0,-0.6525011564801111
2019-07-31,FICO,0.0707798350704516,0.0707798350704516,,hold,hold,-0.005387880633763,-0.0160111865003589,-0.005387880633763,-0.08,False,False,Information Technology,neutral,0.0680362430384928,1.2857956691673456,0.5840562893010594,0.0,0.0,-0.3045798626961442
2019-07-31,PAYC,0.0706281793312593,0.0,,risk_exit_proxy,distribution_risk_decay,0.0619234578309773,-0.0160111865003589,0.0619234578309773,-0.08,True,False,Industrials,neutral,1.1784212634737432,1.2853226363145946,0.8723859373186365,0.0,0.0,-3.0
2019-07-31,CSGP,0.0473308762078357,0.0473308762078357,,hold,hold,-0.0022508652933287,-0.0160111865003589,-0.0022508652933287,-0.08,False,False,Real Estate,neutral,1.0591761704397782,1.205365234934374,-0.1459288602682544,0.0,0.0,0.418115008842109
2019-07-31,SHOP,0.0388631029485511,0.0388631029485511,,hold,hold,0.1784676614733518,-0.0160111865003589,0.1784676614733518,-0.08,False,False,Software,neutral,2.3094754346578616,1.171494392228099,-1.2438384135273672,0.0,0.0,-2.048025373630168
2019-07-31,V,0.034674721566842,0.034674721566842,,hold,hold,0.017091211199298,-0.0160111865003589,0.017091211199298,-0.08,False,False,Financials,neutral,5.725973502735994,2.012713883198208,-3.700000293835924,0.0,0.0,-0.3078188871487991
2019-07-31,HD,0.0267028142219231,0.0267028142219231,,hold,hold,0.0667322326799804,-0.0160111865003589,0.0667322326799804,-0.08,False,False,Consumer Discretionary,neutral,5.95817528511668,1.9778299329198143,-3.6160725744687015,0.0,0.0,0.4885380324948041
2019-07-31,TER,0.0227149201590229,0.0227149201590229,,hold,hold,-0.0574468678372808,-0.0160111865003589,-0.0574468678372808,-0.08,False,False,Information Technology,neutral,0.907802272233286,1.0944903374340818,1.1755257493466964,0.0,0.0,0.2747146851152433
2019-07-31,CASH,0.0,0.0706281793312593,0.0706281793312593,cash_from_risk_exits,risk_exit_proxy_cash,0.0,-0.0160111865003589,0.0,-0.08,False,False,Cash,,,,,,,
2019-08-30,HUBS,0.15,0.0,,risk_exit_proxy,hard_stop,-0.2511075565650241,0.0116919625499352,-0.08,-0.08,True,False,Information Technology,neutral,1.6690153514034558,1.4534041199530654,1.008486062846051,0.0,0.0,0.0649602269537126
2019-08-30,MA,0.1229096249961809,0.1229096249961809,,hold,hold,-0.0422511440297319,0.0116919625499352,-0.0422511440297319,-0.08,False,False,Financials,neutral,4.4994122418010525,2.17920383184933,-3.326923356158807,0.0,0.0,-0.1923823596443955
2019-08-30,PAYC,0.0841270859617347,0.0,,risk_exit_proxy,hard_stop,-0.1674053951438827,0.0116919625499352,-0.08,-0.08,True,False,Industrials,neutral,1.4359040498249307,1.260553001893745,0.5936395175990641,0.0,0.0,-0.5120086975474845
2019-08-30,SHOP,0.0777457906670358,0.0,,risk_exit_proxy,hard_stop,-0.1936458470962108,0.0116919625499352,-0.08,-0.08,True,False,Software,neutral,2.336944599023328,1.2430762742762616,-1.2634191006715525,0.0,0.0,-0.8360107364971681
2019-08-30,RNG,0.0681373422778821,0.0,,risk_exit_proxy,hard_stop,-0.1292986342956119,0.0116919625499352,-0.08,-0.08,True,False,Information Technology,neutral,2.1168268610008347,1.2153468720012155,1.0236846141977198,0.0,0.0,-0.3062017847866536
2019-08-30,HEI,0.0622721009674314,0.0,,risk_exit_proxy,hard_stop,-0.1647471781277758,0.0116919625499352,-0.08,-0.08,True,False,Industrials,neutral,1.097009562753162,1.1974492569598982,0.0106702675921404,0.0,0.0,-0.9792751248853566
2019-08-30,WING,0.0607165657233708,0.0,,risk_exit_proxy,hard_stop,-0.1435875841737934,0.0116919625499352,-0.08,-0.08,True,False,Consumer Discretionary,neutral,0.5101027718093688,1.192562622011308,0.4968648725351788,0.0,0.0,-0.6466750572560314
2019-08-30,LRCX,0.0562316084079598,0.0562316084079598,,hold,hold,0.0820909818835393,0.0116919625499352,0.0820909818835393,-0.08,False,False,Information Technology,neutral,2.3063817857506663,1.9753996478965772,-0.1293508077909605,0.0,0.0,0.6068497938763624
2019-08-30,V,0.0514908435010399,0.0514908435010399,,hold,hold,-0.0436520203146958,0.0116919625499352,-0.0436520203146958,-0.08,False,False,Financials,neutral,5.634884734701256,1.9570476222178923,-3.652819327739843,0.0,0.0,-0.0548054649872088
2019-08-30,MKTX,0.0257479237908696,0.0,,risk_exit_proxy,hard_stop,-0.1984505337107927,0.0116919625499352,-0.08,-0.08,True,False,Financials,neutral,0.7840128127670145,1.0586587427613716,0.1658508044117171,0.0,0.0,-1.6704968496365686
2019-08-30,AMT,0.0193679230948193,0.0193679230948193,,hold,hold,-0.0386013651580652,0.0116919625499352,-0.0386013651580652,-0.08,False,False,Real Estate,neutral,3.491956193737855,1.7994201123860671,-2.454688395894529,0.0,0.0,-1.611890218076106
2019-08-30,CASH,0.0,0.5287468093883244,0.5287468093883244,cash_from_risk_exits,risk_exit_proxy_cash,0.0,0.0116919625499352,0.0,-0.08,False,False,Cash,,,,,,,
2019-09-30,PODD,0.15,0.0,,risk_exit_proxy,hard_stop,-0.1056508093726402,0.0430779695604115,-0.08,-0.08,True,False,Health Care,neutral,0.799436926773461,1.4237720107020635,0.3711840885503671,0.0,0.0,0.804023916367975
2019-09-30,TREX,0.15,0.0,,risk_exit_proxy,hard_stop,-0.0825517987650198,0.0430779695604115,-0.08,-0.08,True,False,Industrials,neutral,0.1472697125633392,1.9014842223635475,1.700677315044549,0.0,0.0,2.388481073308004
2019-09-30,LRCX,0.1298265918368415,0.1298265918368415,,hold,hold,0.1863089309387786,0.0430779695604115,0.1863089309387786,-0.08,False,False,Information Technology,neutral,2.920771634282711,2.134112546404637,-0.5360220921360002,0.0,0.0,-0.0133723073963676
2019-09-30,MA,0.0940105441869492,0.0940105441869492,,hold,hold,0.0128308024500478,0.0430779695604115,0.0128308024500478,-0.08,False,False,Financials,neutral,4.42540857649136,2.11555840700432,-3.3307490712827668,0.0,0.0,-0.4556404541023896
2019-09-30,LULU,0.0477272569840342,0.0477272569840342,,hold,hold,0.0639056945159088,0.0430779695604115,0.0639056945159088,-0.08,False,False,Consumer Discretionary,neutral,2.6229442369823475,1.0988834274073809,-1.8292953420909936,0.0,0.0,0.1817863443340193
2019-09-30,DG,0.0367193704062674,0.0367193704062674,,hold,hold,0.0057557346165266,0.0430779695604115,0.0057557346165266,-0.08,False,False,Consumer Staples,neutral,2.309818742074704,1.0526964276741586,-1.5127936104073647,0.0,0.0,0.0092334682687509
2019-09-30,AMT,0.0263594453785217,0.0263594453785217,,hold,hold,-0.0204802531236125,0.0430779695604115,-0.0204802531236125,-0.08,False,False,Real Estate,neutral,3.663470958087359,1.8934299716461207,-2.910681205189987,0.0,0.0,-1.14011493298548
2019-09-30,TER,0.0242487416496643,0.0,,risk_exit_proxy,distribution_risk_decay,0.0830779341656249,0.0430779695604115,0.0830779341656249,-0.08,True,False,Information Technology,neutral,0.2706190032838382,0.9909199269962036,1.3463305248383453,0.0,0.0,-0.2687489028038945
2019-09-30,CPRT,0.0211102242253959,0.0211102242253959,,hold,hold,0.0541516043192649,0.0430779695604115,0.0541516043192649,-0.08,False,False,Industrials,neutral,1.0259916189355311,0.972979534763558,-0.1343607254621227,0.0,0.0,-1.3964522150864362
2019-09-30,CASH,0.0,0.3242487416496643,0.3242487416496643,cash_from_risk_exits,risk_exit_proxy_cash,0.0,0.0430779695604115,0.0,-0.08,False,False,Cash,,,,,,,
2019-10-31,CROX,0.15,0.15,,hold,hold,-0.0650338216081333,0.0153118285179545,-0.0650338216081333,-0.08,False,False,Consumer Discretionary,neutral,0.5812328385379226,1.5691637674270171,2.5904875523461506,0.0,0.0,1.5254684482487746
2019-10-31,CAT,0.1447945866459601,0.1447945866459601,,hold,hold,0.0048790238474962,0.0153118285179545,0.0048790238474962,-0.08,False,False,Industrials,neutral,3.1646909477141367,1.3261201189800853,-2.800236678540459,0.0,0.0,0.7440926165938715
2019-10-31,V,0.1272558976647217,0.1272558976647217,,hold,hold,0.0003959900152532,0.0153118285179545,0.0003959900152532,-0.08,False,False,Financials,neutral,6.195028265258769,2.1822370193241047,-3.732961290915429,0.0,0.0,-0.9098922931072172
2019-10-31,MA,0.0824657316351072,0.0824657316351072,,hold,hold,0.0114696727963869,0.0153118285179545,0.0114696727963869,-0.08,False,False,Financials,neutral,6.006494854055598,2.0346800871306607,-3.383954700423164,0.0,0.0,-1.2433922505661732
2019-10-31,ROKU,0.0741034457486678,0.0741034457486678,,hold,hold,-0.0699272750747211,0.0153118285179545,-0.0699272750747211,-0.08,False,False,Communication,neutral,0.4782722728846456,1.2321873269534225,0.5941649410046549,0.0,0.0,-1.035922131568206
2019-10-31,AMD,0.0577419101877677,0.0577419101877677,,hold,hold,0.0864126073029312,0.0153118285179545,0.0864126073029312,-0.08,False,False,Information Technology,neutral,0.8461873914018881,1.1885506650123907,-0.1968713553797421,0.0,0.0,-2.0364799149097683
2019-10-31,PODD,0.0423816617079272,0.0,,risk_exit_proxy,distribution_risk_decay,0.2309698217626001,0.0153118285179545,0.2309698217626001,-0.08,True,False,Health Care,neutral,0.4359317683176998,1.1414921557446205,1.029398562477683,0.0,0.0,-0.4375643321459277
2019-10-31,LRCX,0.0376117851950978,0.0376117851950978,,hold,hold,-0.0621938046346338,0.0153118285179545,-0.0621938046346338,-0.08,False,False,Information Technology,neutral,3.32757565498661,1.1251844748795927,-0.6877380814059135,0.0,0.0,-0.3266500268790158
2019-10-31,BLD,0.0356114405009448,0.0,,risk_exit_proxy,distribution_risk_decay,0.0181732035189294,0.0153118285179545,0.0181732035189294,-0.08,True,False,Consumer Discretionary,neutral,0.2426313502375026,1.1180388546248543,1.8405045466658825,0.0,0.0,-3.0
2019-10-31,TAL,0.0334512251194796,0.0334512251194796,,hold,hold,0.0142103808550639,0.0153118285179545,0.0142103808550639,-0.08,False,False,Consumer Discretionary,neutral,2.4617969065264824,1.1100928737560387,1.5368098780194386,0.0,0.0,1.294402185749176
2019-10-31,HD,0.0263886956749628,0.0,,risk_exit_proxy,hard_stop,-0.0831108802232923,0.0153118285179545,-0.08,-0.08,True,False,Consumer Discretionary,neutral,5.624924120831393,1.7701112089346598,-3.636030874449388,0.0,0.0,0.0590552222203457
2019-10-31,DLTR,0.0138896750252082,0.0,,risk_exit_proxy,hard_stop,-0.2033471171336541,0.0153118285179545,-0.08,-0.08,True,False,Consumer Staples,neutral,2.960866846534576,1.6755210037612709,-0.7451665906387858,0.0,0.0,0.5638373753340997
2019-10-31,DELL,0.0052054133540398,0.0,,risk_exit_proxy,hard_stop,-0.11996983989186,0.0153118285179545,-0.08,-0.08,True,False,Information Technology,neutral,-0.0564692664000094,0.257594536776939,1.2015618941370547,0.0,0.0,0.2319942013078341
2019-10-31,CASH,0.0,0.1234768862630828,0.1234768862630828,cash_from_risk_exits,risk_exit_proxy_cash,0.0,0.0153118285179545,0.0,-0.08,False,False,Cash,,,,,,,
2019-11-29,DELL,0.15,0.15,,hold,hold,0.0767322552756828,0.0462382822661189,0.0767322552756828,-0.08,False,False,Information Technology,bull,-0.5221901720877368,0.0654112251138183,1.092408043781543,0.0,0.0,0.6527838604932557
2019-11-29,UI,0.15,0.15,,hold,hold,-0.0388461398755495,0.0462382822661189,-0.0388461398755495,-0.08,False,False,Information Technology,bull,0.1559446885491856,1.635828706289146,2.9586816850970994,0.0,0.0,0.7551271099190977
2019-11-29,MA,0.147937219156953,0.147937219156953,,hold,hold,0.0339649234320762,0.0462382822661189,0.0339649234320762,-0.08,False,False,Financials,bull,5.957172212420004,2.2082561334359423,-3.470614013783164,0.0,0.0,-1.4587747858054694
2019-11-29,DXCM,0.1021463327280454,0.0,,risk_exit_proxy,distribution_risk_decay,0.0018794575914768,0.0462382822661189,0.0018794575914768,-0.08,True,False,Health Care,bull,0.2786811188392785,1.453234376434444,1.0832055966821454,0.0,0.0,-0.6565332534015851
2019-11-29,FTNT,0.1006536654832466,0.1006536654832466,,hold,hold,0.0226192652538717,0.0462382822661189,0.0226192652538717,-0.08,False,False,Information Technology,bull,1.381004079857194,1.4494332821244529,0.6423183225002824,0.0,0.0,1.238998941398289
2019-11-29,AMD,0.0821231874361625,0.0821231874361625,,hold,hold,0.1917599433888055,0.0462382822661189,0.1917599433888055,-0.08,False,False,Information Technology,bull,1.379205400508268,1.3996638309058758,-0.16180847504567,0.0,0.0,-1.4298476048965532
2019-11-29,QRVO,0.0497918664048302,0.0497918664048302,,hold,hold,0.1268499412582064,0.0462382822661189,0.1268499412582064,-0.08,False,False,Information Technology,bull,0.7082124504451889,1.2967935397585575,1.0862068439079406,0.0,0.0,1.8262760432042768
2019-11-29,BABA,0.0301979660491184,0.0301979660491184,,hold,hold,0.0907442839684118,0.0462382822661189,0.0907442839684118,-0.08,False,False,Internet,bull,4.896125779876697,1.851770810235749,-2.313512290280181,0.0,0.0,0.4055329924464032
2019-11-29,PCTY,0.0283586207862155,0.0,,risk_exit_proxy,distribution_risk_decay,-0.0090649296693795,0.0462382822661189,-0.0090649296693795,-0.08,True,False,Industrials,bull,1.2469276946411192,1.2080161716533355,1.8403254839890408,0.0,0.0,-2.9167985131296743
2019-11-29,CPRT,0.0263733866086718,0.0263733866086718,,hold,hold,0.0306720930462645,0.0462382822661189,0.0306720930462645,-0.08,False,False,Industrials,bull,3.619948249480583,1.1982833405396762,-0.4798654725866316,0.0,0.0,-1.4643822852349038
2019-11-29,RNG,0.023762748525515,0.023762748525515,,hold,hold,-0.0122021665907743,0.0462382822661189,-0.0122021665907743,-0.08,False,False,Information Technology,bull,2.608223917555144,1.1849082952815342,0.6109327994854453,0.0,0.0,-3.0
2019-11-29,V,0.0218648147939285,0.0218648147939285,,hold,hold,0.0258355341859866,0.0462382822661189,0.0258355341859866,-0.08,False,False,Financials,bull,5.686366510134278,1.807967994649128,-3.772498347092129,0.0,0.0,-0.9562109347232252
2019-11-29,CASH,0.0,0.1305049535142609,0.1305049535142609,cash_from_risk_exits,risk_exit_proxy_cash,0.0,0.0462382822661189,0.0,-0.08,False,False,Cash,,,,,,,
2019-12-31,AMD,0.15,0.15,,hold,hold,-0.0098164549398456,-0.0027410715656029,-0.0098164549398456,-0.08,False,False,Information Technology,neutral,1.6654060206139047,1.6892754023995054,0.1316139585394347,0.0,0.0,-0.6393788044845055
2019-12-31,LRCX,0.15,0.15,,hold,hold,0.0142675703249253,-0.0027410715656029,0.0142675703249253,-0.08,False,False,Information Technology,neutral,2.5046153509150426,0.3692487704639415,-0.0294204568186161,0.0,0.0,-2.076354531559605
2019-12-31,UI,0.1401975444429681,0.0,,risk_exit_proxy,hard_stop,-0.1373837772060094,-0.0027410715656029,-0.08,-0.08,True,False,Information Technology,neutral,0.5307541337595851,1.6465532608023106,2.4124337599179264,0.0,0.0,1.9944652710401904
2019-12-31,MA,0.1279583567772519,0.1279583567772519,,hold,hold,0.0624555272323938,-0.0027410715656029,0.0624555272323938,-0.08,False,False,Financials,neutral,5.765352644193387,2.20224794115339,-3.5661316197618267,0.0,0.0,-0.9095411993298342
2019-12-31,QRVO,0.1101407876724085,0.0,,risk_exit_proxy,hard_stop,-0.094661421387536,-0.0027410715656029,-0.08,-0.08,True,False,Information Technology,neutral,0.7771685568962512,1.5787367949078022,1.2621056813063152,0.0,0.0,2.006540284536644
2019-12-31,BABA,0.0704837533816328,0.0704837533816328,,hold,hold,-0.0366111986855113,-0.0027410715656029,-0.0366111986855113,-0.08,False,False,Internet,neutral,4.869739951203601,1.9876791698062255,-2.281427170677254,0.0,0.0,1.0117348142878706
2019-12-31,RH,0.0545553658858271,0.0545553658858271,,hold,hold,-0.0202457697624434,-0.0027410715656029,-0.0202457697624434,-0.08,False,False,Consumer Discretionary,neutral,2.149266386471318,1.6200002314221464,0.744194016802707,0.0,0.0,-0.3837533581697081
2019-12-31,V,0.0400115734383807,0.0400115734383807,,hold,hold,0.0578837436683605,-0.0027410715656029,0.0578837436683605,-0.08,False,False,Financials,neutral,5.743287798679217,1.835383854815335,-3.912081429883781,0.0,0.0,-0.3981063370648706
2019-12-31,RNG,0.0381315910635039,0.0381315910635039,,hold,hold,0.2173528965880156,-0.0027410715656029,0.2173528965880156,-0.08,False,False,Information Technology,neutral,1.854164759823699,1.3610458004471386,0.7340345705592187,0.0,0.0,-0.5376429851364923
2019-12-31,SWKS,0.0329192871672377,0.0329192871672377,,hold,hold,-0.0728629316300558,-0.0027410715656029,-0.0728629316300558,-0.08,False,False,Information Technology,neutral,0.6535042722610236,1.338995849422911,1.4481450285065591,0.0,0.0,2.344467032949764
2019-12-31,FTNT,0.0246099235847954,0.0246099235847954,,hold,hold,0.0766728430962933,-0.0027410715656029,0.0766728430962933,-0.08,False,False,Information Technology,neutral,1.3574394440673714,1.2998545773919088,0.4288423374989868,0.0,0.0,2.1192504051215515
2019-12-31,CASH,0.0,0.2503383321153766,0.2503383321153766,cash_from_risk_exits,risk_exit_proxy_cash,0.0,-0.0027410715656029,0.0,-0.08,False,False,Cash,,,,,,,
