rebalance_date,portfolio_kind,variant_id,position_count,avg_market_leader_tape_score,avg_sector_leadership_score,avg_future_winner_confirmation_score,avg_smart_money_confirmation_score,avg_leader_chase_risk_score,dual_leader_share,evidence_confidence_avg
2019-05-31,main,main_N18_cap12_sub40_theme60_risk,18,1.468032065117416,0.856817882409882,0.43342912368537156,0.07779764935376604,0.12186937550085229,0.9444444444444444,1.0
2019-05-31,concentrated,concentrated_N5_cap30_sub70_risk,5,2.267885713752129,1.1339583837772635,0.5438210202444899,0.11367428112476241,0.16932883639628454,1.0,1.0
2019-06-28,main,main_N18_cap12_sub40_theme60_risk,18,0.7312058792905776,1.087225629497978,0.427689898051346,0.07701981218676086,0.08492134778441002,1.0,1.0
2019-06-28,concentrated,concentrated_N5_cap30_sub70_risk,5,1.1776552842724792,1.628604800494878,0.5866008804947989,0.10383255540631398,0.12158914249643696,1.0,1.0
2019-07-31,main,main_N18_cap12_sub40_theme60_risk,18,0.8935368839805632,0.7538660939451848,0.44068264454496364,0.08199769143833058,0.08682620883768595,1.0,1.0
2019-07-31,concentrated,concentrated_N5_cap30_sub70_risk,5,1.4893648017032064,0.8525407556530133,0.613459809882322,0.11197518904291051,0.11511025194975946,1.0,1.0
2019-08-30,main,main_N18_cap12_sub40_theme60_risk,18,1.2657445412512134,0.6559030883442277,0.43068352920214115,0.07147919627542919,0.10663788362901622,1.0,1.0
2019-08-30,concentrated,concentrated_N5_cap30_sub70_risk,5,1.9630282725784198,0.5637092081138002,0.49918711315068254,0.12480667839527952,0.10595791107778332,1.0,1.0
2019-09-30,main,main_N18_cap12_sub40_theme60_risk,18,0.6504018174119945,0.560032409455505,0.4037396574988064,0.05889258027351014,0.09578359637041935,1.0,1.0
2019-09-30,concentrated,concentrated_N5_cap30_sub70_risk,5,0.6363897228824671,0.40525830589346806,0.3162531210942504,0.09284986916109801,0.08647092087082957,1.0,1.0
2019-10-31,main,main_N18_cap12_sub40_theme60_risk,18,1.2446808328773291,0.6708258699272702,0.350724586068744,0.05644384013682165,0.11469502557124128,1.0,1.0
2019-10-31,concentrated,concentrated_N5_cap30_sub70_risk,5,2.3303506278706494,0.590097603083589,0.41822938059828124,0.08041970945455232,0.15453483772591586,1.0,1.0
2019-11-29,main,main_N18_cap12_sub40_theme60_risk,18,1.585909525677158,1.726118535479082,0.6171820156102996,0.054814365453158626,0.14129545106718042,1.0,1.0
2019-11-29,concentrated,concentrated_N5_cap30_sub70_risk,5,2.5982660487736426,1.7810093023022486,0.6266297166926005,0.06884042693451042,0.24186318217514255,1.0,1.0
2019-12-31,main,main_N18_cap12_sub40_theme60_risk,18,1.7862968001047292,1.4404872744819275,0.6682514874546144,0.0547814774430211,0.16253440438221656,0.8888888888888888,1.0
2019-12-31,concentrated,concentrated_N5_cap30_sub70_risk,5,1.4110565783922362,1.4465378285474841,0.597461980755825,0.06897668818973735,0.15474087982504614,1.0,1.0
2020-01-31,main,main_N18_cap12_sub40_theme60_risk,18,0.7712879863104116,0.9412185231180553,0.47845202640790024,0.06124852041303998,0.08380173205955711,0.7222222222222222,1.0
2020-01-31,concentrated,concentrated_N5_cap30_sub70_risk,5,1.7901612481968958,0.8909792209094037,0.44305245959953143,0.07783826360285641,0.11595872960427052,1.0,1.0
2020-02-28,main,main_N18_cap12_sub40_theme60_risk,18,2.261050398794053,1.299438255982701,0.5349465009237886,0.1332528541179567,0.17887877865500787,0.8888888888888888,1.0
2020-02-28,concentrated,concentrated_N5_cap30_sub70_risk,5,3.3314256518151106,1.42550281160179,0.742441318908116,0.16917921579979125,0.2771725785184717,1.0,1.0
2020-03-31,main,main_N18_cap12_sub40_theme60_risk,18,1.4203716745815473,0.9107935254461191,0.5673415257841236,0.12973792123570013,0.1515678288409163,0.8333333333333334,1.0
2020-03-31,concentrated,concentrated_N5_cap30_sub70_risk,5,2.0132168710185003,0.9718835524156697,0.7356512567307287,0.17071133662554505,0.1486320434679334,1.0,1.0
2020-04-30,main,main_N18_cap12_sub40_theme60_risk,18,1.5557251622031592,0.9067638973286835,0.636084677311334,0.13978260582449042,0.17500889141967094,0.9444444444444444,1.0
