rebalance_date,ticker,leader_tier,leader_state,leader_state_reason,warning_streak,exit_streak,shakeout_guard_active,rs_qqq_1m,rs_qqq_3m,rs_qqq_6m,sector_leadership_score,price_structure_state
2026-04-30,A,LAGGING,EXIT_REPLACE,repeated_relative_break_or_crisis,0,2,False,-0.16210811226991728,-0.2098657606254839,-0.2600170314081667,-0.3611944912677012,broken_price_structure
2026-04-30,AAON,EMERGING_LEADER,WARNING,second_warning_trim_review,4,0,False,-0.0031490290737401505,-0.049115811348313665,-0.14017654808678626,-0.08926276323836,above_ma50_ma200
2026-04-30,AAPL,SECTOR_LEADER,WARNING,second_warning_trim_review,4,0,False,-0.09583518204773078,-0.02839153072577849,-0.06759134167226999,0.34987848622468765,above_ma50_ma200
2026-04-30,ABT,LAGGING,EXIT_REPLACE,repeated_relative_break_or_crisis,0,2,False,-0.29932919695795424,-0.23925455407060325,-0.3327894957379718,-0.12840670644630459,broken_price_structure
2026-04-30,ACI,EMERGING_LEADER,EXIT_REPLACE,repeated_relative_break_or_crisis,0,1,False,-0.2166859898939506,-0.052795158167251,-0.11054367613242211,-0.3225507560462502,broken_price_structure
2026-04-30,ACM,EMERGING_LEADER,EXIT_REPLACE,repeated_relative_break_or_crisis,0,2,False,-0.18166312094511183,-0.19978095022623565,-0.4358310804921116,-0.1434538887064064,broken_price_structure
2026-04-30,ADC,DUAL_LEADER,WARNING,second_warning_trim_review,5,0,False,-0.16029240928621635,0.003492161304893937,0.015269730207073673,-0.1583770977730069,broken_price_structure
2026-04-30,ADI,DUAL_LEADER,HOLD,leader_intact,0,0,False,0.1310863483181297,0.22287598608567372,0.6693936454589133,1.5764771592794005,above_ma50_ma200
2026-04-30,ADM,DUAL_LEADER,WARNING,relative_weakness_no_add,1,0,False,-0.157181428304223,0.040645137337099735,0.17858154715762886,-0.11924029643939028,above_ma50_ma200
2026-04-30,ADP,EMERGING_LEADER,EXIT_REPLACE,repeated_relative_break_or_crisis,0,1,False,-0.1645776064794091,-0.20933809043917329,-0.24695048974701894,-1.5344656151964289,broken_price_structure
2026-04-30,ADSK,LAGGING,EXIT_REPLACE,repeated_relative_break_or_crisis,0,1,False,-0.19046553123444965,-0.13787483292963898,-0.2813353434128111,-1.34361072432002,broken_price_structure
2026-04-30,AEE,DUAL_LEADER,SHAKEOUT_GUARD,6m_excess_and_leadership_intact,0,0,True,-0.15987021189899542,0.03276617990138253,0.052519610922268756,0.21828752029911136,above_ma50_ma200
2026-04-30,AEM,LAGGING,WARNING,relative_weakness_no_add,1,0,False,-0.21509061272344576,-0.08536609412090446,0.09285798081565799,0.6548553243891414,broken_price_structure
2026-04-30,AES,LAGGING,WARNING,relative_weakness_no_add,1,0,False,-0.16539597058844246,-0.08876721488029482,-0.01318043924271195,0.24258218965905237,broken_price_structure
2026-04-30,AFG,LAGGING,WARNING,second_warning_trim_review,6,0,False,-0.14073922721069132,-0.033027250921904505,-0.011292464626002419,-0.13344275230471436,above_ma50_ma200
2026-04-30,AGCO,SECTOR_LEADER,WARNING,relative_weakness_no_add,1,0,False,-0.12176549901733247,-0.0057817037577538866,0.07661198760684385,0.277569705613494,broken_price_structure
2026-04-30,AGNC,EMERGING_LEADER,WARNING,second_warning_trim_review,11,0,False,-0.04978239939544471,-0.07511856914605264,0.12283252677255807,0.15982272826052804,above_ma50_ma200
2026-04-30,AGO,LAGGING,EXIT_REPLACE,repeated_relative_break_or_crisis,0,1,False,-0.17753629216332656,-0.1056333832385522,-0.06454256769228417,-0.13149842076178034,broken_price_structure
2026-04-30,AIT,DUAL_LEADER,SHAKEOUT_GUARD,6m_excess_and_leadership_intact,0,0,True,-0.011034836948623505,0.10114458293687978,0.12982943877810849,0.23733855758264133,above_ma50_ma200
2026-04-30,AIZ,EMERGING_LEADER,WARNING,second_warning_trim_review,4,0,False,-0.1027805456088593,-0.07889523881056115,0.05175492789374858,-0.13060049310377064,above_ma50_ma200
2026-04-30,AJG,LAGGING,EXIT_REPLACE,repeated_relative_break_or_crisis,0,1,False,-0.24028961470105725,-0.2448989571777903,-0.27711026997595345,-0.12947631595712875,broken_price_structure
2026-04-30,AKAM,LAGGING,EXIT_REPLACE,repeated_relative_break_or_crisis,0,1,False,-0.2617531652421947,-0.015105019059076907,0.32362640998138037,-1.154181460899619,broken_price_structure
2026-04-30,ALAB,DUAL_LEADER,HOLD,leader_intact,0,0,False,0.7460899209741825,0.21780733470129277,0.07925685861401877,0.3210487791139378,above_ma50_ma200
2026-04-30,ALGM,DUAL_LEADER,HOLD,leader_intact,0,0,False,0.5336054636650625,0.23889171926862995,0.5329335278490448,1.360489480971364,above_ma50_ma200
2026-04-30,ALK,EMERGING_LEADER,WARNING,second_warning_trim_review,3,0,False,-0.05216458770041266,-0.3056878425916375,-0.10837923863280441,0.18581163353466873,broken_price_structure
2026-04-30,ALL,DUAL_LEADER,WARNING,relative_weakness_no_add,1,0,False,-0.14786842833727687,0.022222877644281436,0.07405498197981686,-0.11804364648467529,above_ma50_ma200
2026-04-30,ALLE,LAGGING,EXIT_REPLACE,repeated_relative_break_or_crisis,0,2,False,-0.2339276496314755,-0.24072144106137816,-0.23441420765206178,-0.3797960450296834,broken_price_structure
2026-04-30,ALLY,LAGGING,WARNING,second_warning_trim_review,3,0,False,-0.025135210656535012,-0.01770698110255875,0.07997297669318049,-0.28308268930242386,above_ma50_ma200
2026-04-30,ALNY,EMERGING_LEADER,EXIT_REPLACE,repeated_relative_break_or_crisis,0,1,False,-0.21694652577791662,-0.15962697775608403,-0.38088422870756056,-0.14102938163375472,broken_price_structure
2026-04-30,AM,DUAL_LEADER,SHAKEOUT_GUARD,6m_excess_and_leadership_intact,0,0,True,-0.24073163093637684,0.09849473117695684,0.20887261190633044,0.3610917302364701,broken_price_structure
2026-04-30,AMAT,DUAL_LEADER,HOLD,leader_intact,0,0,False,0.024811271233297738,0.15031891222701654,0.6324983676140825,1.5478716483130086,above_ma50_ma200
2026-04-30,AMD,DUAL_LEADER,HOLD,leader_intact,0,0,False,0.6121870526340327,0.42232900132769724,0.3217167507916887,1.5089810098081389,above_ma50_ma200
2026-04-30,AME,SECTOR_LEADER,WARNING,second_warning_trim_review,4,0,False,-0.06586528796123914,-0.022012818254293354,0.12190069309420193,0.4329889827432095,above_ma50_ma200
2026-04-30,AMGN,LAGGING,WARNING,relative_weakness_no_add,1,0,False,-0.20394597878179843,-0.055315376547490525,0.13320732817792713,0.6354025419206213,broken_price_structure
2026-04-30,AMKR,DUAL_LEADER,HOLD,leader_intact,0,0,False,0.49484267841034657,0.3708531010956071,1.1245582801429406,2.4223912880186376,above_ma50_ma200
2026-04-30,AMP,EMERGING_LEADER,EXIT_REPLACE,repeated_relative_break_or_crisis,0,2,False,-0.11313402684014462,-0.1718486124425913,-0.01703447819581183,-0.41341911632245176,broken_price_structure
2026-04-30,AMT,EMERGING_LEADER,WARNING,second_warning_trim_review,4,0,False,-0.11285692041432616,-0.04580047610132487,-0.030967017012162756,0.026081535004074966,broken_price_structure
