portfolio_kind,variant_id,window,start,end,window_return,window_mdd,avg_cash_weight,position_count_avg
main,main_N12_cap12_sub40_theme60,covid_2020,2020-02-01,2020-05-31,0.24261950427337564,-0.351595875755518,0.14147450445296358,12.0
main,main_N12_cap12_sub40_theme60,inflation_2022,2021-11-01,2022-12-31,-0.1627973760606135,-0.337625046555335,0.021034422934617217,12.0
main,main_N12_cap12_sub40_theme60,ai_semis_2024,2024-01-01,2024-12-31,0.45914853111259535,-0.13928125594007046,0.10970523573150678,12.0
main,main_N12_cap12_sub40_theme60,latest_12m,2025-06-26,2026-06-26,1.6473898521723078,-0.14983509615671964,0.03072339587484463,12.0
main,main_N12_cap12_sub40_theme70,covid_2020,2020-02-01,2020-05-31,0.21629657126103763,-0.3909593574255078,0.07526394213063817,12.0
main,main_N12_cap12_sub40_theme70,inflation_2022,2021-11-01,2022-12-31,-0.16689399098108304,-0.3372592337130901,0.017579463120605588,12.0
main,main_N12_cap12_sub40_theme70,ai_semis_2024,2024-01-01,2024-12-31,0.4905152304431981,-0.13920620794649963,0.06487535487116584,12.0
main,main_N12_cap12_sub40_theme70,latest_12m,2025-06-26,2026-06-26,1.6344781435821587,-0.15924642736518624,0.013596887279106273,12.0
main,main_N12_cap12_sub50_theme60,covid_2020,2020-02-01,2020-05-31,0.2425416198448722,-0.3513765063779132,0.1418272538664135,12.0
main,main_N12_cap12_sub50_theme60,inflation_2022,2021-11-01,2022-12-31,-0.18156450913190103,-0.3527205877509365,0.015377425193303566,12.0
main,main_N12_cap12_sub50_theme60,ai_semis_2024,2024-01-01,2024-12-31,0.45895151222969566,-0.13930290129592005,0.10939332303899961,12.0
main,main_N12_cap12_sub50_theme60,latest_12m,2025-06-26,2026-06-26,1.6817213189222944,-0.15470327171879705,0.025099941715368713,12.0
main,main_N12_cap12_sub50_theme70,covid_2020,2020-02-01,2020-05-31,0.21671609925878754,-0.3906296318607031,0.0750678596868732,12.0
main,main_N12_cap12_sub50_theme70,inflation_2022,2021-11-01,2022-12-31,-0.18621308874791742,-0.3532556306327207,0.011376963003471753,12.0
main,main_N12_cap12_sub50_theme70,ai_semis_2024,2024-01-01,2024-12-31,0.4905975652125787,-0.1392706130828174,0.06512757187261455,12.0
main,main_N12_cap12_sub50_theme70,latest_12m,2025-06-26,2026-06-26,1.6753182797138093,-0.15942570370479603,0.009138312086410303,12.0
main,main_N12_cap15_sub40_theme60,covid_2020,2020-02-01,2020-05-31,0.2453326099306441,-0.3531913111834546,0.13912239055172387,12.0
