rank,ticker,target_weight,regime_state,row_type
1,GEV,0.07800000000000001,neutral,equity
2,GOOGL,0.07800000000000001,neutral,equity
3,VRT,0.04475680892214931,neutral,equity
4,FTI,0.044179535314097386,neutral,equity
5,PWR,0.044177983299201334,neutral,equity
6,UMC,0.04400152232442959,neutral,equity
7,NXPI,0.04388415014012238,neutral,equity
8,TXN,0.034305785021801385,neutral,equity
9,LRCX,0.03396897299197016,neutral,equity
10,GLW,0.03328062339523248,neutral,equity
11,ON,0.032123251520224376,neutral,equity
12,MU,0.0265490238519314,neutral,equity
13,WDC,0.026143684758828386,neutral,equity
14,MLI,0.026000000000000006,neutral,equity
15,PR,0.026000000000000006,neutral,equity
16,TKR,0.026000000000000006,neutral,equity
17,AKAM,0.023361154647749002,neutral,equity
18,ENTG,0.023361154647749002,neutral,equity
19,HPE,0.023361154647749002,neutral,equity
20,SNDK,0.015184039869015845,neutral,equity
21,CASH,0.2733611546477489,neutral,cash
