rebalance_date,next_rebalance_date,regime_label,core_target,future_target,early_target,cash_target_used,cash_weight,rebalance_action,due_sleeves,active_rebalance_interval_months,target_n,drawdown_before_month,drawdown_after_month,equity_after_month,regime_state,style_breakout_preference,style_turnaround_preference,style_quality_compounder_preference,style_cash_defense_preference,style_liquidity_tailwind_score,style_rate_pressure_score,style_inflation_pressure_score,style_overheat_risk_score,market_style_regime_label,regime_state_from_candidates,index_trend_damage_score,liquidity_drain_score,breadth_credit_stress_score,event_shock_score,cash_raise_confirmation_count,confirmed_cash_raise,macro_risk_score,macro_risk_state,macro_style_state,recommended_cash_floor,recommended_target_n,recommended_core_capacity,recommended_future_capacity,recommended_early_capacity,recommended_concentrated_capacity,recommended_tactical_capacity,recommended_monster_exception_capacity,cash_raise_gate,monster_exception_allowed,recommended_new_buy_policy,recommended_trim_policy,recommended_action,research_only,production_activation_allowed
2019-04-30,2019-05-31,balanced,0.1,0.4,0.5,0.0,0.2520192884800216,initial_rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,-0.0017198886459116,0.9982801113540885,bull,0.2920193463913234,0.21265023464839855,0.4043563741214485,0.07767695374138542,0.08888178467456022,0.1150453853902295,0.15154768516696743,0.1363474416202913,balanced,bull,0.0,0.14873985325534167,0.03495462918362344,0.0,0,False,0.0441758891505601,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,0.15,none,True,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2019-05-31,2019-06-28,risk_off_alert,0.18,0.36,0.18,0.28,0.2930681863231972,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.0017198886459116,0.0,1.0460483565050662,bear,0.041851747520894995,0.20042462807816233,0.41962291066697416,0.5907781509154044,0.35397822357978564,0.0,0.0,0.23854056358859962,cash_defense,bear,0.73,0.18046592054282226,0.8658501679119319,0.0,2,True,0.6432865137180919,red,cash_defense,0.28,16,0.35,0.25,0.12,0.05,0.0,0.03,confirmed_long_trend_plus_liquidity_or_breadth,True,no_new_buy_except_confirmed_monster_scout_or_top_quality,half_trim_then_exit_relative_losers,defend_half_trim_stale_leaders_no_tactical_new_buys,True,False
2019-06-28,2019-07-31,balanced,0.1,0.4,0.5,0.0,0.0333386914753282,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,1.0567693359261878,neutral,0.32010228623613274,0.24923124305623107,0.34753432470529955,0.028630947181852606,0.13800353573229288,0.0,0.0,0.10657866831284482,balanced,neutral,0.0,0.06324156952571021,0.012883926231833672,0.0,0,False,0.018387177627794286,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,0.15,none,True,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2019-07-31,2019-08-30,balanced,0.1,0.4,0.5,0.0,0.0265996810359647,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,1.083907332370124,neutral,0.19326685348978995,0.23733823979830182,0.5003811130862424,0.17615796516613863,0.15358591654938186,0.08971171790090889,0.0765662929446748,0.14415988565479002,quality_compounder,neutral,0.0,0.14093175246845518,0.1592710843247624,0.0,0,False,0.06708715498206627,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,0.15,none,True,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2019-08-30,2019-09-30,balanced,0.1,0.4,0.5,0.0,0.1763191026027508,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,-0.0115558146955612,1.0713819000900948,neutral,0.1483352901524773,0.15745980676327978,0.5330304985331145,0.41001906079585027,0.1433473009338629,0.0,0.0,0.23216086065729793,quality_compounder,neutral,0.0,0.16410125419724336,0.2645085773581326,0.0,0,False,0.09392702902093736,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,0.15,none,True,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2019-09-30,2019-10-31,balanced,0.1,0.4,0.5,0.0,0.0421468294991911,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.0115558146955612,0.0,1.0939202282672726,neutral,0.2027649629218565,0.30817565127882934,0.5116179534350298,0.0746229573280387,0.24772538746140707,0.46685663030847496,0.42770546996334485,0.20666429532715383,quality_compounder,neutral,0.0,0.30708299487010926,0.11358033079761742,0.0,0,False,0.0994868148770508,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,0.15,none,True,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2019-10-31,2019-11-29,growth_reentry_alert,0.1,0.4,0.5,0.0,0.0,rebalance,"core_compounder,early_scout,future_winner",1,20,0.0,0.0,1.097988618505193,neutral,0.5561452754381,0.41658956410331816,0.48546049138530356,0.011230382130235,0.4135441880369602,0.3249096942471593,0.41485735897706655,0.15548069621492516,breakout_growth,neutral,0.1,0.2224321769348971,0.00505367195860575,0.0,0,False,0.10661877862544543,recovery,breakout_growth,0.05,14,0.25,0.4,0.3,0.1,0.03,0.1,reentry_holdback_only,True,staged_scout_then_confirm,keep_cash_until_confirmation,staged_reentry_scout_then_scale_confirmed_new_leaders,True,False
2019-11-29,2019-12-31,balanced,0.1,0.4,0.5,0.0,0.0034437655075844,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,20,0.0,0.0,1.1351670818470116,bull,0.3951698809637826,0.3320842002027479,0.36434293888167163,0.022085691330899992,0.43184932038669976,0.1641522447202206,0.0775007344094956,0.11494613436212077,balanced,bull,0.0,0.09896725339789948,0.009938561098904997,0.0,0,False,0.02672952556925587,green,breakout_growth,0.03,12,0.3,0.45,0.25,0.2,0.05,0.15,none,True,normal,winner_hold_stale_watch,favor_future_winners_and_monster_breakouts,True,False
2019-12-31,2020-01-31,balanced,0.1,0.4,0.5,0.0,0.0,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,1.2318828124494858,neutral,0.37258039041660684,0.28169342550730425,0.5427042131234316,0.09487595331519269,0.18057063733538498,0.5333429207307292,0.7352572700328872,0.21540566729931518,quality_compounder,neutral,0.0,0.40105359061515927,0.12269417899183671,0.0,1,False,0.12480223345215716,yellow,quality_compounder,0.05,14,0.35,0.35,0.2,0.1,0.0,0.08,no_big_cash_without_second_confirmation,True,scout_only_top_relative_strength_or_structural_turnaround,half_trim_stale_leaders,slow_new_buys_scout_only_require_confirmation,True,False
2020-01-31,2020-02-28,balanced,0.1,0.4,0.5,0.0,0.3156614717631477,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,-0.0238365266483447,1.2025190049628958,neutral,0.21814816379838836,0.11866412760854869,0.5956059026222418,0.5048248423345576,0.12518876361829617,0.0,0.0,0.28297714703223603,quality_compounder,neutral,0.0,0.19504152151152912,0.3071711790505509,0.0,0,False,0.11019461618799246,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,0.15,none,True,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
