rebalance_date,next_rebalance_date,regime_label,core_target,future_target,early_target,cash_target_used,cash_weight,cash_weight_start,cash_weight_end,stock_weight_start,stock_weight_end,rebalance_action,due_sleeves,active_rebalance_interval_months,target_n,drawdown_before_month,drawdown_after_month,equity_after_month
2019-05-31,2019-06-28,risk_off_alert,0.18,0.36,0.18,0.28,0.34687006974790807,0.28,0.34687006974790807,0.72,0.6531299302520918,initial_rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,1.0456527687214605
2019-06-28,2019-07-31,balanced,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.0,0.026331371885243125,0.0,0.026331371885243125,1.0,0.9736686281147569,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,1.0555418045822142
2019-07-31,2019-08-30,balanced,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.0,0.12996226743852504,0.0,0.12996226743852504,1.0,0.870037732561475,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,1.0731558935238552
2019-08-30,2019-09-30,balanced,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.0,0.2019050783469561,0.011918743143327557,0.2019050783469561,0.9880812568566726,0.7980949216530439,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,-0.017958528877355023,1.0538835924201033
2019-09-30,2019-10-31,balanced,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.0,0.0,0.0,0.0,1.0,1.0,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.017958528877355023,0.0,1.07831183070451
2019-10-31,2019-11-29,growth_reentry_alert,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.0,0.0,0.0,0.0,1.0000000000000002,1.0,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,20,0.0,0.0,1.0900814999618142
2019-11-29,2019-12-31,balanced,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.0,0.06239586954230136,0.0,0.06239586954230136,1.0,0.9376041304576986,rebalance,"core_compounder,early_scout,future_winner",1,20,0.0,0.0,1.1204192544771479
2019-12-31,2020-01-31,balanced,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.0,0.0,0.0,0.0,1.0000000000000002,1.0,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,1.1869690654567806
2020-01-31,2020-02-28,balanced,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.0,0.2287133090299625,0.0,0.2287133090299625,1.0,0.7712866909700375,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,-0.02072407635070134,1.1623702279183337
2020-02-28,2020-03-31,risk_off_alert,0.18,0.36,0.18,0.28,0.8529096995072225,0.2799999999999999,0.8529096995072225,0.7200000000000001,0.14709030049277758,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.02072407635070134,-0.07312742139729554,1.1001690784215685
2020-03-31,2020-04-30,systemic_alert,0.2,0.3,0.1,0.4,0.35712786899042415,0.4,0.35712786899042415,0.6,0.6428721310095759,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.07312742139729554,0.0,1.229588369531199
2020-04-30,2020-05-29,balanced,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.0,0.0,0.0,0.0,1.0,1.0,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,1.4071581943285487
2020-05-29,2020-06-30,balanced,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.0,0.017280501660777985,0.0,0.017280501660777985,1.0,0.982719498339222,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,1.521453383631361
2020-06-30,2020-07-31,balanced,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.0,0.028644726024873068,0.0,0.028644726024873068,1.0,0.9713552739751269,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,1.6649902501184282
2020-07-31,2020-08-31,balanced,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.0,0.019637588502989488,0.0,0.019637588502989488,0.9999999999999999,0.9803624114970106,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,1.8416055981624038
2020-08-31,2020-09-30,balanced,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.0,0.33831335942701357,0.0,0.33831335942701357,1.0,0.6616866405729864,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,-0.025593779766532387,1.794471950066222
2020-09-30,2020-10-30,balanced,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.0,0.15999821746566256,0.0,0.15999821746566256,1.0,0.8400017825343373,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.025593779766532387,-0.029825658483997382,1.7866784985293942
2020-10-30,2020-11-30,risk_off_alert,0.18,0.36,0.18,0.28,0.28298101432993605,0.2799999999999999,0.28298101432993605,0.7200000000000001,0.717018985670064,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.029825658483997382,0.0,1.92645620260716
2020-11-30,2020-12-31,growth_reentry_alert,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.0,0.05957711774407572,0.0,0.05957711774407572,1.0,0.9404228822559243,rebalance,"core_compounder,early_scout,future_winner",1,20,0.0,0.0,2.0373349350475625
2020-12-31,2021-01-29,balanced,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.0,0.29044969561299583,0.0,0.29044969561299583,1.0,0.7095503043870043,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,2.0423165353602815
2021-01-29,2021-02-26,risk_off_alert,0.18,0.36,0.18,0.28,0.39090992744232894,0.2799999999999999,0.39090992744232894,0.7200000000000001,0.6090900725576711,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,2.1460058147353216
2021-02-26,2021-03-31,risk_off_alert,0.18,0.36,0.18,0.28,0.6251892137735329,0.28,0.6251892137735329,0.72,0.37481078622646724,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,-0.018846723225894854,2.105560637103844
2021-03-31,2021-04-30,growth_reentry_alert,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.0,0.03647597031268222,0.0099755290509288,0.03647597031268222,0.9900244709490712,0.9635240296873178,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.018846723225894854,0.0,2.1918503447199345
2021-04-30,2021-05-28,balanced,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.0,0.3464342290419993,0.0,0.3464342290419993,1.0,0.6535657709580007,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,21,0.0,-0.007208068344375044,2.176051337634551
2021-05-28,2021-06-30,balanced,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.0,0.0,0.0,0.0,1.0,1.0,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.007208068344375044,0.0,2.2602428403253283
2021-06-30,2021-07-30,balanced,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.0,0.31640246730328314,0.0,0.31640246730328314,1.0,0.6835975326967167,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,21,0.0,0.0,2.3889626162510122
2021-07-30,2021-08-31,balanced,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.0,0.05602520973694945,0.0,0.05602520973694945,1.0,0.9439747902630506,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,2.492772233374951
2021-08-31,2021-09-30,balanced,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.0,0.41173681049108035,0.0,0.41173681049108035,1.0,0.5882631895089196,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,-0.051107952943459496,2.3653717473728615
2021-09-30,2021-10-29,risk_off_alert,0.18,0.36,0.18,0.28,0.26232732025891686,0.28,0.26232732025891686,0.72,0.7376726797410832,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.051107952943459496,0.0,2.519310386384139
2021-10-29,2021-11-30,growth_reentry_alert,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.0,0.3149552325291296,0.0,0.3149552325291296,1.0,0.6850447674708705,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,-0.009739703572170974,2.494773050014466
2021-11-30,2021-12-31,balanced,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.0,0.07954828297363792,0.0,0.07954828297363792,0.9999999999999999,0.9204517170263622,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.009739703572170974,0.0,2.575493818715505
2021-12-31,2022-01-31,balanced,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.0,0.2905973809139519,0.0,0.2905973809139519,1.0,0.7094026190860481,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,-0.04131755486813475,2.469080711548185
2022-01-31,2022-02-28,balanced,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.0,0.04192177792467408,0.0,0.04192177792467408,1.0,0.958078222075326,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.04131755486813475,-0.05333915857753117,2.4381191455035873
