horizon,status,start_date,end_date,period_return,cagr,max_dd,sharpe,realized_volatility,start_equity_usd,end_equity_usd,avg_cash_weight,end_cash_weight,series,series_type
1M,completed,2026-04-22,2026-05-22,0.04994026415611086,0.8100013257326832,-0.029769370033454257,2.9188959835420576,0.19816513840155703,115031.60729622122,120776.31615089651,0.2668799390297919,0.2617238840821646,main,portfolio
3M,completed,2026-02-23,2026-05-22,0.08753178523493799,0.41662478268438785,-0.07373271800959669,1.9591294029283801,0.17967800566666986,111055.43561175582,120776.31615089651,0.25809672437605896,0.2617238840821646,main,portfolio
6M,completed,2025-11-24,2026-05-22,0.1432550860538877,0.31413881775281505,-0.10105974842783305,1.4104598895647735,0.21036788929587993,105642.49188496824,120776.31615089651,0.13869213848865794,0.2617238840821646,main,portfolio
YTD,completed,2026-01-02,2026-05-22,0.14349240870188673,0.41881732563099194,-0.10105974842783305,1.6664253640916955,0.22441231359096744,105620.56663585898,120776.31615089651,0.16887308130398915,0.2617238840821646,main,portfolio
1Y,completed,2025-05-22,2026-05-22,0.27811987180809616,0.2783347104268361,-0.15815673854081325,1.2921129124058204,0.20752966286288502,94495.29642320632,120776.31615089651,0.08862129544608374,0.2617238840821646,main,portfolio
2Y,completed,2024-05-22,2026-05-22,0.449783285779048,0.20422263212393332,-0.15815673854081325,1.1323253435648049,0.1792753079008424,83306.46196269036,120776.31615089651,0.2737935758298219,0.2617238840821646,main,portfolio
FULL,completed,2022-03-01,2026-05-22,0.20890700439045617,0.04593228195848975,-0.2828057331705295,0.3308004495974799,0.1921806668824376,99905.38206186771,120776.31615089651,0.30991000469131863,0.2617238840821646,main,portfolio
1M,completed,2026-04-22,2026-05-22,0.054731327346501546,0.9131629815319251,-0.03205353966476121,4.381581949093545,0.1417874093683468,110864.6712036514,116932.44181446072,0.0005928053898947392,0.0005805118873739,concentrated,portfolio
3M,completed,2026-02-23,2026-05-22,0.10265080409352412,0.5001745941955702,-0.036992958887184124,3.453946207768279,0.1151810621095071,106046.66625223156,116932.44181446072,0.0005589856441186796,0.0005805118873739,concentrated,portfolio
6M,completed,2025-11-24,2026-05-22,0.13163297834869625,0.28702332329942726,-0.11587264842189515,1.4455175908579514,0.1878674550083083,103330.71238794323,116932.44181446072,0.16710096141798858,0.0005805118873739,concentrated,portfolio
YTD,completed,2026-01-02,2026-05-22,0.21691157348598344,0.6689168410829536,-0.036992958887184124,3.8521899259330867,0.134887943943496,96089.51411275862,116932.44181446072,0.10290256881974448,0.0005805118873739,concentrated,portfolio
1Y,completed,2025-05-22,2026-05-22,0.4249540282325579,0.4252997089097821,-0.12226785468529111,1.7567432880157274,0.21590447337960217,82060.50124964234,116932.44181446072,0.10229424434300087,0.0005805118873739,concentrated,portfolio
2Y,completed,2024-05-22,2026-05-22,0.43836658541300855,0.19946852893467026,-0.2183602243096322,0.8240259591472213,0.2644137016930755,81295.29912632465,116932.44181446072,0.10337189704300222,0.0005805118873739,concentrated,portfolio
FULL,completed,2022-03-01,2026-05-22,0.17224671080799192,0.03833569077381549,-0.4479455196875711,0.2806083877507231,0.34012405743837737,99750.7100991249,116932.44181446072,0.11092376195353978,0.0005805118873739,concentrated,portfolio
1M,completed,2026-04-22,2026-05-22,0.04841044362716396,0.7781526687353957,-0.019300430077719755,5.485166178679494,0.09973532564400282,711.2100219726562,745.6400146484375,,,SPY,benchmark
3M,completed,2026-02-23,2026-05-22,0.09567304535998233,0.46116278853516124,-0.08577387238160494,2.610399893890465,0.14407448146478255,680.531494140625,745.6400146484375,,,SPY,benchmark
6M,completed,2025-11-24,2026-05-22,0.12135796987802672,0.2632907908075204,-0.08884972579331007,1.9069452596720484,0.1273651298909292,664.9437866210938,745.6400146484375,,,SPY,benchmark
YTD,completed,2026-01-02,2026-05-22,0.09442214572053831,0.265407876246164,-0.08884972579331007,1.7892154027117588,0.136249774145906,681.309326171875,745.6400146484375,,,SPY,benchmark
1Y,completed,2025-05-22,2026-05-22,0.29343280813528994,0.29366077340790886,-0.08884972579331007,2.2135892206774344,0.12001222360170818,576.4814453125,745.6400146484375,,,SPY,benchmark
2Y,completed,2024-05-22,2026-05-22,0.4415694631771352,0.20080415720295686,-0.18755241874299278,1.1852580038647262,0.16693704535008813,517.2418212890625,745.6400146484375,,,SPY,benchmark
FULL,completed,2011-05-23,2026-05-22,6.3688550763221885,0.14244311526548725,-0.33717245081549685,0.8624098637832062,0.17195249014893518,101.18804168701172,745.6400146484375,,,SPY,benchmark
1M,completed,2026-04-22,2026-05-22,0.09529696397816068,2.0290098529120293,-0.025368439805888876,6.51143103756213,0.16247582158927668,655.1099853515625,717.5399780273438,,,QQQ,benchmark
3M,completed,2026-02-23,2026-05-22,0.1946006601706396,1.091791003297958,-0.09355907727717905,3.835661739487721,0.19040216485022135,600.652587890625,717.5399780273438,,,QQQ,benchmark
6M,completed,2025-11-24,2026-05-22,0.1887276203060695,0.4230027930931912,-0.11723572714706232,2.152823419051045,0.17146292010509404,603.6201782226562,717.5399780273438,,,QQQ,benchmark
YTD,completed,2026-01-02,2026-05-22,0.17178482619049618,0.5122346150624719,-0.11723572714706232,2.355565321087277,0.182000841184637,612.347900390625,717.5399780273438,,,QQQ,benchmark
1Y,completed,2025-05-22,2026-05-22,0.402749256933399,0.40307445772921313,-0.11964367111609375,2.199862487523047,0.16040960608616348,511.5240478515625,717.5399780273438,,,QQQ,benchmark
2Y,completed,2024-05-22,2026-05-22,0.5918463097703597,0.26188480759776334,-0.22768310492842747,1.2042555664864754,0.21298094642158777,450.75958251953125,717.5399780273438,,,QQQ,benchmark
FULL,completed,2011-05-23,2026-05-22,13.369890052450815,0.19446692229823537,-0.35118740288006245,0.9603902246186014,0.2080357188232303,49.93357467651367,717.5399780273438,,,QQQ,benchmark
