portfolio,ticker,action,current_weight,target_weight,delta_weight,estimated_shares,estimated_value,priority,review_required,reason,order_source,production_mutation_allowed,live_trading_enabled,human_approval_required
concentrated,TKR,REVIEW_REQUIRED,0.0,0.3434698548851765,0.3434698548851765,0.0,0.0,1,True,prices is stale (latest_asof=2026-06-18),current_snapshot_vs_target_review_only,False,False,True
concentrated,MU,REVIEW_REQUIRED,0.0,0.2578054637794675,0.2578054637794675,0.0,0.0,2,True,prices is stale (latest_asof=2026-06-18),current_snapshot_vs_target_review_only,False,False,True
concentrated,WDC,REVIEW_REQUIRED,0.2097462657141267,0.2543153282781843,0.04456906256405763,0.0,0.0,3,True,prices is stale (latest_asof=2026-06-18),current_snapshot_vs_target_review_only,False,False,True
concentrated,SNDK,REVIEW_REQUIRED,0.3837985322995613,0.1444093530571717,-0.2393891792423896,0.0,0.0,4,True,prices is stale (latest_asof=2026-06-18),current_snapshot_vs_target_review_only,False,False,True
concentrated,CASH,REVIEW_REQUIRED,0.0568854765078667,0.0,-0.0568854765078667,0.0,0.0,5,True,prices is stale (latest_asof=2026-06-18),current_snapshot_vs_target_review_only,False,False,True
main,GEV,REVIEW_REQUIRED,0.0,0.1229159419256536,0.1229159419256536,0.0,0.0,1,True,prices is stale (latest_asof=2026-06-18),current_snapshot_vs_target_review_only,False,False,True
main,CAT,REVIEW_REQUIRED,0.0,0.1227380995610762,0.1227380995610762,0.0,0.0,2,True,prices is stale (latest_asof=2026-06-18),current_snapshot_vs_target_review_only,False,False,True
main,NXPI,REVIEW_REQUIRED,0.0,0.07,0.07,0.0,0.0,3,True,prices is stale (latest_asof=2026-06-18),current_snapshot_vs_target_review_only,False,False,True
main,NUE,REVIEW_REQUIRED,0.0,0.07,0.07,0.0,0.0,4,True,prices is stale (latest_asof=2026-06-18),current_snapshot_vs_target_review_only,False,False,True
main,UMC,REVIEW_REQUIRED,0.0,0.07,0.07,0.0,0.0,5,True,prices is stale (latest_asof=2026-06-18),current_snapshot_vs_target_review_only,False,False,True
main,VRT,REVIEW_REQUIRED,0.0,0.0465013503845353,0.0465013503845353,0.0,0.0,6,True,prices is stale (latest_asof=2026-06-18),current_snapshot_vs_target_review_only,False,False,True
main,NVT,REVIEW_REQUIRED,0.0,0.0370810217639112,0.0370810217639112,0.0,0.0,7,True,prices is stale (latest_asof=2026-06-18),current_snapshot_vs_target_review_only,False,False,True
main,AMAT,REVIEW_REQUIRED,0.0,0.0366829290005358,0.0366829290005358,0.0,0.0,8,True,prices is stale (latest_asof=2026-06-18),current_snapshot_vs_target_review_only,False,False,True
main,WDC,REVIEW_REQUIRED,0.1429859165667731,0.0366829290005358,-0.1063029875662373,0.0,0.0,9,True,prices is stale (latest_asof=2026-06-18),current_snapshot_vs_target_review_only,False,False,True
main,LRCX,REVIEW_REQUIRED,0.0,0.0366829290005358,0.0366829290005358,0.0,0.0,10,True,prices is stale (latest_asof=2026-06-18),current_snapshot_vs_target_review_only,False,False,True
main,TKR,REVIEW_REQUIRED,0.0,0.0353817931824117,0.0353817931824117,0.0,0.0,11,True,prices is stale (latest_asof=2026-06-18),current_snapshot_vs_target_review_only,False,False,True
main,R,REVIEW_REQUIRED,0.0,0.0353817931824117,0.0353817931824117,0.0,0.0,12,True,prices is stale (latest_asof=2026-06-18),current_snapshot_vs_target_review_only,False,False,True
main,AMD,REVIEW_REQUIRED,0.0,0.0317424213652316,0.0317424213652316,0.0,0.0,13,True,prices is stale (latest_asof=2026-06-18),current_snapshot_vs_target_review_only,False,False,True
main,KLAC,REVIEW_REQUIRED,0.0,0.0317424213652316,0.0317424213652316,0.0,0.0,14,True,prices is stale (latest_asof=2026-06-18),current_snapshot_vs_target_review_only,False,False,True
main,ENTG,REVIEW_REQUIRED,0.0,0.0317424213652316,0.0317424213652316,0.0,0.0,15,True,prices is stale (latest_asof=2026-06-18),current_snapshot_vs_target_review_only,False,False,True
main,COHU,REVIEW_REQUIRED,0.0,0.0317424213652316,0.0317424213652316,0.0,0.0,16,True,prices is stale (latest_asof=2026-06-18),current_snapshot_vs_target_review_only,False,False,True
main,ARW,REVIEW_REQUIRED,0.0,0.0317084874330366,0.0317084874330366,0.0,0.0,17,True,prices is stale (latest_asof=2026-06-18),current_snapshot_vs_target_review_only,False,False,True
main,AMKR,REVIEW_REQUIRED,0.0,0.0312730401044292,0.0312730401044292,0.0,0.0,18,True,prices is stale (latest_asof=2026-06-18),current_snapshot_vs_target_review_only,False,False,True
main,CASH,REVIEW_REQUIRED,0.1496987356472054,0.0900000000000006,-0.059698735647204806,0.0,0.0,19,True,prices is stale (latest_asof=2026-06-18),current_snapshot_vs_target_review_only,False,False,True
