portfolio,rebalance_date,row_count,ticker_count,category,present_count,row_any_feature_coverage_ratio,average_present_column_coverage_ratio
main,2019-05-31,14,14,price_momentum,10,1.0,0.9
main,2019-05-31,14,14,macro_regime,6,1.0,1.0
main,2019-05-31,14,14,theme_leadership,3,1.0,0.6666666666666666
main,2019-05-31,14,14,sec_smart_money,11,1.0,1.0
main,2019-05-31,14,14,quality_confirmation,2,1.0,1.0
main,2019-05-31,14,14,broker_policy,2,1.0,1.0
main,2019-06-28,14,14,price_momentum,10,1.0,0.9
main,2019-06-28,14,14,macro_regime,6,1.0,1.0
main,2019-06-28,14,14,theme_leadership,3,1.0,0.6666666666666666
main,2019-06-28,14,14,sec_smart_money,11,1.0,1.0
main,2019-06-28,14,14,quality_confirmation,2,1.0,1.0
main,2019-06-28,14,14,broker_policy,2,1.0,1.0
main,2019-07-31,14,14,price_momentum,10,1.0,0.9
main,2019-07-31,14,14,macro_regime,6,1.0,1.0
main,2019-07-31,14,14,theme_leadership,3,1.0,0.6666666666666666
main,2019-07-31,14,14,sec_smart_money,11,1.0,1.0
main,2019-07-31,14,14,quality_confirmation,2,1.0,1.0
main,2019-07-31,14,14,broker_policy,2,1.0,1.0
main,2019-08-30,12,12,price_momentum,10,1.0,0.9
main,2019-08-30,12,12,macro_regime,6,1.0,1.0
main,2019-08-30,12,12,theme_leadership,3,1.0,0.6666666666666666
main,2019-08-30,12,12,sec_smart_money,11,1.0,1.0
main,2019-08-30,12,12,quality_confirmation,2,1.0,1.0
main,2019-08-30,12,12,broker_policy,2,1.0,1.0
main,2019-09-30,14,14,price_momentum,10,1.0,0.9
main,2019-09-30,14,14,macro_regime,6,1.0,1.0
main,2019-09-30,14,14,theme_leadership,3,1.0,0.6666666666666666
main,2019-09-30,14,14,sec_smart_money,11,1.0,1.0
main,2019-09-30,14,14,quality_confirmation,2,1.0,1.0
main,2019-09-30,14,14,broker_policy,2,1.0,1.0
main,2019-10-31,13,13,price_momentum,10,1.0,0.9
main,2019-10-31,13,13,macro_regime,6,1.0,1.0
main,2019-10-31,13,13,theme_leadership,3,1.0,0.6666666666666666
main,2019-10-31,13,13,sec_smart_money,11,1.0,1.0
main,2019-10-31,13,13,quality_confirmation,2,1.0,1.0
main,2019-10-31,13,13,broker_policy,2,1.0,1.0
main,2019-11-29,14,14,price_momentum,10,1.0,0.9
main,2019-11-29,14,14,macro_regime,6,1.0,1.0
main,2019-11-29,14,14,theme_leadership,3,1.0,0.6666666666666666
main,2019-11-29,14,14,sec_smart_money,11,1.0,1.0
main,2019-11-29,14,14,quality_confirmation,2,1.0,1.0
main,2019-11-29,14,14,broker_policy,2,1.0,1.0
main,2019-12-31,14,14,price_momentum,10,1.0,0.9
main,2019-12-31,14,14,macro_regime,6,1.0,1.0
main,2019-12-31,14,14,theme_leadership,3,1.0,0.6666666666666666
main,2019-12-31,14,14,sec_smart_money,11,1.0,1.0
main,2019-12-31,14,14,quality_confirmation,2,1.0,1.0
main,2019-12-31,14,14,broker_policy,2,1.0,1.0
main,2020-01-31,13,13,price_momentum,10,1.0,0.9
