sleeve,rows,avg_forward_return,median_forward_return
unassigned,23743,0.015013912069552762,0.0126738616212858
core_compounder,1920,0.011916793321590938,0.0114908247932544
future_winner,4057,0.009790395637242585,0.0092329689045924
early_scout,8378,0.007525882741505723,0.00606883385641405
