factor,rows,months,overall_spearman_ic,avg_monthly_spearman_ic,positive_ic_month_share
portfolio_future_winner_engine_score,38098,83,0.009640431753844114,0.009870391217607882,0.6024096385542169
industry_group_strength_score,38098,83,-0.007459497062272345,0.007101333819648415,0.5301204819277109
portfolio_early_scout_engine_score,38098,83,0.004888274757764357,0.00304432929719383,0.5662650602409639
oneil_leadership_score,38098,83,-0.005652776222482703,0.000710072247179792,0.5421686746987951
leader_onset_score,38098,83,-0.021722184006764938,-0.001603547080104402,0.5662650602409639
rs_acceleration_score,38098,83,-0.004833037997705033,-0.005441864670056889,0.5060240963855421
score,38098,83,0.00015708322294618669,-0.006483309942244482,0.4578313253012048
portfolio_monster_early_score,38098,83,-0.05878229358210492,-0.00743613272660308,0.5301204819277109
