factor,top_k,months,avg_top_mean_return,avg_universe_mean_return,avg_excess_return,avg_hit_rate_positive,avg_hit_rate_above_universe
portfolio_future_winner_engine_score,5,83,0.028978898537843713,0.0133624472523337,0.015616451285510013,0.6313253012048192,0.5493975903614458
portfolio_future_winner_engine_score,10,83,0.02598451510429541,0.0133624472523337,0.012622067851961708,0.5987951807228916,0.5228915662650602
portfolio_early_scout_engine_score,5,83,0.02428023924528902,0.0133624472523337,0.010917791992955318,0.6000000000000001,0.5253012048192771
portfolio_early_scout_engine_score,10,83,0.020882710898159677,0.0133624472523337,0.007520263645825977,0.5819277108433735,0.5156626506024096
leader_onset_score,10,83,0.020581700968359946,0.0133624472523337,0.007219253716026245,0.5855421686746988,0.5
portfolio_future_winner_engine_score,20,83,0.019728726249425836,0.0133624472523337,0.0063662789970921375,0.5753012048192772,0.5060240963855421
leader_onset_score,20,83,0.019722588282291915,0.0133624472523337,0.006360141029958215,0.5879518072289156,0.5018072289156627
portfolio_early_scout_engine_score,20,83,0.01843792286948765,0.0133624472523337,0.005075475617153951,0.5728915662650602,0.5042168674698795
oneil_leadership_score,10,83,0.01632628403574412,0.0133624472523337,0.002963836783410419,0.563855421686747,0.47228915662650606
score,5,83,0.016323226941763126,0.0133624472523337,0.002960779689429428,0.5807228915662651,0.4915662650602409
oneil_leadership_score,20,83,0.016085186733893343,0.0133624472523337,0.0027227394815596434,0.5650602409638554,0.46987951807228917
portfolio_monster_early_score,5,83,0.015515190040526377,0.0133624472523337,0.002152742788192677,0.5710843373493976,0.4795180722891566
industry_group_strength_score,5,83,0.015503479687903951,0.0133624472523337,0.002141032435570252,0.5590361445783132,0.4843373493975904
portfolio_monster_early_score,10,83,0.01506198189597077,0.0133624472523337,0.0016995346436370698,0.5771084337349397,0.48554216867469874
industry_group_strength_score,20,83,0.014994072543732806,0.0133624472523337,0.0016316252913991074,0.5463855421686747,0.469277108433735
industry_group_strength_score,10,83,0.014578111367000811,0.0133624472523337,0.0012156641146671126,0.5590361445783132,0.48554216867469874
leader_onset_score,5,83,0.0144062881472699,0.0133624472523337,0.0010438408949361988,0.5614457831325301,0.4819277108433735
portfolio_monster_early_score,20,83,0.014283079690594674,0.0133624472523337,0.0009206324382609743,0.572289156626506,0.49096385542168675
score,10,83,0.01300116636108108,0.0133624472523337,-0.00036128089125261913,0.5686746987951807,0.47228915662650606
score,20,83,0.012008820247354652,0.0133624472523337,-0.0013536270049790474,0.5650602409638554,0.48313253012048196
rs_acceleration_score,10,83,0.010396415724542056,0.0133624472523337,-0.0029660315277916438,0.5506024096385542,0.46987951807228917
rs_acceleration_score,20,83,0.010155356946889793,0.0133624472523337,-0.003207090305443906,0.5506024096385542,0.4765060240963855
oneil_leadership_score,5,83,0.010081724156696354,0.0133624472523337,-0.0032807230956373467,0.5397590361445783,0.43855421686746987
rs_acceleration_score,5,83,0.009923067557815437,0.0133624472523337,-0.003439379694518262,0.5349397590361445,0.455421686746988
