rebalance_date,net_return,drawdown,regime_state
2022-05-31,-0.13065050049644597,-0.2720235719840278,bear
2021-12-31,-0.09993862815631611,-0.11060362600609908,bull
2026-02-27,-0.089940089815907,-0.08994008981590695,neutral
2020-02-28,-0.0898474976312274,-0.1463771297417893,bear
2023-08-31,-0.08185738950910622,-0.1024752661261451,bull
2025-02-28,-0.06926332260130344,-0.13093204372735878,neutral
2021-02-26,-0.06869038171773671,-0.07239768927332091,neutral
2024-11-29,-0.06630073998227329,-0.06630073998227337,bull
2022-03-31,-0.06465702726414711,-0.17740623613762685,neutral
2022-11-30,-0.06015839198274819,-0.24433507284812228,neutral
