ticker,peak_market_value_usd,peak_weight,trough_market_value_usd,trough_weight,peak_to_trough_value_delta_usd
NET,70560.0,0.2701102394265635,0.0,0.0,-70560.0
DDOG,57213.65182495117,0.2190191779039909,0.0,0.0,-57213.65182495117
DXCM,27713.41616821289,0.1060895333974486,0.0,0.0,-27713.41616821289
BILL,25294.680541992188,0.09683038856882,0.0,0.0,-25294.680541992188
TSLA,18607.0400390625,0.0712294790245298,0.0,0.0,-18607.0400390625
