rebalance_date,next_rebalance_date,gross_return,cost,net_return,turnover,missing_tickers,cash_weight,rebalance_action,active_rebalance_interval_months,next_scheduled_rebalance_date,target_n,weighting_mode,portfolio_mode,raw_gross_return,position_risk_return_delta,position_risk_exit_count,position_risk_enabled,position_risk_hard_stop,equity,equity_value_usd,bench_return,benchmark_equity,benchmark_value_usd,target_stock_names
2019-05-31,2019-06-28,0.00280993612162872,0.00125,0.00155993612162872,0.25,0,0.0,initial_rebalance,1,2019-06-28,1,conviction_curve,concentrated_alpha,0.00280993612162872,0.0,0,True,-0.08,1.0015599361216287,100155.99361216287,0.08011805644118142,1.0801180564411814,108011.80564411814,1
2019-06-28,2019-07-31,-0.0003018682757954805,0.00375,-0.00405186827579548,0.75,0,0.0,rebalance,1,2019-07-31,1,conviction_curve,concentrated_alpha,-0.0003018682757954805,0.0,0,True,-0.08,0.9975017471901497,99750.17471901498,-0.0036331987329345505,1.0761937728870996,107619.37728870996,1
2019-07-31,2019-08-30,0.013665993281560707,0.00375,0.009915993281560707,0.75,0,0.0,rebalance,1,2019-08-30,1,conviction_curve,concentrated_alpha,0.013665993281560707,0.0,0,True,-0.08,1.0073929678136322,100739.29678136321,-0.01601118650035893,1.0589626336788793,105896.26336788794,1
2019-08-30,2019-09-30,0.005223496098355596,0.00375,0.0014734960983555957,0.75,0,0.0,rebalance,1,2019-09-30,1,conviction_curve,concentrated_alpha,0.005223496098355596,0.0,0,True,-0.08,1.0088773574212164,100887.73574212164,0.011691962549935209,1.0713439851336335,107134.39851336335,1
2019-09-30,2019-10-31,0.00739239086842336,0.00375,0.00364239086842336,0.75,0,0.0,rebalance,1,2019-10-31,1,conviction_curve,concentrated_alpha,0.00739239086842336,0.0,0,True,-0.08,1.0125520830952466,101255.20830952466,0.043077969560411544,1.11749530871395,111749.530871395,1
2019-10-31,2019-11-29,-0.03098649410542126,0.00375,-0.03473649410542126,0.75,0,0.0,rebalance,1,2019-11-29,1,conviction_curve,concentrated_alpha,-0.03098649410542126,0.0,0,True,-0.08,0.9773795736293766,97737.95736293765,0.01531182851795454,1.1346062052505967,113460.62052505967,1
2019-11-29,2019-12-31,0.015336046523132252,0.00375,0.011586046523132252,0.75,0,0.0,rebalance,1,2019-12-31,1,conviction_curve,concentrated_alpha,0.015336046523132252,0.0,0,True,-0.08,0.9887035388402058,98870.35388402057,0.046238282266118924,1.1870684472298638,118706.84472298638,1
2019-12-31,2020-01-31,0.007133579343283625,0.00375,0.003383579343283625,0.75,0,0.0,rebalance,1,2020-01-31,1,conviction_curve,concentrated_alpha,0.007133579343283625,0.0,0,True,-0.08,0.992048895710857,99204.8895710857,-0.0027410715656029927,1.1838146076627376,118381.46076627375,1
2020-01-31,2020-02-28,-0.04,0.00375,-0.04375,0.75,0,1.0,rebalance,1,2020-02-28,1,conviction_curve,concentrated_alpha,-0.0884539860153642,0.048453986015364194,1,True,-0.08,0.948646756523507,94864.6756523507,-0.048843923519200194,1.1259924575051468,112599.24575051467,1
2020-02-28,2020-03-31,-0.04,0.00375,-0.04375,0.75,0,1.0,rebalance,1,2020-03-31,1,conviction_curve,concentrated_alpha,-0.11177936835360536,0.07177936835360535,1,True,-0.08,0.9071434609256036,90714.34609256036,-0.20054494325665084,0.9001803640073602,90018.03640073602,1
