portfolio_kind,window_id,window_start,window_end,base_window_max_dd,governed_window_max_dd,window_mdd_delta_pp,base_window_return,governed_window_return,base_observations,governed_observations
main,covid_2020,2020-02-19,2020-05-31,-0.30713004812869393,-0.31464604695415976,-0.751599882546583,-0.08540620553545608,-0.00798233801461179,71,71
main,bear_2022,2021-11-01,2022-12-31,-0.29308938179080235,-0.30038989109556624,-0.7300509304763891,-0.2199325082428234,-0.17321451862954018,294,294
concentrated,covid_2020,2020-02-19,2020-05-31,-0.3141086498892579,-0.32685368101839996,-1.2745031129142048,-0.038212257256796556,0.1595605920202423,71,71
concentrated,bear_2022,2021-11-01,2022-12-31,-0.3816517831392313,-0.41785611243858245,-3.6204329299351135,-0.28738104367918704,-0.27338095750100044,294,294
