ticker,drawdown_pnl_usd,drawdown_contribution_return_on_start
BILL,-60995.773498535156,-0.602985174224342
DDOG,-31576.679321289062,-0.3121571936854104
BLD,-23063.669662475586,-0.2280002379183616
ORLY,-15078.208335876465,-0.14905846026557468
DXCM,-12613.980545043942,-0.12469787364526895
MA,-12456.714263916012,-0.12314318828780207
MLI,-11812.230632781986,-0.11677202431504878
XPO,-11150.320522308346,-0.11022858760800568
NTLA,-10444.351196289055,-0.1032495952511499
MRNA,-10372.441162109375,-0.10253871510321057
AMD,-9004.860061645508,-0.08901923529615596
NVDA,-8677.488927841185,-0.08578294647103334
WCC,-6250.7691650390625,-0.06179315250601324
LOPE,-3880.540023803711,-0.038361807189706464
ON,-3774.5394897460938,-0.03731391900286118
RKLB,-2889.6298484802264,-0.028565978553769023
FANG,-2711.2687835693355,-0.026802756749512116
TSLA,-2528.2033081054688,-0.02499302861122246
ONTO,-2461.3494415283203,-0.024332132157690957
DKS,-2385.2166748046893,-0.023579507394138572
STLD,-2340.967178344727,-0.023142070686611768
CTAS,-1835.2142944335933,-0.018142355569843192
NET,-1830.0766601562427,-0.0180915665213216
MSI,-878.7612304687464,-0.008687159179455598
TXRH,-792.4306182861328,-0.007833721699413189
BRKR,-730.1620330810547,-0.007218153906023554
JBL,-692.3727493286133,-0.006844580844476491
DAL,-578.5054359436035,-0.005718924133170637
RGLD,-493.45664978027344,-0.0048781583849750515
CHE,-390.1547241210974,-0.003856947798264413
PLNT,-387.24005126953125,-0.0038281342524004395
CW,-100.27735900878906,-0.0009913106650598286
LOW,-81.20640563964889,-0.0008027811739108813
DPZ,-54.12536621093773,-0.0005350664726867082
AFG,-41.199859619139716,-0.00040728894980013666
RRX,-40.2110595703125,-0.0003975139812159702
CARR,66.50184631347656,0.0006574164911038482
FDS,101.8645935058596,0.0010070015697710207
FTNT,113.38966369628906,0.001120934815603058
BWA,724.0332336425781,0.007157566508155985
ANET,1250.9399681091309,0.012366401987386748
MOS,1480.4071197509766,0.014634842609995537
PCTY,3030.2792053222656,0.029956394185468086
INTU,3294.412078857422,0.032567529312245304
CPRT,4520.450233459473,0.044687759745525454
BKR,5414.801456451416,0.053529036723945954
CHRW,6075.074081420898,0.06005628576050991
AVGO,15724.109451293945,0.15544363704542255
SQM,18150.74829864502,0.179432631105555
BLDR,18216.799697875977,0.18008559461742843
LPX,19182.596527099606,0.18963316055408652
LRCX,27363.51781463623,0.27050719435905773
ACLS,32364.850692749023,0.31994880980041607
