rebalance_date,ticker,weight,Name,sector,portfolio_sleeve_label,market_circuit_state,market_circuit_multiplier,market_circuit_source_rebalance_date,market_circuit_target_book
2019-05-31,FDS,0.35,FACTSET RESEARCH SYSTEMS INC,Financials,early_scout,caution,0.7,2019-05-31,True
2019-05-31,HEI,0.35,HEICO CORP,Industrials,future_winner,caution,0.7,2019-05-31,True
2019-06-03,FDS,0.2,FACTSET RESEARCH SYSTEMS INC,Financials,early_scout,crisis,0.4,2019-05-31,True
2019-06-03,HEI,0.2,HEICO CORP,Industrials,future_winner,crisis,0.4,2019-05-31,True
2019-06-11,FDS,0.35,FACTSET RESEARCH SYSTEMS INC,Financials,early_scout,caution,0.7,2019-05-31,True
2019-06-11,HEI,0.35,HEICO CORP,Industrials,future_winner,caution,0.7,2019-05-31,True
2019-06-12,FDS,0.5,FACTSET RESEARCH SYSTEMS INC,Financials,early_scout,normal,1.0,2019-05-31,True
2019-06-12,HEI,0.5,HEICO CORP,Industrials,future_winner,normal,1.0,2019-05-31,True
2019-06-13,FDS,0.35,FACTSET RESEARCH SYSTEMS INC,Financials,early_scout,caution,0.7,2019-05-31,True
2019-06-13,HEI,0.35,HEICO CORP,Industrials,future_winner,caution,0.7,2019-05-31,True
2019-06-14,FDS,0.5,FACTSET RESEARCH SYSTEMS INC,Financials,early_scout,normal,1.0,2019-05-31,True
2019-06-14,HEI,0.5,HEICO CORP,Industrials,future_winner,normal,1.0,2019-05-31,True
2019-06-28,HD,0.5,HOME DEPOT INC,Consumer Discretionary,core_compounder,normal,1.0,2019-06-28,True
2019-06-28,HEI,0.4999999999999999,HEICO CORP,Industrials,future_winner,normal,1.0,2019-06-28,True
2019-07-31,CTAS,0.5,CINTAS CORP,Industrials,early_scout,normal,1.0,2019-07-31,True
2019-07-31,HD,0.5,HOME DEPOT INC,Consumer Discretionary,core_compounder,normal,1.0,2019-07-31,True
2019-08-05,CTAS,0.35,CINTAS CORP,Industrials,early_scout,caution,0.7,2019-07-31,True
2019-08-05,HD,0.35,HOME DEPOT INC,Consumer Discretionary,core_compounder,caution,0.7,2019-07-31,True
2019-08-30,HD,0.35,HOME DEPOT INC,Consumer Discretionary,core_compounder,caution,0.7,2019-08-30,True
