as_of_date,account_source,approval_status,row_type,ticker,current_shares,current_price,current_value_usd,current_weight,target_weight,target_value_usd,delta_weight,delta_value_usd,suggested_action,suggested_quantity_delta,preview_trade_value_delta_usd,preview_order_count,preview_order_status,monster_recommendation,monster_stage,monster_priority_score,monster_reason,portfolio_sources,source_current,source_target,risk_state,block_reason
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,R,0.0,280.3299865722656,0.0,0.0,0.015425469636881269,16552.643446637976,0.015425469636881269,16552.643446637976,BUY,59.0,16539.469207763672,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,STLD,0.0,282.760009765625,0.0,0.0,0.015425469636881269,16552.643446637976,0.015425469636881269,16552.643446637976,BUY,58.0,16400.08056640625,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,KLAC,0.0,254.5399932861328,0.0,0.0,0.01338037275226037,14358.106726405966,0.01338037275226037,14358.106726405966,BUY,56.0,14254.239624023438,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,COHU,0.0,61.33000183105469,0.0,0.0,0.01105341265275902,11861.110411330626,0.01105341265275902,11861.110411330626,BUY,193.0,11836.690353393557,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,ON,0.0,116.79000091552734,0.0,0.0,0.010975358866977543,11777.353059618496,0.010975358866977543,11777.353059618496,BUY,97.0,11328.630088806152,1,cash_scaled,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,ETR,1797.0,111.11000061035156,199664.67109680176,0.18606824532230026,0.0,0.0,-0.18606824532230026,-199664.67109680176,SELL,-1797.0,-199664.67109680176,2,ready,,,0.0,,"concentrated,main",account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,AKAM,1313.0,133.5,175285.5,0.16334920562701638,0.0,0.0,-0.16334920562701638,-175285.5,SELL,-1313.0,-175285.5,2,ready,,,0.0,,"concentrated,main",account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,BKNG,761.0,164.94000244140625,125519.34185791016,0.11697193882731617,0.0,0.0,-0.11697193882731617,-125519.34185791016,SELL,-761.0,-125519.34185791016,2,ready,,,0.0,,"concentrated,main",account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,VRT,84.0,302.8699951171875,25441.07958984375,0.02370863614671308,0.0,0.0,-0.02370863614671308,-25441.07958984375,SELL,-84.0,-25441.07958984375,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,VZ,448.0,48.11000061035156,21553.2802734375,0.020085581587310174,0.0,0.0,-0.020085581587310174,-21553.2802734375,SELL,-448.0,-21553.2802734375,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,KO,245.0,82.62000274658205,20241.9006729126,0.018863502088314443,0.0,0.0,-0.018863502088314443,-20241.9006729126,SELL,-245.0,-20241.9006729126,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,GOOG,49.0,358.1600036621094,17549.84017944336,0.016354760959652492,0.0,0.0,-0.016354760959652492,-17549.84017944336,SELL,-49.0,-17549.84017944336,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,SLB,240.0,56.18000030517578,13483.200073242188,0.012565044006915804,0.0,0.0,-0.012565044006915804,-13483.200073242188,SELL,-240.0,-13483.200073242188,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,WDC,23.0,562.9299926757812,12947.389831542969,0.01206572046133795,0.0,0.0,-0.01206572046133795,-12947.389831542969,SELL,-23.0,-12947.389831542969,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,LNG,47.0,241.27999877929685,11340.159942626951,0.010567936984584714,0.0,0.0,-0.010567936984584714,-11340.159942626951,SELL,-47.0,-11340.159942626951,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,FTI,146.0,70.79000091552734,10335.340133666992,0.009631541688956156,0.0,0.0,-0.009631541688956156,-10335.340133666992,SELL,-146.0,-10335.340133666992,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,LITE,11.0,921.5599975585938,10137.159973144531,0.00944685686452756,0.0,0.0,-0.00944685686452756,-10137.159973144531,SELL,-11.0,-10137.159973144531,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,SU,122.0,61.599998474121094,7515.199813842773,0.007003442496495821,0.0,0.0,-0.007003442496495821,-7515.199813842773,SELL,-122.0,-7515.199813842773,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,DUK,56.0,124.97000122070312,6998.320068359375,0.006521760350343359,0.0,0.0,-0.006521760350343359,-6998.320068359375,SELL,-56.0,-6998.320068359375,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
