portfolio_kind,week_end_date,target_week_end_date,rebalance_date,period_end_date,weekly_return,period_return_since_rebalance,equity,cash_weight,stock_weight,selected_names,missing_price_count,spy_period_return_since_rebalance,qqq_period_return_since_rebalance
concentrated,2019-05-03,2019-05-03,2019-04-30,2019-05-31,57.56135874719473,57.56135874719473,58.56135874719473,0.0,58.499999999999986,10,0,-0.002340893590852877,0.0017298555892981682
concentrated,2019-05-10,2019-05-10,2019-04-30,2019-05-31,0.0007446224109910471,57.604964847335985,58.60496484733598,0.0,58.499999999999986,10,0,-0.022461800906234175,-0.03029651027345992
concentrated,2019-05-17,2019-05-17,2019-04-30,2019-05-31,-0.004441769616959523,57.34465509507411,58.3446550950741,0.0,58.499999999999986,10,0,-0.030129990113164862,-0.04057004798737296
concentrated,2019-05-24,2019-05-24,2019-04-30,2019-05-31,-0.004872186049770688,57.060389080441205,58.0603890804412,0.0,58.499999999999986,10,0,-0.04051286841934587,-0.06614952901190951
concentrated,2019-05-31,2019-05-31,2019-04-30,2019-05-31,-0.010033383649795558,56.47784692194074,57.47784692194073,0.0,58.499999999999986,10,0,-0.06599470335277269,-0.08821674156376891
concentrated,2019-06-07,2019-06-07,2019-05-31,2019-06-28,62.11110865588358,62.11110865588358,3627.490642396845,1.0,59.198995030486266,13,0,0.04482189160589245,0.04357827653057211
concentrated,2019-06-14,2019-06-14,2019-05-31,2019-06-28,-0.0018622290220983162,61.99358131772779,3620.7354240451837,1.0,59.198995030486266,13,0,0.050669981941939835,0.052801448923928795
concentrated,2019-06-21,2019-06-21,2019-05-31,2019-06-28,0.01802599137221539,63.1291030710661,3686.0027695600966,1.0,59.198995030486266,13,0,0.07308064769422162,0.08698400722354394
concentrated,2019-06-28,2019-06-28,2019-05-31,2019-06-28,-0.025073448455963154,61.52116531068658,3593.581969108994,1.0,59.198995030486266,13,0,0.06943072858577937,0.07881512687427517
concentrated,2019-07-05,2019-07-05,2019-06-28,2019-07-31,59.75485061180015,59.75485061180015,218327.53569447558,1.0,58.898155431554216,14,0,0.0060002277322428466,0.0038356818730347353
concentrated,2019-07-12,2019-07-12,2019-06-28,2019-07-31,0.020214138215486344,60.9829575593283,222740.83867725023,1.0,58.898155431554216,14,0,0.013381457968244748,0.016866267191165463
concentrated,2019-07-19,2019-07-19,2019-06-28,2019-07-31,-0.022610589898489186,59.581486325258865,217704.5369202734,1.0,58.898155431554216,14,0,0.0016516699597304285,0.003625241654437339
concentrated,2019-07-26,2019-07-26,2019-06-28,2019-07-31,0.00915990747678097,60.13640713480411,219698.69033573853,1.0,58.898155431554216,14,0,0.01796546603093807,0.026113857503840654
concentrated,2019-07-31,2019-07-31,2019-06-28,2019-07-31,-0.027542873075016572,58.45253483282766,213647.5571930739,1.0,58.898155431554216,14,0,0.0025280177579329877,0.004098502408051319
concentrated,2019-08-02,2019-08-02,2019-07-31,2019-08-30,58.23369193409063,58.23369193409063,12655133.585245548,0.0,59.99999999999999,17,0,-0.016733575346637997,-0.021312727018999444
concentrated,2019-08-09,2019-08-09,2019-07-31,2019-08-30,0.009769260568624816,58.812361305036404,12778764.882770566,0.0,59.99999999999999,17,0,-0.02009366397399781,-0.025805600468306045
concentrated,2019-08-16,2019-08-16,2019-07-31,2019-08-30,-0.013717332551894335,57.99189525430116,12603474.315271134,0.0,59.99999999999999,17,0,-0.029401566002487445,-0.031081616294835857
