rebalance_date,equity,equity_value_usd,benchmark_equity,benchmark_value_usd,net_return,bench_return,drawdown_before_month,drawdown_after_month,equity_peak,drawdown_circuit_breaker_active,drawdown_circuit_breaker_event,drawdown_circuit_breaker_cash_target,dd_breaker_level,dd_trigger_equity,dd_breaker_multilevel_active,vol_target_active,vol_cash_floor_p6c,recent_returns_len,raw_gross_return,position_risk_return_delta,position_risk_exit_count,position_risk_enabled,position_risk_hard_stop,position_risk_trailing_stop,cash_weight,cash_weight_start,cash_weight_end,stock_weight_start,stock_weight_end
2019-04-30,0.9751249831839429,97512.4983183943,0.9386810683613055,93868.10683613055,-0.02487501681605705,-0.06131893163869451,0.0,-0.024875016816057083,1.0,False,,0.0,0,1.0,1,0,0.0,1,-0.03641420178536268,0.014039184969305625,6,True,-0.08,-0.15,0.26205956932751084,0.0,0.26205956932751084,0.9999999999999999,0.7379404306724892
2019-05-31,1.017067187590865,101706.7187590865,1.0138863711765451,101388.6371176545,0.04301213191151547,0.08011805644118142,-0.024875016816057083,0.0,1.017067187590865,False,,0.0,0,1.0,1,0,0.0,2,0.045161517310141536,0.0,1,True,-0.08,-0.15,0.30397190510498584,0.28,0.30397190510498584,0.72,0.6960280948950142
2019-06-28,1.029260912631514,102926.0912631514,1.0102027204974469,101020.27204974469,0.011989104740987853,-0.0036331987329345505,0.0,0.0,1.029260912631514,False,,0.0,0,1.0,1,0,0.0,3,0.0147039560661592,0.0,1,True,-0.08,-0.15,0.039016207010258444,0.0,0.039016207010258444,0.9999999999999999,0.9609837929897417
2019-07-31,1.0391993562287107,103919.93562287107,0.9940281763363923,99402.81763363924,0.009655903061340504,-0.01601118650035893,0.0,0.0,1.0391993562287107,False,,0.0,0,1.0,1,0,0.0,4,0.006923102957079075,0.004379074492557354,2,True,-0.08,-0.15,0.05701330264120941,0.0,0.05701330264120941,1.0,0.9429866973587906
2019-08-30,1.033622681946441,103362.26819464409,1.0056503165476978,100565.03165476977,-0.005366318068659812,0.011691962549935209,0.0,-0.0053663180686598574,1.0391993562287107,False,,0.0,0,1.0,1,0,0.0,5,-0.012373052502206022,0.009198165601363962,2,True,-0.08,-0.15,0.08938194755623893,0.0,0.08938194755623893,1.0,0.910618052443761
2019-09-30,1.04642376939889,104642.376939889,1.0489716902723578,104897.16902723578,0.01238468125364956,0.043077969560411544,-0.0053663180686598574,0.0,1.04642376939889,False,,0.0,0,1.0,1,0,0.0,6,0.014017561817117911,0.0,0,True,-0.08,-0.15,0.0,0.0,0.0,1.0,1.0
2019-10-31,1.0495132729325036,104951.32729325036,1.0650333649139971,106503.3364913997,0.002952440133683391,0.01531182851795454,0.0,0.0,1.0495132729325036,False,,0.0,0,1.0,1,0,0.0,7,0.005702440133683391,0.0,1,True,-0.08,-0.15,0.0298662093752076,0.0,0.0298662093752076,1.0,0.9701337906247923
2019-11-29,1.0783235961860191,107832.35961860191,1.114278678263725,111427.8678263725,0.027451128057689924,0.046238282266118924,0.0,0.0,1.0783235961860191,False,,0.0,0,1.0,1,0,0.0,8,0.03022354274796482,0.0,2,True,-0.08,-0.15,0.036691920186720024,0.0,0.036691920186720024,1.0,0.9633080798132799
2019-12-31,1.1310903796905734,113109.03796905733,1.1112243606625787,111122.43606625787,0.04893408962874222,-0.0027410715656029927,0.0,0.0,1.1310903796905734,False,,0.0,0,1.0,1,0,0.0,9,0.0504609863514891,0.0,0,True,-0.08,-0.15,0.0,0.0,0.0,1.0,1.0
2020-01-31,1.0915753734550395,109157.53734550395,1.0569478029777035,105694.78029777035,-0.03493532165514823,-0.048843923519200194,0.0,-0.034935321655148156,1.1310903796905734,False,,0.0,0,1.0,1,0,0.0,10,-0.046305560920429374,0.01347568469121288,6,True,-0.08,-0.15,0.278451389525393,0.0,0.278451389525393,1.0,0.721548610474607
