portfolio_kind,window_id,window_start,window_end,base_window_max_dd,governed_window_max_dd,window_mdd_delta_pp,base_window_return,governed_window_return,base_observations,governed_observations
main,covid_2020,2020-02-19,2020-05-31,-0.32685910165523513,-0.3779773307119252,-5.111822905669006,-0.08296671532701716,-0.10410497073438485,71,71
main,bear_2022,2021-11-01,2022-12-31,-0.29380368424227665,-0.28518597565318415,0.8617708589092499,-0.22028597132929184,-0.21277310369469915,294,294
concentrated,covid_2020,2020-02-19,2020-05-31,-0.3139676657761935,-0.4404695248314072,-12.650185905521372,-0.038359679468257135,-0.11206198871407269,71,71
concentrated,bear_2022,2021-11-01,2022-12-31,-0.3817565600455427,-0.40333490179877385,-2.1578341753231145,-0.2875405977024501,-0.29433213347863585,294,294
