variant_id,status,portfolio_kind,trigger_mode,caution_multiplier,crisis_multiplier,cagr,max_dd,sharpe,trade_count,avg_cash_weight,total_fees_usd,target_distance,reason,valid_for_production
ma50_200_caution_0p90_crisis_0p70,completed,concentrated,ma50_200,0.9,0.7,0.1559606001053382,-0.15646380766922252,0.8425783682358882,648,0.3859358842085857,46489.26651374579,0.3440393998946618,,True
trend60_caution_0p90_crisis_0p70,completed,concentrated,trend60,0.9,0.7,0.14753354666934548,-0.1551527469287849,0.7989247448336477,586,0.39136647185217194,42780.5605531621,0.3524664533306545,,True
ma50_caution_0p90_crisis_0p70,completed,concentrated,ma50,0.9,0.7,0.14591411472161342,-0.15077037062384213,0.7946771077996654,557,0.39325384972629956,40947.37766372681,0.3540858852783866,,True
ma50_200_caution_0p80_crisis_0p50,completed,concentrated,ma50_200,0.8,0.5,0.14454997435528294,-0.16208108802774268,0.8232780419925065,650,0.4223841607142267,49548.76181319475,0.35545002564471706,,True
ma50_200_caution_0p70_crisis_0p40,completed,concentrated,ma50_200,0.7,0.4,0.13519721723548117,-0.16795667042283702,0.7935966421389438,648,0.44807080410526146,50210.81253320694,0.36480278276451883,,True
trend60_caution_0p80_crisis_0p50,completed,concentrated,trend60,0.8,0.5,0.13241211494718663,-0.1552800272921706,0.7515280420591789,586,0.428375982229221,43363.23824976683,0.36758788505281337,,True
ma50_caution_0p80_crisis_0p50,completed,concentrated,ma50,0.8,0.5,0.12811391367804315,-0.14802346721682813,0.7326261854286247,557,0.43235076477205125,40787.045392131804,0.37188608632195685,,True
trend60_caution_0p70_crisis_0p40,completed,concentrated,trend60,0.7,0.4,0.12439992977590286,-0.16118581323665104,0.7207862593002164,587,0.44878559794778256,42982.10942806005,0.37560007022409714,,True
ma50_200_caution_0p60_crisis_0p25,completed,concentrated,ma50_200,0.6,0.25,0.12473466009300127,-0.1826084473958619,0.7538699666793489,648,0.4790594471514634,51884.31992850781,0.37787378730286064,,True
ma50_caution_0p70_crisis_0p40,completed,concentrated,ma50,0.7,0.4,0.11705718893624217,-0.15617833888986443,0.6840278175047713,557,0.4563174279573604,40497.80320344209,0.3829428110637578,,True
trend60_caution_0p60_crisis_0p25,completed,concentrated,trend60,0.6,0.25,0.11275694049555329,-0.18106985987138213,0.6656616397277818,587,0.47777907150124893,42971.25257998705,0.38831291937582885,,True
ma50_caution_0p60_crisis_0p25,completed,concentrated,ma50,0.6,0.25,0.10267820075642953,-0.17066713233968034,0.6093863291155378,557,0.48794622055757214,40254.17043361902,0.3973217992435705,,True
