portfolio_kind,ticker,current_weight,watchlist_source,target_weight,forward_pe_final,valuation_blueprint_score,fcf_margin,sales_growth_yoy,eps_growth_yoy,market_cap_live,dollar_vol_20d,score,rs_benchmark_3m,rs_benchmark_6m,price_available,price_latest_date,close,ret_1m,ret_3m,ret_6m,spy_excess_3m,qqq_excess_3m,price_to_ma50,price_to_ma200,drawdown_from_63d_high,decision_cadence,weekly_review_action,weekly_review_reason,full_universe_rerank_today
concentrated,BE,0.2400343749611238,current_holding,,12268.852,-3.419527030478461,,0.3886654169505354,2.095853821982949,98450286595.04784,2908132213.9104643,3.822283344155031,1.1570738533096492,3.384966047028554,True,2026-06-22,346.114990234375,0.22601039009445079,1.3055888721831415,3.496751783099598,1.1545051619069666,1.0366300303127196,1.3058976794131907,2.22518343604297,0.0,weekly_holdings_watchlist_refresh,HOLD_REVIEW,weekly hold refresh,False
main,SNDK,0.1690139145866768,current_holding,,65.0616,-1.2040103184770183,,,,338863424055.9619,18419130327.44983,3.275611892438122,2.0756609257025183,9.951551111635649,True,2026-06-22,2288.22998046875,0.6431822572733237,2.2241759445760105,10.063336847706692,2.0730922342998355,1.9552171027055887,1.6017412846365888,3.6644749310295124,0.0,weekly_holdings_watchlist_refresh,HOLD_REVIEW,weekly hold refresh,False
main,WDC,0.1430801501154534,current_holding,,29.8004,-0.6167702827384189,,0.0,,261839514322.9143,4730182317.91258,7.330939986796451,1.4439552663793322,3.460671704089485,True,2026-06-22,759.655029296875,0.653220297243085,1.5924702852528245,3.5724574401605294,1.4413865749766497,1.3235114433824027,1.5556332518841764,2.820550726462031,0.0,weekly_holdings_watchlist_refresh,HOLD_REVIEW,weekly hold refresh,False
main,MRVL,0.1178191441277806,current_holding,,101.805,-1.342247199882948,,0.4208728521145077,-4.083649025385388,269210943457.03125,19497235850.03868,6.06951260483682,2.3538626866907824,2.6595190559878423,True,2026-06-22,307.739990234375,0.6474303276596178,2.5023777055642746,2.7713047920588867,2.3512939952881,2.233418863693853,1.5257448510825882,2.6941610616759366,-0.02746263831668494,weekly_holdings_watchlist_refresh,HOLD_REVIEW,weekly hold refresh,False
main,STM,0.1122138101317564,current_holding,,223.8023,-1.0989487799553124,,-0.0753075777760363,,69672566784.0,1016135538.8458996,3.560844744541626,1.454477481095826,2.0321811115629176,True,2026-06-22,80.0999984741211,0.23363619432689364,1.6029924999693184,2.143966847633962,1.4519087896931435,1.3340336580988965,1.3039401196583094,2.1821887374234974,0.0,weekly_holdings_watchlist_refresh,HOLD_REVIEW,weekly hold refresh,False
main,CIEN,0.0561364265876464,current_holding,,150.5651,-0.9901771468620136,,0.1879353566851933,,62066709882.134094,1730977865.3160858,1.5349974045941956,-0.006338915068736,1.038631205301229,True,2026-06-22,438.4700012207031,-0.20962219067313825,0.1421761038047562,1.1504169413722733,-0.008907606471418639,-0.12678273806566565,0.8428578655522048,1.406443915734098,-0.3006858034757526,weekly_holdings_watchlist_refresh,HOLD_REVIEW,weekly hold refresh,False
main,ON,0.0530160128841936,current_holding,,79.781,-0.5827499688082618,,-0.153467094023128,-0.917983804693278,51300125309.91275,1437964161.317163,5.088870924663613,1.060394829322023,1.3427424732315805,True,2026-06-22,130.89999389648438,0.187732465147318,1.208909848195515,1.4545282093026248,1.05782613791934,0.9399510063250931,1.225120820180486,1.8992221599261923,-0.02262375080264445,weekly_holdings_watchlist_refresh,HOLD_REVIEW,weekly hold refresh,False
main,MU,0.0497140511721474,current_holding,,45.9124,-0.9669400629973524,,0.0,0.0,1339477407428.7878,51624578114.84686,6.713813253456322,1.66127215053333,4.159316556279316,True,2026-06-22,1187.760009765625,0.6226451530919399,1.8097871694068224,4.271102292350361,1.6587034591306475,1.5408283275364005,1.58765083396173,2.925748322395733,0.0,weekly_holdings_watchlist_refresh,HOLD_REVIEW,weekly hold refresh,False
main,LITE,0.0403859448937636,current_holding,,162.9856,-1.6485585953634825,,0.0,0.0,65444582189.94141,5169822191.559466,4.6711567963772,0.0423818899054952,1.514880938219061,True,2026-06-22,841.1900024414062,-0.030965250101969044,0.19089690877898757,1.6266666742901053,0.03981319850281273,-0.07806193309143428,0.9299940149849069,1.630246197407808,-0.2012173415913665,weekly_holdings_watchlist_refresh,HOLD_REVIEW,weekly hold refresh,False
main,PWR,0.0368331322817775,current_holding,,96.134,-1.166047561478467,,0.2030559551586537,0.1221205539225891,106901351744.25671,771800696.5965515,3.503867288923955,0.1344211619708795,0.6087108374326287,True,2026-06-22,712.3900146484375,0.003465161351169588,0.2829361808443718,0.720496573503673,0.13185247056819693,0.013977338973949927,1.0260036186486987,1.3567584693490116,-0.09277415375163656,weekly_holdings_watchlist_refresh,HOLD_REVIEW,weekly hold refresh,False
