rebalance_date,regime_label,rebalance_action,reported_cash_weight,book_explicit_cash_weight,book_stock_weight_sum,book_total_weight_sum,reported_vs_book_cash_gap,cash_target_used,target_defense_cash,excess_cash_over_target,possible_idle_cash,drawdown_or_risk_defense,confirmed_macro_defense,event_shock_without_confirmation,partial_rebalance,stock_count,target_n,drawdown_before_month,drawdown_after_month,next_rebalance_date,primary_cash_reason
2017-05-31,balanced,initial_rebalance,0.1104593481537054,0.0,0.9999999999999998,0.9999999999999998,0.1104593481537054,0.0,0.0,0.1104593481537054,True,False,False,False,False,17,18.0,0.0,-0.0013212354297433,2017-06-30,cash_export_mismatch
2017-06-30,balanced,"partial_rebalance:core_compounder,early_scout",0.0952409776584135,0.0,0.9999999999999989,0.9999999999999989,0.0952409776584135,0.0,0.0,0.0952409776584135,True,False,False,False,True,17,18.0,-0.0013212354297433,0.0,2017-07-31,cash_export_mismatch
2017-07-31,balanced,rebalance,0.1463385107130397,0.0,0.9999999999999993,0.9999999999999993,0.1463385107130397,0.0,0.0,0.1463385107130397,True,False,False,False,False,21,21.0,0.0,0.0,2017-08-31,cash_export_mismatch
2017-08-31,balanced,"partial_rebalance:core_compounder,early_scout",0.0504181176646633,0.0,0.9999999999999993,0.9999999999999993,0.0504181176646633,0.0,0.0,0.0504181176646633,True,False,False,False,True,17,18.0,0.0,0.0,2017-09-29,cash_export_mismatch
2017-09-29,balanced,rebalance,0.0455443473262631,0.0,0.9999999999999996,0.9999999999999996,0.0455443473262631,0.0,0.0,0.0455443473262631,True,False,False,False,False,17,18.0,0.0,0.0,2017-10-31,cash_export_mismatch
2017-10-31,balanced,"partial_rebalance:core_compounder,early_scout",0.1065342727388857,0.0,0.9999999999999996,0.9999999999999996,0.1065342727388857,0.0,0.0,0.1065342727388857,True,False,False,False,True,18,18.0,0.0,0.0,2017-11-30,cash_export_mismatch
2017-11-30,balanced,rebalance,0.126050051548877,0.0,0.9999999999999984,0.9999999999999984,0.126050051548877,0.0,0.0,0.126050051548877,True,False,False,False,False,27,18.0,0.0,-0.0058124351288001,2017-12-29,cash_export_mismatch
2017-12-29,balanced,"partial_rebalance:core_compounder,early_scout",0.1371338685568872,0.0,0.9999999999999993,0.9999999999999993,0.1371338685568872,0.0,0.0,0.1371338685568872,True,False,False,False,True,18,18.0,-0.0058124351288001,0.0,2018-01-31,cash_export_mismatch
2018-01-31,growth_reentry_alert,rebalance,0.0560287385849066,0.0,0.9999999999999994,0.9999999999999994,0.0560287385849066,0.0,0.0,0.0560287385849066,True,False,False,False,False,19,20.0,0.0,-0.0075316570468619,2018-02-28,cash_export_mismatch
2018-02-28,balanced,"partial_rebalance:core_compounder,early_scout",0.2610109544313275,0.0,0.9999999999999988,0.9999999999999988,0.2610109544313275,0.0,0.0,0.2610109544313275,True,False,False,False,True,27,18.0,-0.0075316570468619,-0.0381606875232039,2018-03-29,cash_export_mismatch
2018-03-29,balanced,rebalance,0.10774443861476,0.0,0.999999999999999,0.999999999999999,0.10774443861476,0.0,0.0,0.10774443861476,True,False,False,False,False,28,18.0,-0.0381606875232039,-0.0476312255655899,2018-04-30,cash_export_mismatch
2018-04-30,balanced,"partial_rebalance:core_compounder,early_scout",0.0,0.0,0.9999999999999996,0.9999999999999996,0.0,0.0,0.0,0.0,False,False,False,False,True,18,18.0,-0.0476312255655899,0.0,2018-05-31,no_cash
2018-05-31,balanced,rebalance,0.0520329923693793,0.0,0.9999999999999996,0.9999999999999996,0.0520329923693793,0.0,0.0,0.0520329923693793,True,False,False,False,False,18,18.0,0.0,-0.023120297792276,2018-06-29,cash_export_mismatch
2018-06-29,balanced,"partial_rebalance:core_compounder,early_scout",0.1662621678671973,0.0,0.9999999999999993,0.9999999999999993,0.1662621678671973,0.0,0.0,0.1662621678671973,True,False,False,False,True,17,18.0,-0.023120297792276,0.0,2018-07-31,cash_export_mismatch
2018-07-31,balanced,rebalance,0.0442624859900631,0.0,0.9999999999999993,0.9999999999999993,0.0442624859900631,0.0,0.0,0.0442624859900631,True,False,False,False,False,17,18.0,0.0,0.0,2018-08-31,cash_export_mismatch
2018-08-31,balanced,"partial_rebalance:core_compounder,early_scout",0.1765935376198613,0.0,0.9999999999999993,0.9999999999999993,0.1765935376198613,0.0,0.0,0.1765935376198613,True,False,False,False,True,17,18.0,0.0,0.0,2018-09-28,cash_export_mismatch
2018-09-28,balanced,rebalance,0.5895439224263651,0.0,0.9999999999999994,0.9999999999999994,0.5895439224263651,0.0,0.0,0.5895439224263651,True,False,False,False,False,18,18.0,0.0,-0.0597908192706501,2018-10-31,cash_export_mismatch
2018-10-31,balanced,"partial_rebalance:core_compounder,early_scout",0.1157140503391983,0.0,0.999999999999999,0.999999999999999,0.1157140503391983,0.0,0.0,0.1157140503391983,True,False,False,False,True,20,18.0,-0.0597908192706501,-0.0396549672336322,2018-11-30,cash_export_mismatch
2018-11-30,balanced,rebalance,0.7831802363769387,0.0,0.9999999999999987,0.9999999999999987,0.7831802363769387,0.0,0.0,0.7831802363769387,True,False,False,False,False,27,18.0,-0.0396549672336322,-0.1110203588365462,2018-12-31,cash_export_mismatch
2018-12-31,balanced,circuit_breaker_rebalance,0.0611696664564708,0.0647606584555866,0.9352393415444125,0.9999999999999991,-0.003590991999115792,0.0,0.0,0.0611696664564708,True,False,False,False,False,22,18.0,-0.1110203588365462,-0.0621660941920061,2019-01-31,idle_cash_candidate
2019-01-31,balanced,circuit_breaker_release,0.0,0.0,0.9999999999999984,0.9999999999999984,0.0,0.0,0.0,0.0,False,False,False,False,False,31,18.0,-0.0621660941920061,-0.0083826553364429,2019-02-28,no_cash
2019-02-28,balanced,"partial_rebalance:core_compounder,early_scout",0.0806148597169269,0.0,0.9999999999999986,0.9999999999999986,0.0806148597169269,0.0,0.0,0.0806148597169269,True,False,False,False,True,39,18.0,-0.0083826553364429,0.0,2019-03-29,cash_export_mismatch
2019-03-29,balanced,rebalance,0.0,0.0,0.9999999999999987,0.9999999999999987,0.0,0.0,0.0,0.0,False,False,False,False,False,44,18.0,0.0,0.0,2019-04-30,no_cash
2019-04-30,balanced,"partial_rebalance:core_compounder,early_scout",0.1928835394156724,0.0,0.9999999999999983,0.9999999999999983,0.1928835394156724,0.0,0.0,0.1928835394156724,True,False,False,False,True,43,18.0,0.0,-0.0176138309343117,2019-05-31,cash_export_mismatch
2019-05-31,risk_off_alert,rebalance,0.3180207813956816,0.2799999999999999,0.7199999999999993,0.9999999999999992,0.03802078139568166,0.28,0.28,0.03802078139568155,False,True,True,False,False,18,18.0,-0.0176138309343117,0.0,2019-06-28,confirmed_macro_defense_cash
2019-06-28,balanced,"partial_rebalance:core_compounder,early_scout",0.1784683362046688,0.0,0.9999999999999992,0.9999999999999992,0.1784683362046688,0.0,0.0,0.1784683362046688,True,False,False,False,True,18,18.0,0.0,0.0,2019-07-31,cash_export_mismatch
2019-07-31,balanced,rebalance,0.0735779694751151,0.0,0.9999999999999993,0.9999999999999993,0.0735779694751151,0.0,0.0,0.0735779694751151,True,False,False,False,False,18,18.0,0.0,0.0,2019-08-30,cash_export_mismatch
2019-08-30,balanced,"partial_rebalance:core_compounder,early_scout",0.165883820286749,0.0,0.9999999999999996,0.9999999999999996,0.165883820286749,0.0,0.0,0.165883820286749,True,False,False,False,True,18,18.0,0.0,-0.0071626734232444,2019-09-30,cash_export_mismatch
2019-09-30,balanced,rebalance,0.0,0.0,0.9999999999999989,0.9999999999999989,0.0,0.0,0.0,0.0,False,False,False,False,False,24,18.0,-0.0071626734232444,0.0,2019-10-31,no_cash
2019-10-31,growth_reentry_alert,"partial_rebalance:core_compounder,early_scout",0.0899510679096527,0.0,0.9999999999999983,0.9999999999999983,0.0899510679096527,0.0,0.0,0.0899510679096527,True,False,False,False,True,35,20.0,0.0,0.0,2019-11-29,cash_export_mismatch
2019-11-29,balanced,rebalance,0.0350444303812911,0.0,0.9999999999999982,0.9999999999999982,0.0350444303812911,0.0,0.0,0.0350444303812911,True,False,False,False,False,41,20.0,0.0,0.0,2019-12-31,cash_export_mismatch
2019-12-31,balanced,"partial_rebalance:core_compounder,early_scout",0.0678251126090711,0.0,0.9999999999999993,0.9999999999999993,0.0678251126090711,0.0,0.0,0.0678251126090711,True,False,False,False,True,18,18.0,0.0,0.0,2020-01-31,cash_export_mismatch
2020-01-31,balanced,rebalance,0.2522617389679172,0.0,0.9999999999999994,0.9999999999999994,0.2522617389679172,0.0,0.0,0.2522617389679172,True,False,False,False,False,18,18.0,0.0,-0.0187367825754143,2020-02-28,cash_export_mismatch
2020-02-28,risk_off_alert,"partial_rebalance:core_compounder,early_scout",0.8393656255293279,0.28,0.7199999999999994,0.9999999999999994,0.5593656255293279,0.28,0.28,0.5593656255293279,False,True,True,False,True,18,18.0,-0.0187367825754143,-0.0750132084304042,2020-03-31,cash_export_mismatch
