row_type,ticker,projected_shares,reference_price,projected_market_value_usd,projected_weight
equity,GOOG,107.0,399.0400085449219,42697.28091430664,0.11945223960424985
equity,GEV,40.0,1062.5699462890625,42502.7978515625,0.11890814319079189
equity,LRCX,76.0,295.44000244140625,22453.440185546875,0.06281696772135524
equity,VRT,60.0,369.989990234375,22199.3994140625,0.06210624941670479
equity,MRVL,124.0,177.9499969482422,22065.79962158203,0.061732483357585376
equity,WDC,42.0,494.0899963378906,20751.779846191406,0.05805631003475231
equity,FTI,270.0,72.68000030517578,19623.60008239746,0.054900052854538646
equity,UMC,1231.0,15.920000076293945,19597.520093917847,0.05482709005770398
equity,CBOE,53.0,366.70001220703125,19435.100646972656,0.0543726965629092
equity,NXPI,65.0,298.4100036621094,19396.65023803711,0.054265125603759165
equity,FIX,9.0,2034.6300048828125,18311.670043945312,0.051229725893631665
equity,STM,226.0,63.38999938964844,14326.139862060547,0.04007958949052063
equity,PR,707.0,20.239999771118164,14309.679838180542,0.040033540030828985
equity,HPE,446.0,32.06999969482422,14303.219863891602,0.040015467254762786
equity,TKR,123.0,115.73999786376953,14236.019737243652,0.039827464518806435
equity,MLI,102.0,139.5500030517578,14234.100311279297,0.03982209462814157
equity,ON,123.0,115.70999908447266,14232.329887390137,0.039817141593801196
cash,CASH,0.0,1.0,2765.751888401697,0.007737618185156299
