ticker,shares,price,price_date,market_value_usd,cost_basis,current_weight
AMD,29.0,449.5799865722656,2026-05-14,13037.819610595703,449.5799865722656,0.03963165093090744
CBOE,57.0,364.8699951171875,2026-05-14,20797.589721679688,364.8699951171875,0.06321937568333773
FIX,10.0,2043.239990234375,2026-05-14,20432.39990234375,2043.239990234375,0.06210929164507715
FTI,289.0,72.94000244140625,2026-05-14,21079.660705566406,69.38573051901425,0.06407679963189819
GOOG,132.0,397.239990234375,2026-05-14,52435.6787109375,397.239990234375,0.1593911081043205
HPE,393.0,33.53499984741211,2026-05-14,13179.254940032959,33.53499984741211,0.040061578309331956
LRCX,73.0,300.489990234375,2026-05-14,21935.769287109375,124.12329072952271,0.06667915167204234
MLI,94.0,140.1300048828125,2026-05-14,13172.220458984375,140.1300048828125,0.04004019527860104
MRVL,119.0,184.6132049560547,2026-05-14,21968.971389770508,184.6132049560547,0.06678007760767724
NXPI,44.0,293.8612060546875,2026-05-14,12929.89306640625,293.8612060546875,0.039303581725070334
ON,110.0,118.91999816894531,2026-05-14,13081.199798583984,118.91999816894531,0.03976351565361548
PR,650.0,20.270000457763672,2026-05-14,13175.500297546387,19.15477236527663,0.04005016515246658
PWR,27.0,775.489990234375,2026-05-14,20938.229736328125,775.489990234375,0.06364688550736802
STM,203.0,64.78820037841797,2026-05-14,13152.004676818848,64.78820037841797,0.03997874444970413
TKR,112.0,117.0,2026-05-14,13104.0,117.0,0.039832822458791675
UMC,1214.0,17.299999237060547,2026-05-14,21002.199073791504,17.299999237060547,0.06384133600049877
VRT,59.0,373.9800109863281,2026-05-14,22064.82064819336,304.9936161364539,0.06707143494082468
