ticker,target_weight,Name,sector,portfolio_sleeve_label
GEV,0.14,GE VERNOVA INC,Industrials,core_compounder
GOOGL,0.14,ALPHABET INC CLASS A,Communication,core_compounder
ARM,0.0567942243103047,Arm Holdings,Information Technology,future_winner
MRVL,0.0567942243103047,MARVELL TECHNOLOGY INC,Information Technology,future_winner
FIX,0.0567942243103047,COMFORT SYSTEMS USA INC,Industrials,core_compounder
VRT,0.0567942243103047,VERTIV HOLDINGS CLASS A,Industrials,core_compounder
RKLB,0.0544754273933545,ROCKET LAB CORP,Industrials,future_winner
UMC,0.0530745669585512,United Microelectronics,Semiconductors,future_winner
FTI,0.0528097499965903,TECHNIPFMC PLC,Energy,future_winner
CBOE,0.0524633584102847,CBOE GLOBAL MARKETS INC,Financials,future_winner
HPE,0.04,HEWLETT PACKARD ENTERPRISE,Information Technology,early_scout
MLI,0.04,MUELLER INDUSTRIES INC,Industrials,future_winner
NXPI,0.04,NXP Semiconductors,Semiconductors,future_winner
PR,0.04,PERMIAN RESOURCES CORP CLASS A,Energy,early_scout
ON,0.04,ON SEMICONDUCTOR CORP,Information Technology,early_scout
TKR,0.04,TIMKEN,Industrials,early_scout
STM,0.04,STMicroelectronics,Semiconductors,future_winner
