row_type,ticker,projected_shares,reference_price,projected_market_value_usd,projected_weight
equity,SNDK,47.0,1963.5999755859375,92289.19885253906,0.12248094617758934
equity,WDC,124.0,670.75,83173.0,0.11038244846729829
equity,STM,1107.0,72.43000030517578,80180.01033782959,0.10641032377361546
equity,CIEN,151.0,459.8500061035156,69437.35092163086,0.09215328062968302
equity,MRVL,231.0,279.0400085449219,64458.24197387695,0.08554529201753114
equity,LITE,57.0,827.9199829101562,47191.439025878906,0.06262977873073867
equity,ON,364.0,117.05999755859375,42609.839111328125,0.056549341371671676
equity,PWR,56.0,702.2899780273438,39328.23876953125,0.05219418909126022
equity,FIX,15.0,1908.0699462890625,28621.049194335938,0.03798421949158737
equity,MU,23.0,1051.77001953125,24190.71044921875,0.03210452730511371
equity,COHR,49.0,381.2200012207031,18679.780059814453,0.024790735693469457
equity,TER,24.0,420.1199951171875,10082.8798828125,0.013381421483732815
equity,KEYS,24.0,352.5799865722656,8461.919677734375,0.011230175811404326
cash,CASH,0.0,1.0,144794.7570702563,0.19216331995530453
