portfolio,candidate_id,source,valid_for_production,metrics_valid,invalid_reason,target_pass,cagr,cagr_target,cagr_gap_pp,max_dd,max_dd_target,max_dd_gap_pp,sharpe,avg_turnover_monthly,governance_action,distance_to_target_pp,rank_score,notes,params
main,main_rebalance_interval_fixed_interval_I1,latest_run_report:outputs/reports/rebalance_interval_comparison.csv,False,True,,True,0.34031293329215795,0.3,0.0,-0.14891427468096263,-0.25,0.0,1.8768139951533864,0.5163848954342224,target_pass_review,0.0,1000.333174930791,Comparison artifact; requires champion/challenger gate before production.,"{""policy_mode"": ""fixed_interval"", ""rebalance_interval_months"": ""1""}"
main,main_latest_champion,latest_run:outputs/backtest_metrics.json,False,True,,True,0.3306595355775701,0.3,0.0,-0.15841809942309326,-0.25,0.0,1.844916769060813,0.5282465399682306,target_pass_review,0.0,1000.3200324411318,"Legacy target-weight champion artifact. Useful for research comparison, but not production-compatible after broker-ledger replay is available.",{}
main,main_rebalance_interval_adaptive_I1,latest_run_report:outputs/reports/rebalance_interval_comparison.csv,False,True,,True,0.3306595355775701,0.3,0.0,-0.15841809942309326,-0.25,0.0,1.844916769060813,0.5282465399682306,target_pass_review,0.0,1000.3200324411318,Comparison artifact; requires champion/challenger gate before production.,"{""policy_mode"": ""adaptive"", ""rebalance_interval_months"": ""1""}"
main,main_sleeve_cap_policy_sleeve_cap_policy_I1,latest_run_report:outputs/reports/sleeve_cap_policy_comparison.csv,False,True,,True,0.31719883526625403,0.3,0.0,-0.15067384621986468,-0.25,0.0,1.6739251090819478,0.5217476777523096,target_pass_review,0.0,1000.305475183582,Comparison artifact; requires champion/challenger gate before production.,"{""policy_mode"": ""sleeve_cap_policy"", ""rebalance_interval_months"": ""1""}"
main,main_sleeve_cap_policy_sleeve_cap_policy_I1,latest_run_report:outputs/reports/sleeve_cap_policy_comparison.csv,False,True,,True,0.31562033375585963,0.3,0.0,-0.1625189221854183,-0.25,0.0,1.8011997795478754,0.515365360773454,target_pass_review,0.0,1000.3028886526912,Comparison artifact; requires champion/challenger gate before production.,"{""policy_mode"": ""sleeve_cap_policy"", ""rebalance_interval_months"": ""1""}"
main,main_sleeve_cap_policy_sleeve_cap_policy_I1,latest_run_report:outputs/reports/sleeve_cap_policy_comparison.csv,False,True,,True,0.3075751618896603,0.3,0.0,-0.1728427470523699,-0.25,0.0,1.666412999676523,0.5216432827568219,target_pass_review,0.0,1000.2890505977675,Comparison artifact; requires champion/challenger gate before production.,"{""policy_mode"": ""sleeve_cap_policy"", ""rebalance_interval_months"": ""1""}"
main,main_rebalance_interval_fixed_interval_I6,latest_run_report:outputs/reports/rebalance_interval_comparison.csv,False,True,,False,0.2840568319201895,0.3,1.5943,-0.12300911225120925,-0.25,0.0,1.713376500331543,0.15200244172944605,needs_alpha_boost,1.5943,-1.3128951797295922,Comparison artifact; requires champion/challenger gate before production.,"{""policy_mode"": ""fixed_interval"", ""rebalance_interval_months"": ""6""}"
main,main_rebalance_interval_fixed_interval_I3,latest_run_report:outputs/reports/rebalance_interval_comparison.csv,False,True,,False,0.2822261074147647,0.3,1.7774,-0.1607430083627842,-0.25,0.0,1.6033617578825978,0.26465437699068173,needs_alpha_boost,1.7774,-1.5113188184599449,Comparison artifact; requires champion/challenger gate before production.,"{""policy_mode"": ""fixed_interval"", ""rebalance_interval_months"": ""3""}"
main,main_broker_ledger_replay,sidecar:outputs/broker_replay/main/metrics.json,True,True,,False,0.34277659909324787,0.3,0.0,-0.271786846224337,-0.25,2.1787,1.2557087262809452,,needs_drawdown_reduction,2.1787,-1.8923299026821363,Production-compatible monthly target replay when metrics mark next-close integer-share ledger as valid.,{}
main,orchestrator_replay_main_proxy,sidecar:outputs/orchestrator_replay/concentrated_balanced/metrics.json#metrics.main_proxy,False,True,,False,0.23646769188214378,0.3,6.3532,-0.25751891759202783,-0.25,0.7519,1.2529071430743326,,blocked_both,7.1051,-6.9208524115223815,Orchestrator replay proxy for main returns; discovery-only until wired as a true portfolio path.,"{""data_mode"": ""proxy_top_raw_score_within_main_holdings"", ""experiment_id"": ""E4_concentrated_balanced_replay"", ""valid_for_promotion"": false}"
