date,ticker,shares,price,market_value_usd,weight,cost_basis,unrealized_pnl_usd,week_end_date
2019-06-07,WRB,560.0,24.345970153808594,13633.743286132812,0.12825666343480377,23.72511863708496,347.6768493652344,2019-06-07
2019-06-07,ORLY,569.0,25.483999252319336,14500.395574569702,0.136409518343412,24.947999954223633,304.9836006164551,2019-06-07
2019-06-07,TSCO,918.0,19.380064010620117,17790.898761749268,0.16736425696156493,18.069847106933594,1202.7791175842285,2019-06-07
2019-06-07,FDS,66.0,271.7630920410156,17936.36407470703,0.16873269226901558,257.5592041015625,937.4566040039062,2019-06-07
2019-06-07,MA,166.0,255.5473175048828,42420.85470581055,0.399065551582871,232.91537475585938,3756.9024963378906,2019-06-07
2019-06-14,MA,166.0,250.06724548339844,41511.16275024414,0.39256828791100007,232.91537475585938,2847.2105407714844,2019-06-14
2019-06-14,TSCO,918.0,18.946298599243164,17392.702114105225,0.16448161985152204,18.069847106933594,804.5824699401855,2019-06-14
2019-06-14,FDS,66.0,275.6419982910156,18192.37188720703,0.17204404337623788,257.5592041015625,1193.4644165039062,2019-06-14
2019-06-14,WRB,560.0,24.84189796447754,13911.462860107422,0.13155977321540374,23.72511863708496,625.3964233398438,2019-06-14
2019-06-14,ORLY,569.0,25.86400032043457,14716.61618232727,0.13917405429713137,24.947999954223633,521.2042083740234,2019-06-14
2019-06-21,WRB,560.0,25.556476593017578,14311.626892089844,0.13424822454362528,23.72511863708496,1025.5604553222656,2019-06-21
2019-06-21,ORLY,569.0,25.084667205810547,14273.175640106201,0.13388753792503152,24.947999954223633,77.7636661529541,2019-06-21
2019-06-21,TSCO,918.0,19.056970596313477,17494.29900741577,0.16410283744044168,18.069847106933594,906.1793632507324,2019-06-21
2019-06-21,FDS,66.0,277.26983642578125,18299.809204101562,0.17165881375062783,257.5592041015625,1300.9017333984375,2019-06-21
2019-06-21,MA,166.0,254.26858520507812,42208.58514404297,0.39593175945762593,232.91537475585938,3544.6329345703125,2019-06-21
2019-06-28,WRB,560.0,25.193452835083008,14108.333587646484,0.1333801018223209,23.72511863708496,822.2671508789062,2019-06-28
2019-06-28,ORLY,569.0,24.6213321685791,14009.538003921509,0.13244608896141355,24.947999954223633,-185.87397003173828,2019-06-28
2019-06-28,TSCO,918.0,19.421113967895508,17828.582622528076,0.16855131407033477,18.069847106933594,1240.462978363037,2019-06-28
2019-06-28,FDS,66.0,266.5540466308594,17592.56707763672,0.1663200245127343,257.5592041015625,593.6596069335938,2019-06-28
2019-06-28,MA,166.0,254.32630920410156,42218.16732788086,0.39913030280735584,232.91537475585938,3554.215118408203,2019-06-28
2019-07-05,AVGO,563.0,23.766643524169922,13380.620304107666,0.12408850553992451,25.25404930114746,-837.4094524383545,2019-07-05
2019-07-05,MA,163.0,261.642822265625,42647.780029296875,0.39550477990966426,232.91537475585938,4682.573944091797,2019-07-05
2019-07-05,VEEV,132.0,170.0500030517578,22446.60040283203,0.20816412357088002,163.47000122070312,868.5602416992188,2019-07-05
2019-07-05,TSCO,760.0,19.719215393066406,14986.603698730469,0.13898199140466436,18.069847106933594,1253.5198974609375,2019-07-05
2019-07-05,FDS,52.0,274.82342529296875,14290.818115234375,0.13252945099398175,257.5592041015625,897.739501953125,2019-07-05
2019-07-12,TSCO,760.0,20.16547393798828,15325.760192871094,0.13903497703018747,18.069847106933594,1592.6763916015625,2019-07-12
2019-07-12,FDS,52.0,275.8187255859375,14342.57373046875,0.1301155299361316,257.5592041015625,949.4951171875,2019-07-12
2019-07-12,MA,163.0,269.0835876464844,43860.62478637695,0.3979026738615029,232.91537475585938,5895.418701171875,2019-07-12
2019-07-12,AVGO,563.0,23.996183395385742,13509.851251602173,0.12256108896454507,25.25404930114746,-708.1785049438477,2019-07-12
2019-07-12,VEEV,132.0,175.08999633789062,23111.879516601562,0.20967048924658757,163.47000122070312,1533.83935546875,2019-07-12
2019-07-19,TSCO,760.0,20.076221466064453,15257.928314208984,0.14099735353860665,18.069847106933594,1524.8445129394531,2019-07-19
2019-07-19,FDS,52.0,260.2753601074219,13534.318725585938,0.12506960859676555,257.5592041015625,141.2401123046875,2019-07-19
2019-07-19,MA,163.0,265.2910461425781,43242.440521240234,0.399600099599863,232.91537475585938,5277.234436035156,2019-07-19
2019-07-19,AVGO,563.0,24.383800506591797,13728.079685211182,0.12686013886821917,25.25404930114746,-489.95007133483887,2019-07-19
2019-07-19,VEEV,132.0,169.49000549316406,22372.680725097656,0.20674423872245742,163.47000122070312,794.6405639648438,2019-07-19
2019-07-26,VEEV,132.0,170.47000122070312,22502.040161132812,0.20509490460242008,163.47000122070312,924.0,2019-07-26
2019-07-26,AVGO,563.0,25.301977157592773,14245.013139724731,0.12983620996279407,25.25404930114746,26.983383178710938,2019-07-26
2019-07-26,TSCO,760.0,19.62639808654785,14916.062545776367,0.13595249155024736,18.069847106933594,1182.978744506836,2019-07-26
2019-07-26,FDS,52.0,263.76348876953125,13715.701416015625,0.12501179685617392,257.5592041015625,322.622802734375,2019-07-26
2019-07-26,MA,163.0,271.5190124511719,44257.599029541016,0.4033860034866684,232.91537475585938,6292.3929443359375,2019-07-26
2019-07-31,AVGO,563.0,24.382963180541992,13727.608270645142,0.12877741061345455,25.25404930114746,-490.4214859008789,2019-08-02
2019-07-31,VEEV,132.0,165.89999389648438,21898.799194335938,0.20543058923242824,163.47000122070312,320.759033203125,2019-08-02
2019-07-31,MA,163.0,262.0855712890625,42719.94812011719,0.4007518419806471,232.91537475585938,4754.742034912109,2019-08-02
2019-07-31,FDS,52.0,257.9405212402344,13412.907104492188,0.12582522837637303,257.5592041015625,19.8284912109375,2019-08-02
