ticker,peak_market_value_usd,peak_weight,trough_market_value_usd,trough_weight,peak_to_trough_value_delta_usd
AMD,16963.200439453125,0.1343933506043064,6572.159820556641,0.0703778029872806,-10391.040618896484
PENN,8013.599670410156,0.0634888748707556,664.4399971961975,0.0071151384775032,-7349.159673213959
NOW,14380.343742370604,0.1139303037346626,7287.791996002197,0.0780411315778809,-7092.551746368406
STM,7133.388687133789,0.0565152790741692,1042.2156858444214,0.0111605396416546,-6091.173001289368
UI,5677.069854736328,0.0449773874992492,0.0,0.0,-5677.069854736328
PCTY,6588.119812011719,0.0521953094216584,1097.459991455078,0.0117521218555069,-5490.659820556641
FTNT,6603.680042266846,0.0523185875428847,1270.2319917678833,0.0136022463399573,-5333.448050498962
PAYC,6326.1993408203125,0.0501202075067271,1312.8208618164062,0.0140583081503154,-5013.378479003906
QRVO,6254.399871826172,0.0495513660758796,1387.3799362182615,0.0148567220648333,-4867.01993560791
TSLA,7645.166397094727,0.0605699102418987,3130.573310852051,0.0335236631067994,-4514.593086242676
SHOP,7441.97688293457,0.0589601126265777,2930.420883178711,0.0313803360260792,-4511.555999755859
DXCM,7948.279800415039,0.0629713689778662,3966.5700759887695,0.0424759127844119,-3981.7097244262695
SE,7116.800106048584,0.0563838536982934,4447.759902954102,0.047628721566652,-2669.0402030944824
RNG,7686.964553833008,0.0609010620403575,5578.555603027344,0.0597378179933239,-2108.408950805664
