rank,ticker,name,sector,industry_group,alpha_sprint_score,rs_acceleration_score,breakout_setup_quality_score,volatility_contraction_score,explosion_entry_score,h6_dynamic_leader_score,theme_phase_term,earnings_revision_or_surprise,industry_group_strength_score,stage2_overext_penalty,explosion_exit_score,live_event_risk_score,atr14_pct,rsi14,regime_state,activation_capacity,active_weight
1,LNG,CHENIERE ENERGY INC,Energy,Oil Gas & Consumable Fuels,0.9757599258929502,1.7436721867894867,0.44720263487171197,0.10323754944390551,0.0,1.0,2.90510718215076,1.0,1.5684906622809973,0.0,0.0,0.05261246325044727,0.027284931078366874,55.13208226090929,neutral,0.0,0.0
2,NXPI,NXP Semiconductors,Semiconductors,Semiconductors,0.9552514219288538,0.6921840159558992,0.1557914774302737,-0.454124759656912,0.0,0.9834949873665335,3.018445132867001,4.949216264128605,2.362871714479456,0.0,0.0,0.05261246325044727,0.04166101848987156,82.93645015103286,neutral,0.0,0.0
3,MTDR,MATADOR RESOURCES,Energy,Oil Gas & Consumable Fuels,0.8457335337147373,1.2112524800346374,0.40918171517701785,-0.06091077479603868,0.0,1.0,2.90510718215076,1.113193762197051,1.5684906622809973,0.0,0.0,0.05261246325044727,0.037856225274422776,57.666174803802974,neutral,0.0,0.0
4,QCOM,QUALCOMM INC,Information Technology,Semiconductors,0.8117009780343237,0.9401646479128075,0.009407819732233702,-0.3821919367191666,0.0,1.0,1.7149361048164478,4.250830066996922,2.362871714479456,0.0,0.0,0.05261246325044727,0.04398056349385802,83.35926532280541,neutral,0.0,0.0
5,OKE,ONEOK INC,Energy,Oil Gas & Consumable Fuels,0.7979623942002035,0.9834736558822693,0.5671213085869818,0.03439405676198748,0.0,0.20715751286092376,2.90510718215076,1.6038226548020513,1.5684906622809973,0.0,0.0,0.05261246325044727,0.02432334476745388,58.4748906177321,neutral,0.0,0.0
