fill_date,gross_value,portfolio,price_return,reason,relative_return,signal_date,ticker
2019-05-06,4554.6002197265625,main,-0.0899528622569795,daily_hard_stop_exit,-0.0968236107207194,2019-05-03,W
2019-05-14,5013.098573684692,main,-0.0800253651801525,daily_hard_stop_exit,-0.0441573512344397,2019-05-13,AVGO
2019-05-21,3466.560028076172,main,-0.1316096316262481,daily_hard_stop_exit,-0.1075716122908734,2019-05-20,KEYS
2019-06-04,4429.859855651856,main,-0.0814349666087032,daily_hard_stop_exit,-0.0237588758258558,2019-06-03,NOW
2019-06-24,625.8166790008545,main,0.0054780844892448,weekly_relative_trim,-0.0655171072158378,2019-06-21,ORLY
2019-07-08,1782.9964427947998,main,-0.0588980626637417,weekly_relative_trim,-0.0677273256942537,2019-07-05,AVGO
2019-07-08,95.08612823486328,main,0.0112376139779881,weekly_relative_trim,-0.0742088762475968,2019-07-05,PEG
2019-07-09,1786.6926155090332,main,-0.0845348133029865,daily_hard_stop_exit,-0.0881128406333905,2019-07-08,AVGO
2019-08-06,4187.359924316406,main,-0.0941765755035508,daily_hard_stop_exit,-0.0563891099014197,2019-08-05,NOW
2019-08-12,2169.745178222656,main,0.0030389249891686,weekly_relative_trim,-0.0601762509930107,2019-08-09,UNH
2019-08-15,3734.039932250977,main,-0.0851376034797878,daily_hard_stop_exit,-0.049883737287819,2019-08-14,CBRE
2019-08-15,7393.166637420654,main,-0.0814044536037138,daily_hard_stop_exit,-0.043353836303889,2019-08-14,ORCL
2019-08-28,2028.3375549316409,main,-0.1006415500643975,daily_hard_stop_exit,-0.1433691389485191,2019-08-27,UNH
2019-09-11,3361.3213806152344,main,-0.0909433174041173,daily_hard_stop_exit,-0.1134768630137359,2019-09-10,AMT
2019-09-11,5490.657913208008,main,0.2035785615184575,daily_trailing_stop_exit,0.1723626066321912,2019-09-10,SHOP
2019-09-16,2865.2514038085938,main,-0.0489004367439164,weekly_relative_trim,-0.0815947900698239,2019-09-13,AMGN
2019-09-16,2924.8799743652344,main,-0.0433594132741126,weekly_relative_trim,-0.076244241063586,2019-09-13,NOW
2019-09-16,7048.539001464844,main,0.0305388211721633,weekly_relative_trim,-0.0647796944312886,2019-09-13,V
2019-09-23,1596.6302947998047,main,-0.0379967520061138,weekly_relative_trim,-0.0666251932176433,2019-09-20,EL
2019-10-28,3988.966369628906,main,0.0351707275535138,weekly_relative_trim,-0.0664755901170106,2019-10-25,MA
2019-10-28,1881.287612915039,main,-0.036180690494216,weekly_relative_trim,-0.0628966887855357,2019-10-25,SBUX
2019-11-04,352.6204528808594,main,-0.0243106988874194,weekly_relative_trim,-0.0654241521337157,2019-11-01,AMT
2019-11-04,157.46050643920898,main,-0.0230626790452052,weekly_relative_trim,-0.0642287211693081,2019-11-01,WRB
2019-11-11,423.0182189941406,main,-0.0350953105416529,weekly_relative_trim,-0.0961132519395112,2019-11-08,AEP
2019-11-11,5509.357360839844,main,-0.051615582900614,weekly_relative_trim,-0.1115888273230212,2019-11-08,BKNG
2019-11-11,2098.127548217773,main,-0.0474022613329919,weekly_relative_trim,-0.1076419447221822,2019-11-08,DUK
2019-11-11,171.9237823486328,main,-0.0376555890807065,weekly_relative_trim,-0.086561108079584,2019-11-08,LHX
2019-11-11,1792.9348754882812,main,-0.0113955867318651,weekly_relative_trim,-0.0616356165661668,2019-11-08,MDT
2019-11-11,244.86802673339844,main,-0.041561366071809,weekly_relative_trim,-0.0902683968281442,2019-11-08,MLM
2019-11-11,1822.9097900390625,main,-0.0088351382228516,weekly_relative_trim,-0.0715137013102426,2019-11-08,PG
2019-11-18,5340.796096801758,main,-0.0669427013680868,weekly_relative_exit,-0.1339361757218048,2019-11-15,BKNG
2019-11-25,2120.7645111083984,main,-0.0672039578294725,weekly_relative_exit,-0.1318676882346211,2019-11-22,DUK
2019-12-16,2568.2301025390625,main,-0.0458996930014343,weekly_relative_trim,-0.0629777118451481,2019-12-13,BIO
2019-12-16,78.1398983001709,main,-0.0414938575104191,weekly_relative_trim,-0.0752641950375805,2019-12-13,LPX
2019-12-23,2740.1319274902344,main,0.0007261914887761,weekly_relative_trim,-0.089523547279257,2019-12-20,ORCL
2019-12-30,1614.4559326171875,main,-0.0077761624316412,weekly_relative_trim,-0.0637633733766573,2019-12-27,COST
2019-12-30,1685.5464477539062,main,-0.0265353721337128,weekly_relative_trim,-0.064962004892315,2019-12-27,DIS
2020-01-27,1494.2331867218018,main,0.0036654786804908,weekly_relative_trim,-0.0699911375890938,2020-01-24,BAC
2020-01-28,4190.779388427734,main,-0.0866293964263266,daily_hard_stop_exit,-0.1244197745883874,2020-01-27,DIS
2020-02-06,5192.789459228516,main,0.6943293788590925,daily_trailing_stop_exit,0.6536588023123973,2020-02-05,TSLA
2020-02-24,1365.2999877929688,main,-0.0374687349391977,weekly_relative_trim,-0.0644848309865899,2020-02-21,PCTY
2020-02-26,2892.522766113281,main,-0.0929096569118597,daily_hard_stop_exit,-0.0596317971148289,2020-02-25,DIS
2020-02-26,6048.309892654419,main,0.176503234376419,daily_trailing_stop_exit,0.1669656668238059,2020-02-25,NVDA
2020-02-28,14826.240589141846,main,-0.0874125245889507,daily_hard_stop_exit,-0.0487467522087899,2020-02-27,CPRT
2020-02-28,4007.918212890625,main,-0.0823867030224586,daily_hard_stop_exit,-0.0003135963620757,2020-02-27,LAMR
2020-02-28,4095.1154708862314,main,0.2613044247413556,daily_trailing_stop_exit,0.2209337458340738,2020-02-27,LRCX
2020-02-28,1424.7200469970703,main,-0.1010269084921537,daily_hard_stop_exit,-0.0206210178330263,2020-02-27,PCTY
