arm,description,status,metric_mode,cagr,max_dd,sharpe,years,start_date,end_date,avg_cash_weight,cash_interest_accrued_usd,trade_count,total_fees_usd,gross_traded_usd,eligible_events,total_abs_weight_delta,cash_abs_delta_sum,cap_infeasible_date_count,max_weight_after,target_book_path,broker_metrics_path,windows.is.cagr,windows.is.max_dd,windows.oos.cagr,windows.oos.max_dd,windows.oos2.cagr,windows.oos2.max_dd,delta_cagr_pp,delta_max_dd_pp,delta_sharpe,delta_avg_cash_weight_pp,delta_trade_count,delta_windows.is.cagr_pp,delta_windows.is.max_dd_pp,delta_windows.oos.cagr_pp,delta_windows.oos.max_dd_pp,delta_windows.oos2.cagr_pp,delta_windows.oos2.max_dd_pp,ab_verdict,target_35_50_25_restored
baseline,unchanged official target book,completed,broker_ledger_next_close_cash_carry,0.4866155651099202,-0.22955201825505345,1.4948238570140746,7.091033538672143,2019-06-03,2026-07-06,0.4103634697138473,26580.445411408935,730,62764.15990747571,25105663.962990284,0,0.0,0.0,0,0.3,H:\codex\r1000_run287_closeout_20260707\outputs\run287_actual_results_broker_ab\concentrated\baseline\target_book.csv,H:\codex\r1000_run287_closeout_20260707\outputs\run287_actual_results_broker_ab\concentrated\baseline\broker\metrics.json,0.27568706287669764,-0.20838527950384333,1.196081916471996,-0.22955201825505345,0.7442250994766006,-0.22955201825505345,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,baseline,False
actual_results_top_quintile_tilt05,shift 5% of stock gross toward selected top-quintile actual results score rows,completed,broker_ledger_next_close_cash_carry,0.48283941140683284,-0.23191972537162808,1.503683068161363,7.091033538672143,2019-06-03,2026-07-06,0.4102830510902358,26735.336980665812,730,63001.255723643306,25200502.28945732,129,4.54910947228963,0.0,0,0.3,H:\codex\r1000_run287_closeout_20260707\outputs\run287_actual_results_broker_ab\concentrated\actual_results_top_quintile_tilt05\target_book.csv,H:\codex\r1000_run287_closeout_20260707\outputs\run287_actual_results_broker_ab\concentrated\actual_results_top_quintile_tilt05\broker\metrics.json,0.28133601616450643,-0.20584538824001664,1.1520280697819478,-0.23191972537162808,0.7345249703849794,-0.23191972537162808,-0.37761537030873704,-0.23677071165746355,0.008859211147288493,-0.00804186236115223,0,0.5648953287808789,0.2539891263826699,-4.405384669004819,-0.23677071165746355,-0.9700129091621212,-0.23677071165746355,reject_oos_cagr_worse,False
actual_results_top_quintile_tilt10,shift 10% of stock gross toward selected top-quintile actual results score rows,completed,broker_ledger_next_close_cash_carry,0.4781449539550957,-0.23389063906544072,1.5111962477823575,7.091033538672143,2019-06-03,2026-07-06,0.41027412316876183,26831.8394512304,731,63346.30015451074,25338520.061804295,129,8.918248988859789,0.0,0,0.3,H:\codex\r1000_run287_closeout_20260707\outputs\run287_actual_results_broker_ab\concentrated\actual_results_top_quintile_tilt10\target_book.csv,H:\codex\r1000_run287_closeout_20260707\outputs\run287_actual_results_broker_ab\concentrated\actual_results_top_quintile_tilt10\broker\metrics.json,0.2859523273206144,-0.2031171900750719,1.108568366245704,-0.23389063906544072,0.7226892883004297,-0.23389063906544072,-0.8470611154824503,-0.43386208103872725,0.016372390768282896,-0.008934654508546691,1,1.0265264443916733,0.5268089428771439,-8.751355022629204,-0.43386208103872725,-2.1535811176170983,-0.43386208103872725,reject_mdd_worse,False
