rebalance_date,net_return,drawdown,regime_state
2024-03-28,-0.0065587740744035405,-0.013877856662950938,strong_bull
2023-08-31,-0.0035833333333333338,-0.008279445155669252,bull
2021-12-31,-0.002814504848512302,-0.003431891865247505,bull
2024-11-29,-0.0023712904620604236,-0.01646218463619875,bull
2020-12-31,-0.0022625434498291888,-0.0023872606318982026,bull
2025-11-28,-0.0008553504390640234,-0.010568680708839873,bull
2025-07-31,-0.0008181684664752983,-0.013768850061747662,bull
2023-03-31,-0.0007681176381387434,-0.004321848735036493,bull
2023-07-31,-0.0005206556217003835,-0.0047130000725961185,bull
2024-04-30,-0.00025,-0.014124387198785282,neutral
